"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Cole Hamels",10000,"Tex@LAA 10:07PM ET",11.3,"Tex","LAA",19.42,17.3,15.7055,14.8,18.35
"SP","Robbie Ray",9200,"Ari@SF 10:15PM ET",15.15,"Ari","SF",15.7,18.9,14.305,12.3,29.6
"SP","Jeff Samardzija",8900,"Ari@SF 10:15PM ET",12,"SF","Ari",17.06,18.6,17.923,14.5,17
"SP","Jameson Taillon",8400,"Cin@Pit 07:05PM ET",22.95,"Pit","Cin",20.63,18.8,16.029,14.1,13.9
"SP","Matt Harvey",8300,"NYM@Phi 07:05PM ET",10.6,"NYM","Phi",16.7,18.3,17.473,14.5,21.15
"SP","Gio Gonzalez",8100,"StL@Was 07:05PM ET",22.1,"Was","StL",19.34,15.8,15.259,11.5,25.55
"SP","JA Happ",8000,"Mil@Tor 07:07PM ET",24.75,"Tor","Mil",18.49,18,19.76,15.4,13.1
"SP","Tyler Skaggs",7800,"Tex@LAA 10:07PM ET",7.2,"LAA","Tex",16.77,16.5,15.292,11.9,4.65
"SP","Joe Musgrove",7700,"Hou@Sea 10:10PM ET",6.45,"Hou","Sea",NA,14.3,15.712,13.8,8.6
"SP","Dan Straily",7500,"Atl@Mia 07:10PM ET",-7.3,"Mia","Atl",15.36,14.8,14.652,12.1,17.65
"SP","Drew Pomeranz",7300,"Bal@Bos 07:10PM ET",0,"Bos","Bal",18.26,15.9,17.149,15.1,24.5
"SP","Dylan Bundy",6800,"Bal@Bos 07:10PM ET",31.35,"Bal","Bos",16.65,10.6,12.043,11.8,8.85
"SP","Bartolo Colon",6600,"Atl@Mia 07:10PM ET",21.7,"Atl","Mia",13.69,14.7,11.825,9.5,-4.4
"SP","Lance Lynn",6300,"StL@Was 07:05PM ET",12.4,"StL","Was",14.76,14.2,12.842,11.9,5.85
"SP","Ariel Miranda",6100,"Hou@Sea 10:10PM ET",9.85,"Sea","Hou",15.07,11.9,13.968,8.4,9.35
"SP","Wily Peralta",5800,"Mil@Tor 07:07PM ET",22.85,"Mil","Tor",12.38,10.7,9.752,7.7,20.1
"SP","Clay Buchholz",5500,"NYM@Phi 07:05PM ET",3.25,"Phi","NYM",11.63,13.6,14.527,13.2,-8.15
"SP","Antonio Senzatela",5000,"SD@Col 08:40PM ET",19.65,"Col","SD",8.39,12.7,8.219,9.5,22.15
"SP","Rookie Davis",4700,"Cin@Pit 07:05PM ET",2.55,"Cin","Pit",NA,11.6,6.726,6.4,9.4
"SP","Jered Weaver",4200,"SD@Col 08:40PM ET",1.85,"SD","Col",6.1,7.9,6.24,7.4,17.7
