"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,725125185,"escotch24 (4/6)",0,148.8,"P Derek Holland P Max Scherzer C Derek Norris 1B Wil Myers 2B Ryan Schimpf 3B Nolan Arenado SS Andrew Romine OF Rickie Weeks Jr. OF Carlos González OF Charlie Blackmon",NA,"Danny Salazar","64.35%",27.3
2,725238911,"jmarmington (3/5)",0,148.6,"P Danny Salazar P Max Scherzer C James McCann 1B Wil Myers 2B Ian Kinsler 3B Ryan Schimpf SS Andrew Romine OF Tyler Collins OF Rickie Weeks Jr. OF Hunter Renfroe",NA,"Max Scherzer","45.47%",27.3
3,725117750,"king_philly (4/4)",0,147.6,"P Danny Salazar P Max Scherzer C James McCann 1B Wil Myers 2B Starlin Castro 3B Andrew Romine SS Francisco Lindor OF Tyler Collins OF Rickie Weeks Jr. OF Charlie Blackmon",NA,"Charlie Blackmon","39.21%",8
3,725281039,"vincent8844150",0,147.6,"P Danny Salazar P Max Scherzer C Kyle Higashioka 1B Ryan Zimmerman 2B Starlin Castro 3B Andrew Romine SS Francisco Lindor OF Rickie Weeks Jr. OF Charlie Blackmon OF Wil Myers",NA,"Nolan Arenado","37.95%",4
5,725306812,"knelso12 (3/3)",0,146.2,"P Michael Fulmer P Danny Salazar C Dustin Garneau 1B Matt Adams 2B Ryan Schimpf 3B Matt Carpenter SS Greg García OF Dexter Fowler OF Stephen Piscotty OF Wil Myers",NA,"Wil Myers","36.97%",18
6,725308368,"suidmach (18/50)",0,145.6,"P Danny Salazar P Max Scherzer C Derek Norris 1B Wil Myers 2B Yangervis Solarte 3B Nicholas Castellanos SS Andrew Romine OF Max Kepler OF Rickie Weeks Jr. OF Hunter Renfroe",NA,"Jordan Montgomery","35.81%",15.7
7,725154460,"matticman82",0,145.2,"P Michael Fulmer P Max Scherzer C Derek Norris 1B Wil Myers 2B Daniel Murphy 3B Andrew Romine SS Starlin Castro OF Rickie Weeks Jr. OF Aaron Judge OF Jayson Werth",NA,"Carlos González","32.27%",7
8,725292687,"noodles28 (6/6)",0,143.2,"P Michael Fulmer P Danny Salazar C Kyle Higashioka 1B Wil Myers 2B Yangervis Solarte 3B Ryan Schimpf SS Andrew Romine OF Corey Dickerson OF Hunter Renfroe OF Manuel Margot",NA,"Trevor Story","23.52%",2
9,725017152,"papagates (75/130)",0,142.65,"P Max Scherzer P Mike Leake C Kyle Higashioka 1B Chris Carter 2B Yangervis Solarte 3B Ryan Schimpf SS Starlin Castro OF Aaron Judge OF Hunter Renfroe OF Manuel Margot",NA,"DJ LeMahieu","22.31%",2
10,725261479,"DREAMCRUSHER (4/6)",0,142.6,"P Danny Salazar P Max Scherzer C Kyle Higashioka 1B Wil Myers 2B Wilmer Difo 3B Yangervis Solarte SS Andrew Romine OF Rickie Weeks Jr. OF Hunter Renfroe OF Manuel Margot",NA,"Ian Kinsler","20.87%",2
11,725010071,"SamENole (2/3)",0,141.65,"P Max Scherzer P Mike Leake C Derek Norris 1B Wil Myers 2B Yangervis Solarte 3B Ryan Schimpf SS Alexi Amarista OF Rickie Weeks Jr. OF Steven Souza Jr. OF Carlos González",NA,"Manuel Margot","20.32%",7
12,725313198,"cuzimoutheregrindin",0,141.6,"P Danny Salazar P Max Scherzer C Matt Wieters 1B Wil Myers 2B Brian Dozier 3B Miguel Sanó SS Andrew Romine OF Max Kepler OF Rickie Weeks Jr. OF Manuel Margot",NA,"Francisco Lindor","19.80%",10
13,725132482,"escotch24 (6/6)",0,140.8,"P Derek Holland P Max Scherzer C Derek Norris 1B Wil Myers 2B Yangervis Solarte 3B Nolan Arenado SS Andrew Romine OF Rickie Weeks Jr. OF Carlos González OF Charlie Blackmon",NA,"Rickie Weeks Jr.","19.64%",16
14,725017188,"papagates (111/130)",0,140.65,"P Max Scherzer P Mike Leake C Austin Hedges 1B Matt Holliday 2B Ryan Schimpf 3B Yangervis Solarte SS Starlin Castro OF Jacoby Ellsbury OF Aaron Judge OF Jabari Blash",NA,"Starlin Castro","19.62%",8
15,725213079,"TampabaySapper (2/2)",0,140.6,"P Danny Salazar P Max Scherzer C Kyle Higashioka 1B Wil Myers 2B Pete Kozma 3B Chase Headley SS Francisco Lindor OF Rickie Weeks Jr. OF Peter Bourjos OF Aaron Judge",NA,"Alexi Amarista","19.62%",0
