P,P,C,1B,2B,3B,SS,OF,OF,OF
Clayton Kershaw,Scott Feldman,Salvador Perez,Steve Pearce,Jose Peraza,Mike Moustakas,Tim Anderson,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Noah Syndergaard,Stuart Turner,Steve Pearce,Jose Peraza,Mike Moustakas,Andrelton Simmons,Corey Dickerson,Seth Smith,Travis Jankowski
Clayton Kershaw,Scott Feldman,Salvador Perez,Freddie Freeman,Brad Miller,Yunel Escobar,Marcus Semien,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Stuart Turner,Miguel Cabrera,Brad Miller,Tyler Saladino,Tim Anderson,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Alex Avila,Albert Pujols,Jose Peraza,Tyler Saladino,Marcus Semien,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Alex Avila,Steve Pearce,Brad Miller,Yunel Escobar,Tim Anderson,Mike Trout,Billy Hamilton,Corey Dickerson
Clayton Kershaw,Scott Feldman,Salvador Perez,Jefry Marte,Brad Miller,Mike Moustakas,Troy Tulowitzki,Mike Trout,Billy Hamilton,Corey Dickerson
Clayton Kershaw,Noah Syndergaard,Stuart Turner,Steve Pearce,Yangervis Solarte,Yunel Escobar,Marcus Semien,Kevin Kiermaier,Corey Dickerson,Travis Jankowski
Clayton Kershaw,Scott Feldman,Stuart Turner,Freddie Freeman,Jose Peraza,Yunel Escobar,Tim Anderson,Mike Trout,Billy Hamilton,Kevin Kiermaier
Clayton Kershaw,Tyler Anderson,Stuart Turner,Eric Thames,Jose Peraza,Mike Moustakas,Marcus Semien,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Salvador Perez,Lucas Duda,Jose Peraza,Eugenio Suarez,Marcus Semien,Mike Trout,Billy Hamilton,Corey Dickerson
Clayton Kershaw,Scott Feldman,Alex Avila,Miguel Cabrera,Jose Peraza,Mike Moustakas,Asdrubal Cabrera,Mike Trout,Corey Dickerson,Seth Smith
Clayton Kershaw,Scott Feldman,Alex Avila,Albert Pujols,Brad Miller,Mike Moustakas,Tim Anderson,Mike Trout,Kevin Kiermaier,Josh Reddick
Clayton Kershaw,Scott Feldman,Salvador Perez,Miguel Cabrera,Jose Peraza,Yunel Escobar,Troy Tulowitzki,Mike Trout,Corey Dickerson,Travis Jankowski
Clayton Kershaw,Scott Feldman,Salvador Perez,Steve Pearce,Brad Miller,Tyler Saladino,Troy Tulowitzki,Mike Trout,Kevin Kiermaier,Josh Reddick
Clayton Kershaw,Scott Feldman,Salvador Perez,Albert Pujols,Brad Miller,Eugenio Suarez,Tim Anderson,Mike Trout,Corey Dickerson,Seth Smith
Clayton Kershaw,Scott Feldman,Stuart Turner,Steve Pearce,Brian Dozier,Yunel Escobar,Francisco Lindor,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Alex Avila,Steve Pearce,Jose Peraza,Eugenio Suarez,Troy Tulowitzki,Mike Trout,Corey Dickerson,Josh Reddick
Clayton Kershaw,Scott Feldman,Kevan Smith,Miguel Cabrera,Brian Dozier,Mike Moustakas,Marcus Semien,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Salvador Perez,Miguel Cabrera,Brad Miller,Mike Moustakas,Andrelton Simmons,Mike Trout,Kevin Kiermaier,Jay Bruce
Clayton Kershaw,Zack Greinke,Stuart Turner,Eric Thames,Jose Peraza,Yunel Escobar,Andrelton Simmons,Mike Trout,Corey Dickerson,Travis Jankowski
Clayton Kershaw,Scott Feldman,Salvador Perez,Jefry Marte,Brian Dozier,Yunel Escobar,Tim Anderson,Mike Trout,Corey Dickerson,Josh Reddick
Clayton Kershaw,Scott Feldman,Salvador Perez,Lucas Duda,Brian Dozier,Tyler Saladino,Andrelton Simmons,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Alex Avila,Lucas Duda,Jose Peraza,Eugenio Suarez,Tim Anderson,Mike Trout,Kevin Kiermaier,Jay Bruce
Clayton Kershaw,Scott Feldman,Stuart Turner,Miguel Cabrera,Jose Peraza,Mike Moustakas,Troy Tulowitzki,Mike Trout,Kevin Kiermaier,Josh Reddick
Clayton Kershaw,Noah Syndergaard,Stuart Turner,Eric Thames,Yangervis Solarte,Mike Moustakas,Marcus Semien,Josh Reddick,Seth Smith,Travis Jankowski
Clayton Kershaw,Noah Syndergaard,Stuart Turner,Jefry Marte,Brad Miller,Yunel Escobar,Andrelton Simmons,Kevin Kiermaier,Seth Smith,Travis Jankowski
Clayton Kershaw,Scott Feldman,Salvador Perez,Freddie Freeman,Jose Peraza,Tyler Saladino,Tim Anderson,Mike Trout,Josh Reddick,Travis Jankowski
Clayton Kershaw,Scott Feldman,Alex Avila,Steve Pearce,Brian Dozier,Mike Moustakas,Troy Tulowitzki,Mike Trout,Kevin Kiermaier,Seth Smith
Clayton Kershaw,Scott Feldman,Alex Avila,Eric Hosmer,Jose Peraza,Mike Moustakas,Andrelton Simmons,Mike Trout,Billy Hamilton,Kevin Kiermaier
Clayton Kershaw,Noah Syndergaard,Stuart Turner,Lucas Duda,Jose Peraza,Mike Moustakas,Marcus Semien,Kevin Kiermaier,Andrew Toles,Travis Jankowski
Clayton Kershaw,Scott Feldman,Alex Avila,Jefry Marte,Brad Miller,Eugenio Suarez,Asdrubal Cabrera,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Jason Castro,Jefry Marte,Jose Peraza,Tyler Saladino,Tim Anderson,Mike Trout,Billy Hamilton,Corey Dickerson
Clayton Kershaw,Noah Syndergaard,Stuart Turner,Jefry Marte,Jose Peraza,Yunel Escobar,Marcus Semien,Corey Dickerson,Seth Smith,Andrew Toles
Clayton Kershaw,Scott Feldman,Salvador Perez,Lucas Duda,Jose Peraza,Yunel Escobar,Francisco Lindor,Mike Trout,Kevin Kiermaier,Seth Smith
Clayton Kershaw,Scott Feldman,Jason Castro,Freddie Freeman,Jose Peraza,Eugenio Suarez,Andrelton Simmons,Mike Trout,Kevin Kiermaier,Corey Dickerson
Clayton Kershaw,Scott Feldman,Stuart Turner,Steve Pearce,Brad Miller,Mike Moustakas,Carlos Correa,Mike Trout,Billy Hamilton,Kevin Kiermaier
Clayton Kershaw,Scott Feldman,Stuart Turner,Kendrys Morales,Jose Peraza,Mike Moustakas,Francisco Lindor,Mike Trout,Billy Hamilton,Corey Dickerson
