"","2017-04-02","2017-04-03","2017-04-04","2017-04-05","2017-04-06","2017-04-07","2017-04-08","2017-04-09","2017-04-10","2017-04-11","2017-04-12","2017-04-13","2017-04-14"
"Mike Trout_LAA",NA,NA,10,10,NA,7,16,6,NA,16,14,13,5
"Freddie Freeman_ATL",NA,14,NA,2,0,NA,5,43,NA,5,16,NA,12
"Paul Goldschmidt_ARI",8,NA,18,11,19,17,12,8,0,9,0,NA,4
"Corey Seager_LAD",NA,21,0,7,NA,NA,0,23,7,NA,5,3,14
"Giancarlo Stanton_MIA",NA,9,NA,0,NA,7,13,0,NA,2,34,9,NA
"Robinson Cano_SEA",NA,NA,7,2,3,3,3,27,11,7,7,NA,2
"Jean Segura_SEA",NA,NA,0,19,13,7,13,16,0,NA,NA,NA,NA
"Yoenis Cespedes_NYM",NA,4,NA,5,9,14,2,5,0,51,11,32,NA
"Nelson Cruz_SEA",NA,NA,0,7,2,5,2,2,15,3,3,NA,16
"Wil Myers_SD",NA,2,10,8,NA,NA,0,19,34,10,18,NA,3
"Albert Pujols_LAA",NA,NA,0,5,NA,2,13,21,NA,9,0,5,3
"Christian Yelich_MIA",NA,0,NA,8,NA,21,7,0,NA,22,2,15,2
"Kyle Seager_SEA",NA,NA,5,8,5,0,7,2,10,5,7,NA,8
"Dee Gordon_MIA",NA,0,NA,12,NA,10,NA,9,NA,11,7,11,18
"Matt Kemp_ATL",NA,5,NA,21,28,NA,NA,NA,NA,NA,NA,NA,NA
"Lorenzo Cain_KC",NA,9,NA,NA,NA,10,9,0,12,NA,13,17,12
"Adrian Gonzalez_LAD",NA,13,3,11,NA,NA,8,11,0,NA,3,NA,5
"Jose Reyes_NYM",NA,4,NA,0,5,0,NA,0,0,7,0,NA,7
"Eric Hosmer_KC",NA,0,NA,NA,NA,3,16,3,2,NA,5,2,5
"Kole Calhoun_LAA",NA,NA,7,11,NA,21,5,9,NA,0,10,3,2
"Rougned Odor_TEX",NA,NA,3,3,NA,21,5,2,NA,4,12,3,0
"Yasiel Puig_LAD",NA,11,0,17,NA,NA,8,0,2,NA,3,5,9
"Curtis Granderson_NYM",NA,5,NA,0,3,10,0,NA,3,13,NA,5,4
"Ender Inciarte_ATL",NA,0,NA,4,3,NA,3,0,NA,8,30,NA,21
"Cameron Maybin_LAA",NA,NA,8,7,NA,14,3,NA,NA,11,NA,9,0
"Shin-Soo Choo_TEX",NA,NA,3,8,NA,12,0,NA,NA,5,3,10,0
