P,P,C,1B,2B,3B,SS,OF,OF,OF
Max Scherzer,Brian Johnson,Manny Pina,Anthony Rizzo,Jonathan Villar,Kris Bryant,Orlando Arcia,Ryan Braun,Kyle Schwarber,Domingo Santana
Yu Darvish,Luis Severino,Miguel Montero,Brandon Belt,Jonathan Villar,Kris Bryant,Aledmys Diaz,Ryan Braun,Kyle Schwarber,Domingo Santana
Max Scherzer,Brian Johnson,Miguel Montero,Eric Thames,Jonathan Villar,Anthony Rendon,Aledmys Diaz,Bryce Harper,Ryan Braun,Kyle Schwarber
Max Scherzer,Luis Severino,Miguel Montero,Anthony Rizzo,Jonathan Villar,Mike Moustakas,Brandon Crawford,Ryan Braun,Domingo Santana,Josh Reddick
Yu Darvish,Brian Johnson,Salvador Perez,Anthony Rizzo,Jonathan Villar,Kris Bryant,Aledmys Diaz,Bryce Harper,Ryan Braun,Keon Broxton
Yu Darvish,Luis Severino,Alex Avila,Anthony Rizzo,Jonathan Villar,Manny Machado,Orlando Arcia,Ryan Braun,Kyle Schwarber,Josh Reddick
Max Scherzer,Luis Severino,Alex Avila,Eric Thames,Adam Frazier,Kris Bryant,Brandon Crawford,Ryan Braun,Kyle Schwarber,Domingo Santana
Yu Darvish,Brian Johnson,Miguel Montero,Anthony Rizzo,Daniel Murphy,Kris Bryant,Brandon Crawford,Mike Trout,Ryan Braun,Kyle Schwarber
Max Scherzer,Luis Severino,Manny Pina,Albert Pujols,Jonathan Villar,Mike Moustakas,Aledmys Diaz,Ryan Braun,Kyle Schwarber,Jason Heyward
Yu Darvish,Kevin Gausman,Alex Avila,Anthony Rizzo,Jonathan Villar,Kris Bryant,Brandon Crawford,Ryan Braun,Domingo Santana,Jason Heyward
Kevin Gausman,Luis Severino,Brian McCann,Anthony Rizzo,Jonathan Villar,Kris Bryant,Francisco Lindor,Bryce Harper,Ryan Braun,Kyle Schwarber
Max Scherzer,Brian Johnson,Miguel Montero,Albert Pujols,Jonathan Villar,Kris Bryant,Francisco Lindor,Ryan Braun,Keon Broxton,Josh Reddick
Yu Darvish,Luis Severino,Manny Pina,Anthony Rizzo,Jonathan Villar,Anthony Rendon,Asdrubal Cabrera,Bryce Harper,Ryan Braun,Domingo Santana
Max Scherzer,Luis Severino,Manny Pina,Eric Thames,Jonathan Villar,Kris Bryant,Aledmys Diaz,Keon Broxton,Domingo Santana,Josh Reddick
Max Scherzer,Luis Severino,Matt Wieters,Brandon Belt,Jonathan Villar,Kris Bryant,Orlando Arcia,Ryan Braun,Josh Reddick,Jason Heyward
Yu Darvish,Kevin Gausman,Manny Pina,Anthony Rizzo,Adam Frazier,Kris Bryant,Aledmys Diaz,Ryan Braun,Kyle Schwarber,Josh Reddick
Yu Darvish,Brian Johnson,Miguel Montero,Anthony Rizzo,Jonathan Villar,Manny Machado,Francisco Lindor,Bryce Harper,Kyle Schwarber,Domingo Santana
Max Scherzer,Luis Severino,Miguel Montero,Anthony Rizzo,Adam Frazier,Anthony Rendon,Orlando Arcia,Ryan Braun,Kyle Schwarber,Keon Broxton
Yu Darvish,Kevin Gausman,Matt Wieters,Eric Thames,Jonathan Villar,Kris Bryant,Orlando Arcia,Ryan Braun,Kyle Schwarber,Keon Broxton
Max Scherzer,Luis Severino,Alex Avila,Brandon Belt,Jonathan Villar,Anthony Rendon,Orlando Arcia,Bryce Harper,Kyle Schwarber,Domingo Santana
Max Scherzer,Brian Johnson,Miguel Montero,Anthony Rizzo,Daniel Murphy,Manny Machado,Aledmys Diaz,Ryan Braun,Domingo Santana,Jason Heyward
Max Scherzer,Mike Foltynewicz,Miguel Montero,Eric Thames,Jonathan Villar,Kris Bryant,Andrelton Simmons,Ryan Braun,Domingo Santana,Jason Heyward
Max Scherzer,Brian Johnson,Salvador Perez,Brandon Belt,Ben Zobrist,Kris Bryant,Aledmys Diaz,Ryan Braun,Kyle Schwarber,Josh Reddick
Max Scherzer,Brian Johnson,Alex Avila,Anthony Rizzo,Jonathan Villar,Kris Bryant,Aledmys Diaz,Mike Trout,Josh Reddick,Jason Heyward
Yu Darvish,Luis Severino,Manny Pina,Anthony Rizzo,Jonathan Villar,Kris Bryant,Dansby Swanson,Mike Trout,Kyle Schwarber,Jason Heyward
Yu Darvish,Luis Severino,Francisco Cervelli,Eric Thames,Jonathan Villar,Kris Bryant,Brandon Crawford,Bryce Harper,Ryan Braun,Josh Reddick
Max Scherzer,Brian Johnson,Salvador Perez,Brandon Belt,Jonathan Villar,Manny Machado,Brandon Crawford,Bryce Harper,Ryan Braun,Domingo Santana
Yu Darvish,Luis Severino,Salvador Perez,Anthony Rizzo,Adam Frazier,Kris Bryant,Orlando Arcia,Bryce Harper,Kyle Schwarber,Domingo Santana
Max Scherzer,Luis Severino,Miguel Montero,Albert Pujols,Dee Gordon,Kris Bryant,Orlando Arcia,Kyle Schwarber,Domingo Santana,Josh Reddick
