"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Jon Lester",11900,"Mil@ChC 02:20PM ET",19.5,"ChC",NA,NA,NA,NA,NA
"SP","Yu Darvish",11600,"Tex@Oak 03:35PM ET",20.567,"Tex",NA,NA,NA,NA,NA
"SP","Jake Arrieta",11200,"Mil@ChC 02:20PM ET",23.067,"ChC",NA,NA,NA,NA,NA
"SP","Felix Hernandez",10400,"Mia@Sea 03:40PM ET",16.683,"Sea",0,16.9,17.707,14.7,11.85
"SP","Cole Hamels",10300,"Tex@Oak 03:35PM ET",11.167,"Tex",NA,NA,NA,NA,NA
"SP","Kyle Hendricks",10200,"Mil@ChC 02:20PM ET",12.175,"ChC",0,16.4,22.824,15.5,6.45
"SP","John Lackey",9900,"Mil@ChC 02:20PM ET",17.567,"ChC",NA,NA,NA,NA,NA
"SP","Carlos Martinez",9600,"Pit@StL 01:45PM ET",19.183,"StL",NA,NA,NA,NA,NA
"SP","Gerrit Cole",8900,"Pit@StL 01:45PM ET",9.75,"Pit",0,16.6,15.724,13.4,20.7
"SP","Dan Straily",8800,"Mia@Sea 03:40PM ET",9.783,"Mia",NA,NA,NA,NA,NA
"SP","James Paxton",8700,"Mia@Sea 03:40PM ET",30.683,"Sea",NA,NA,NA,NA,NA
"SP","Tyson Ross",8600,"Tex@Oak 03:35PM ET",0,"Tex",NA,NA,NA,NA,NA
"SP","Drew Smyly",8400,"Mia@Sea 03:40PM ET",0,"Sea",NA,NA,NA,NA,NA
"SP","Edinson Volquez",8300,"Mia@Sea 03:40PM ET",15.35,"Mia",0,13.8,13.169,11,-0.65
"SP","Hisashi Iwakuma",8300,"Mia@Sea 03:40PM ET",5.25,"Sea",NA,NA,NA,NA,NA
"SP","Jharel Cotton",8200,"Tex@Oak 03:35PM ET",11.033,"Oak",NA,NA,NA,NA,NA
"SP","Sean Manaea",8100,"Tex@Oak 03:35PM ET",14.717,"Oak",NA,NA,NA,NA,NA
"SP","Junior Guerra",8000,"Mil@ChC 02:20PM ET",9.55,"Mil",NA,NA,NA,NA,NA
"SP","Jameson Taillon",8000,"Pit@StL 01:45PM ET",20.867,"Pit",NA,NA,NA,NA,NA
"SP","Wei-Yin Chen",8000,"Mia@Sea 03:40PM ET",8.625,"Mia",NA,NA,NA,NA,NA
"SP","Tyler Glasnow",7900,"Pit@StL 01:45PM ET",1.1,"Pit",NA,NA,NA,NA,NA
"SP","Sonny Gray",7800,"Tex@Oak 03:35PM ET",0,"Oak",NA,NA,NA,NA,NA
"SP","Zach Davies",7700,"Mil@ChC 02:20PM ET",2.95,"Mil",NA,NA,NA,NA,NA
"SP","Adam Wainwright",7700,"Pit@StL 01:45PM ET",4.188,"StL",NA,NA,NA,NA,NA
"SP","Jimmy Nelson",7400,"Mil@ChC 02:20PM ET",24.025,"Mil",NA,NA,NA,NA,NA
"SP","Ivan Nova",7400,"Pit@StL 01:45PM ET",15.167,"Pit",NA,NA,NA,NA,NA
"SP","Michael Wacha",7200,"Pit@StL 01:45PM ET",21,"StL",0,14.8,13.605,10.1,19.4
"SP","Josh Hader",7100,"Mil@ChC 02:20PM ET",0,"Mil",NA,NA,NA,NA,NA
"SP","Adam Conley",7100,"Mia@Sea 03:40PM ET",10.6,"Mia",NA,NA,NA,NA,NA
"SP","Chase De Jong",7100,"Mia@Sea 03:40PM ET",-6.3,"Sea",NA,NA,NA,NA,NA
