"Ryan Braun_MIL","Dexter Fowler_STL","Matt Carpenter_STL","Lorenzo Cain_KC","Jonathan Villar_MIL","Aledmys Diaz_STL","Stephen Piscotty_STL","Eric Hosmer_KC","Rougned Odor_TEX","Shin-Soo Choo_TEX","Adrian Beltre_TEX","Randal Grichuk_STL","Jonathan Lucroy_TEX","Alex Gordon_KC","Mike Napoli_TEX","Brandon Moss_KC","Carlos Gomez_TEX","Jorge Soler_KC","Jedd Gyorko_STL","Whit Merrifield_KC","Elvis Andrus_TEX","Peter O'Brien_KC","Yadier Molina_STL","Keon Broxton_MIL","Salvador Perez_KC","Nomar Mazara_TEX","Eric Thames_MIL","Domingo Santana_MIL","Cheslor Cuthbert_KC","Joey Gallo_TEX","Alcides Escobar_KC","Mike Moustakas_KC","Paulo Orlando_KC","Billy Burns_KC","Jhonny Peralta_STL","Travis Shaw_MIL","Hernan Perez_MIL","Delino DeShields_TEX","Orlando Arcia_MIL","Matt Adams_STL","Kolten Wong_STL","Nick Franklin_MIL","Jurickson Profar_TEX","Jesus Aguilar_MIL","Harrison Bader_STL","Ryan O'Hearn_KC","Jose Martinez_STL","Robinson Chirinos_TEX","Terrance Gore_KC","Andrew Susac_MIL","Greg Garcia_STL","Kirk Nieuwenhuis_MIL","Brett Nicholas_TEX","Christian Colon_KC","Ryan Rua_TEX","Manny Pina_MIL","Carson Kelly_STL","Raul Mondesi_KC","Eric Fryer_STL","Jett Bandy_MIL","Hanser Alberto_TEX","Drew Butera_KC","Drew Robinson_TEX"
75.4102564102564,0,0,0,-29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.4222222222222,0,0,34.4222222222222,9.71818181818182,0,0,0,0,0,0,0,-21.0606060606061,-24.0666666666667,0,-2.90909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2142857142857,0,0,0,75.2,0,0,0
0,67.032967032967,-8.50909090909091,0,0,24.5,-6.31818181818182,0,0,0,0,-1.13636363636364,0,0,0,0,0,0,-10.1428571428571,0,0,0,1.83333333333333,0,0,0,0,0,0,0,0,0,0,0,3.21428571428571,0,0,0,0,0,-13.9166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-8.50909090909091,24.0181818181818,0,0,6.90277777777778,7.625,0,0,0,0,11.3333333333333,0,0,0,0,0,0,-1.66666666666667,0,0,0,1.08888888888889,0,0,0,0,0,0,0,0,0,0,0,1.52380952380952,0,0,0,0,0,-5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,22.5151515151515,0,0,0,-0.666666666666667,0,0,0,0,0,-0.5,0,-22.6111111111111,0,0,0,0,0,0,0,0,-1.33333333333333,0,0,0,0,0,-1.42424242424242,-10.3888888888889,-5.78241158658936e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3611111111111,0,0,0,0,0
-29.5,0,0,0,97.5164835164835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31818181818182,0,0,-27.1,-5.88181818181818,0,0,0,0,0,0,0,-10.5,11.3333333333333,0,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.4666666666667,0,0,0,-0.732142857142857,0,0,0
0,24.5,6.90277777777778,0,0,135.356060606061,-6.27777777777778,0,0,0,0,34.4772727272727,0,0,0,0,0,0,38.4,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,-2.28571428571429,0,0,0,0,0,-7.76190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-6.31818181818182,7.625,0,0,-6.27777777777778,71.969696969697,0,0,0,0,-5.47777777777778,0,0,0,0,0,0,29.6,0,0,0,4.57777777777778,0,0,0,0,0,0,0,0,0,0,0,5.47619047619048,0,0,0,0,0,-11.1428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.666666666666667,0,0,0,16.6969696969697,0,0,0,0,0,7.40909090909091,0,6.61111111111111,0,0,0,0,0,0,0,0,6.66666666666667,0,0,0,0,0,-0.424242424242424,1.3,0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01388888888889,0,0,0,0,0
0,0,0,0,0,0,0,0,30.5934065934066,14.7272727272727,0,0,3.06666666666667,0,7.9010989010989,0,24.6593406593407,0,0,0,4.6043956043956,0,0,0,0,32.2857142857143,0,0,0,-4.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,1.21428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,14.7272727272727,66.0606060606061,0,0,21.8611111111111,0,-6.87878787878788,0,11.0909090909091,0,0,0,-11.9090909090909,0,0,0,0,53.5151515151515,0,0,0,-15.2424242424242,0,0,0,0,0,0,0,0,0,0,0,0,14.2857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.13636363636364,11.3333333333333,0,0,34.4772727272727,-5.47777777777778,0,0,0,0,56.0227272727273,0,0,0,0,0,0,-43.8,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,-1.23214285714286,0,0,0,0,0,9.52380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3.06666666666667,21.8611111111111,0,0,56.4555555555556,0,10.3,0,-16.7777777777778,0,0,0,26.7444444444444,0,0,0,0,3.33333333333333,0,0,0,-0.555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-0.5,0,0,0,7.40909090909091,0,0,0,0,0,17.4772727272727,0,12.6388888888889,0,0,0,0,0,0,0,0,14.9545454545455,0,0,0,0,0,2.90909090909091,3.28888888888889,-1.44444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36111111111111,0,0,0,0,0
0,0,0,0,0,0,0,0,7.9010989010989,-6.87878787878788,0,0,10.3,0,40.5549450549451,0,6.1978021978022,0,0,0,-0.357142857142857,0,0,0,0,-11.6373626373626,0,0,0,5.15384615384615,0,0,0,0,0,0,0,0,0,0,0,0,1.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-22.6111111111111,0,0,0,6.61111111111111,0,0,0,0,0,12.6388888888889,0,32.6944444444444,0,0,0,0,0,0,0,0,6.73611111111111,0,0,0,0,0,-0.666666666666667,10.4027777777778,5.95238095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.1944444444444,0,0,0,0,0
0,0,0,0,0,0,0,0,24.6593406593407,11.0909090909091,0,0,-16.7777777777778,0,6.1978021978022,0,58.989010989011,0,0,0,8.17582417582418,0,0,0,0,50.5054945054945,0,0,0,1.38461538461538,0,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
