P,P,C,1B,2B,3B,SS,OF,OF,OF
Jon Lester,Cole Hamels,Travis d'Arnaud,Trey Mancini,Jose Ramirez,Manny Machado,JJ Hardy,Mark Trumbo,Yoenis Cespedes,Craig Gentry
Corey Kluber,Jacob deGrom,Travis d'Arnaud,Trey Mancini,Jonathan Schoop,Manny Machado,JJ Hardy,Yoenis Cespedes,Curtis Granderson,Craig Gentry
Justin Verlander,Dylan Bundy,Travis d'Arnaud,Trey Mancini,Jonathan Schoop,Manny Machado,Asdrubal Cabrera,Mark Trumbo,Yoenis Cespedes,Craig Gentry
Corey Kluber,Jon Lester,Alex Avila,Trey Mancini,Austin Barnes,Manny Machado,JJ Hardy,Mark Trumbo,Yasiel Puig,Craig Gentry
Corey Kluber,Jon Lester,Jose Lobaton,Trey Mancini,Jonathan Schoop,Stephen Drew,JJ Hardy,Bryce Harper,Mark Trumbo,Craig Gentry
Jon Lester,Justin Verlander,Geovany Soto,Trey Mancini,Jonathan Schoop,Todd Frazier,JJ Hardy,Mark Trumbo,Craig Gentry,Avisail Garcia
Sean Manaea,Adam Conley,Travis d'Arnaud,Trey Mancini,Jonathan Schoop,Stephen Drew,JJ Hardy,Mark Trumbo,Yoenis Cespedes,Craig Gentry
Corey Kluber,Jon Lester,Robinson Chirinos,Trey Mancini,Jonathan Schoop,Manny Machado,JJ Hardy,Giancarlo Stanton,Craig Gentry,Ichiro Suzuki
Justin Verlander,Sean Manaea,Travis d'Arnaud,Trey Mancini,Daniel Murphy,Manny Machado,JJ Hardy,Adam Jones,Yoenis Cespedes,Craig Gentry
Corey Kluber,Jon Lester,Robinson Chirinos,Trey Mancini,Jose Ramirez,Lonnie Chisenhall,JJ Hardy,Mark Trumbo,Adam Jones,Craig Gentry
Justin Verlander,Cole Hamels,Welington Castillo,Trey Mancini,Jonathan Schoop,Stephen Drew,JJ Hardy,Bryce Harper,Adam Eaton,Craig Gentry
Jacob deGrom,Cole Hamels,Geovany Soto,Trey Mancini,Tyler Saladino,Manny Machado,JJ Hardy,Mark Trumbo,Craig Gentry,Avisail Garcia
Justin Verlander,Dylan Bundy,Jose Lobaton,Trey Mancini,Jose Ramirez,Manny Machado,JJ Hardy,Bryce Harper,Mark Trumbo,Craig Gentry
