"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Chris Taylor","Eduardo Nunez","Brandon Crawford","Denard Span","Yasiel Puig","David Peralta"
"2","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Austin Barnes","Justin Turner","Brandon Crawford","Denard Span","Yasiel Puig","Chris Marrero"
"3","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Trevor Story","Denard Span","Christian Yelich","Yasiel Puig"
"4","Carlos Carrasco","Tyler Skaggs","Buster Posey","Eric Thames","Austin Barnes","Eduardo Nunez","Brandon Crawford","Denard Span","Yasiel Puig","Brett Eibner"
"5","Carlos Carrasco","Ian Kennedy","Buster Posey","Eric Thames","Chris Taylor","Eduardo Nunez","Brandon Crawford","Christian Yelich","Yasiel Puig","Chris Marrero"
"6","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Chris Taylor","Justin Turner","Trevor Story","Denard Span","Yasiel Puig","Brett Eibner"
"7","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Chris Taylor","Mike Moustakas","Brandon Crawford","Mike Trout","Yasiel Puig","Chris Marrero"
"8","Carlos Carrasco","Jaime Garcia","Buster Posey","Eric Thames","Chris Taylor","Justin Turner","Brandon Crawford","Denard Span","Yasiel Puig","Joc Pederson"
"9","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Joe Panik","Justin Turner","Brandon Crawford","Christian Yelich","Yasiel Puig","David Peralta"
"10","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Austin Barnes","Mike Moustakas","Brandon Crawford","Denard Span","Christian Yelich","David Peralta"
"11","Jerad Eickhoff","Tyler Skaggs","Buster Posey","Brandon Belt","Austin Barnes","Nolan Arenado","Brandon Crawford","Denard Span","Yasiel Puig","David Peralta"
"12","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Jonathan Villar","Jake Lamb","Brandon Crawford","Denard Span","Yasiel Puig","Brett Eibner"
"13","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Dee Gordon","Nolan Arenado","Brandon Crawford","Denard Span","Christian Yelich","Yasiel Puig"
"14","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Brandon Crawford","Giancarlo Stanton","Yasiel Puig","Kevin Pillar"
"15","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Francisco Lindor","Mike Trout","Yasiel Puig","Chris Marrero"
"16","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Chris Taylor","Nolan Arenado","Xander Bogaerts","Denard Span","Yasiel Puig","Chris Marrero"
"17","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Greg Garcia","Jake Lamb","Brandon Crawford","Yasiel Puig","David Peralta","Chris Marrero"
"18","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Joe Panik","Jake Lamb","Trevor Story","Denard Span","Yasiel Puig","Chris Marrero"
"19","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Chris Taylor","Justin Turner","Francisco Lindor","Yasiel Puig","Joc Pederson","David Peralta"
"20","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Dee Gordon","Eduardo Nunez","Trevor Story","Yasiel Puig","David Peralta","Chris Marrero"
"21","Carlos Carrasco","Chase Anderson","Buster Posey","Eric Thames","Joe Panik","Eduardo Nunez","Francisco Lindor","Denard Span","Yasiel Puig","David Peralta"
"22","Tyler Skaggs","Ian Kennedy","Buster Posey","Brandon Belt","Jonathan Villar","Eduardo Nunez","Trevor Story","Denard Span","Yasiel Puig","David Peralta"
"23","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Eric Thames","Greg Garcia","Mike Moustakas","Brandon Crawford","Denard Span","Yasiel Puig","Chris Marrero"
"24","Carlos Carrasco","Ian Kennedy","Buster Posey","Eric Thames","Austin Barnes","Eduardo Nunez","Trevor Story","Denard Span","David Peralta","Chris Marrero"
"25","Tyler Skaggs","Ian Kennedy","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Brandon Crawford","Mike Trout","Christian Yelich","Yasiel Puig"
"26","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Jonathan Villar","Eduardo Nunez","Francisco Lindor","Giancarlo Stanton","Denard Span","Yasiel Puig"
"27","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Jonathan Villar","Eduardo Nunez","Brandon Crawford","AJ Pollock","Yasiel Puig","Chris Marrero"
"28","Carlos Carrasco","Ian Kennedy","Buster Posey","Eric Thames","Austin Barnes","Justin Turner","Trevor Story","Christian Yelich","Yasiel Puig","Joc Pederson"
"29","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Cesar Hernandez","Nolan Arenado","Brandon Crawford","Giancarlo Stanton","Yasiel Puig","Chris Marrero"
"30","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Austin Barnes","Manny Machado","Brandon Crawford","Christian Yelich","Yasiel Puig","Gorkys Hernandez"
"31","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Greg Garcia","Eduardo Nunez","Xander Bogaerts","Denard Span","Yasiel Puig","Brett Eibner"
"32","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Brandon Belt","Austin Barnes","Justin Turner","Xander Bogaerts","Christian Yelich","Yasiel Puig","Brett Eibner"
"33","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Rougned Odor","Mike Moustakas","Brandon Crawford","Denard Span","Yasiel Puig","Joc Pederson"
"34","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Chris Taylor","Nolan Arenado","Brandon Crawford","Yasiel Puig","Gorkys Hernandez","Brett Eibner"
"35","Jerad Eickhoff","Ian Kennedy","Buster Posey","Brandon Belt","Chris Taylor","Jake Lamb","Brandon Crawford","Mike Trout","Denard Span","Yasiel Puig"
"36","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Jonathan Villar","Justin Turner","Brandon Crawford","Mike Trout","Denard Span","David Peralta"
"37","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Chris Taylor","Mike Moustakas","Francisco Lindor","Denard Span","David Peralta","Chris Marrero"
"38","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Austin Barnes","Jake Lamb","Brandon Crawford","Giancarlo Stanton","Denard Span","Joc Pederson"
"39","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Brandon Crawford","Mike Trout","Yasiel Puig","Joc Pederson"
"40","Tyler Skaggs","Jaime Garcia","Buster Posey","Brandon Belt","Joe Panik","Justin Turner","Brandon Crawford","Mike Trout","Denard Span","Yasiel Puig"
"41","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Francisco Lindor","Denard Span","David Peralta","Brett Eibner"
"42","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Austin Barnes","Nolan Arenado","Brandon Crawford","Mike Trout","David Peralta","Chris Marrero"
"43","Carlos Carrasco","Robbie Ray","Buster Posey","Brandon Belt","Greg Garcia","Eduardo Nunez","Andrelton Simmons","Denard Span","David Peralta","Chris Marrero"
"44","Carlos Carrasco","Ian Kennedy","JT Realmuto","Brandon Belt","Chris Taylor","Eduardo Nunez","Trevor Story","Denard Span","Yasiel Puig","Chris Marrero"
"45","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Chris Taylor","Justin Turner","Brandon Crawford","Giancarlo Stanton","Denard Span","AJ Pollock"
"46","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Austin Barnes","Eduardo Nunez","Andrelton Simmons","Yasiel Puig","Gorkys Hernandez","David Peralta"
"47","Jerad Eickhoff","Tyler Skaggs","Buster Posey","Brandon Belt","Chris Taylor","Eduardo Nunez","Francisco Lindor","Denard Span","Christian Yelich","Yasiel Puig"
"48","Carlos Carrasco","Robbie Ray","Buster Posey","Eric Thames","Daniel Descalso","Jake Lamb","Brandon Crawford","Denard Span","David Peralta","Chris Marrero"
"49","Carlos Carrasco","Jerad Eickhoff","Buster Posey","Albert Pujols","Austin Barnes","Eduardo Nunez","Brandon Crawford","Yasiel Puig","David Peralta","Chris Marrero"
"50","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Dee Gordon","Justin Turner","Francisco Lindor","Denard Span","Yasiel Puig","Gorkys Hernandez"
