"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Chris Taylor","Eduardo Nunez","Brandon Crawford","Yasiel Puig","David Peralta","Chris Marrero"
"2","Carlos Carrasco","Chase Anderson","Buster Posey","Brandon Belt","Joe Panik","Justin Turner","Trevor Story","Denard Span","Yasiel Puig","David Peralta"
"3","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Joe Panik","Nolan Arenado","Brandon Crawford","Christian Yelich","Yasiel Puig","Brett Eibner"
"4","Carlos Carrasco","Jaime Garcia","Buster Posey","Eric Thames","Austin Barnes","Eduardo Nunez","Brandon Crawford","Denard Span","Christian Yelich","Chris Marrero"
"5","Robbie Ray","Ian Kennedy","Buster Posey","Brandon Belt","Joe Panik","Mike Moustakas","Brandon Crawford","Denard Span","Christian Yelich","David Peralta"
"6","Tyler Skaggs","Ian Kennedy","Buster Posey","Eric Thames","Joe Panik","Eduardo Nunez","Brandon Crawford","Denard Span","Yasiel Puig","Joc Pederson"
"7","Jerad Eickhoff","Tyler Skaggs","Buster Posey","Brandon Belt","Joe Panik","Justin Turner","Brandon Crawford","Mike Trout","Yasiel Puig","Chris Marrero"
"8","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Xander Bogaerts","Denard Span","Christian Yelich","Joc Pederson"
"9","Robbie Ray","Lance Lynn","Buster Posey","Brandon Belt","Joe Panik","Nolan Arenado","Trevor Story","Mike Trout","Denard Span","Chris Marrero"
"10","Jerad Eickhoff","Jaime Garcia","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Francisco Lindor","Giancarlo Stanton","Denard Span","Yasiel Puig"
"11","Robbie Ray","Tyler Skaggs","Buster Posey","Eric Thames","Jonathan Villar","Eduardo Nunez","Brandon Crawford","Giancarlo Stanton","David Peralta","Chris Marrero"
"12","Carlos Carrasco","Nick Martinez","Buster Posey","Brandon Belt","Joe Panik","Jake Lamb","Brandon Crawford","Mike Trout","Giancarlo Stanton","David Peralta"
"13","Carlos Carrasco","Jaime Garcia","Buster Posey","Scott Van Slyke","Chris Taylor","Justin Turner","Brandon Crawford","Mike Trout","Denard Span","Yasiel Puig"
"14","Carlos Carrasco","Lance Lynn","Buster Posey","Kendrys Morales","Joe Panik","Eduardo Nunez","Brandon Crawford","Denard Span","AJ Pollock","David Peralta"
"15","Carlos Carrasco","Jaime Garcia","Buster Posey","Brandon Belt","Joe Panik","Mike Moustakas","Brandon Crawford","AJ Pollock","Joc Pederson","Chris Marrero"
"16","Carlos Carrasco","Tyler Skaggs","Buster Posey","Brandon Belt","Joe Panik","Jake Lamb","Francisco Lindor","Denard Span","Chris Marrero","Brett Eibner"
"17","Robbie Ray","Lance Lynn","Buster Posey","Brandon Belt","DJ LeMahieu","Eduardo Nunez","Brandon Crawford","Mookie Betts","Christian Yelich","Chris Marrero"
"18","Carlos Carrasco","Jaime Garcia","Buster Posey","Paul Goldschmidt","Austin Barnes","Jake Lamb","Brandon Crawford","AJ Pollock","Yasiel Puig","David Peralta"
"19","Tyler Skaggs","Lance Lynn","Buster Posey","Brandon Belt","Joe Panik","Mike Moustakas","Xander Bogaerts","Mookie Betts","Denard Span","Yasiel Puig"
"20","Carlos Carrasco","Tyler Skaggs","Buster Posey","Scott Van Slyke","Austin Barnes","Eduardo Nunez","Trevor Story","Yasiel Puig","Joc Pederson","David Peralta"
"21","Tyler Skaggs","Chase Anderson","Buster Posey","Brandon Belt","Joe Panik","Nolan Arenado","Brandon Crawford","Giancarlo Stanton","Denard Span","AJ Pollock"
"22","Carlos Carrasco","Lance Lynn","Buster Posey","Freddie Freeman","Dee Gordon","Eduardo Nunez","Brandon Crawford","Giancarlo Stanton","Joc Pederson","Chris Marrero"
"23","Carlos Carrasco","Ian Kennedy","JT Realmuto","Brandon Belt","Chris Taylor","Justin Turner","Brandon Crawford","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"24","Carlos Carrasco","Tyler Skaggs","Chris Herrmann","Eric Thames","Rougned Odor","Eduardo Nunez","Brandon Crawford","Yasiel Puig","Gorkys Hernandez","Chris Marrero"
"25","Carlos Carrasco","Chase Anderson","Buster Posey","Eric Thames","Jonathan Villar","Travis Shaw","Brandon Crawford","Ryan Braun","Yasiel Puig","David Peralta"
"26","Robbie Ray","Ian Kennedy","Buster Posey","Freddie Freeman","Cesar Hernandez","Eduardo Nunez","Brandon Crawford","Mike Trout","Denard Span","Chris Marrero"
"27","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Joe Panik","Justin Turner","Brandon Crawford","Gorkys Hernandez","Chris Young","Kevin Pillar"
"28","Carlos Carrasco","Chase Anderson","Buster Posey","Wil Myers","Joe Panik","Eduardo Nunez","Brandon Crawford","Giancarlo Stanton","Yasiel Puig","Kevin Pillar"
"29","Robbie Ray","Jaime Garcia","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Brandon Crawford","Mike Trout","Jose Bautista","Kevin Pillar"
"30","Carlos Carrasco","Jerad Eickhoff","JT Realmuto","Brandon Belt","Austin Barnes","Eduardo Nunez","Brandon Crawford","Joc Pederson","Gorkys Hernandez","Chris Marrero"
"31","Ian Kennedy","Jaime Garcia","Buster Posey","Brandon Belt","Joe Panik","Manny Machado","Brandon Crawford","Mookie Betts","Yasiel Puig","Marcell Ozuna"
"32","Ian Kennedy","Jaime Garcia","Buster Posey","Brandon Belt","Joe Panik","Justin Turner","Xander Bogaerts","Mike Trout","Denard Span","AJ Pollock"
"33","Jerad Eickhoff","Chase Anderson","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Brandon Crawford","Mookie Betts","Joc Pederson","David Peralta"
"34","Carlos Carrasco","Matt Moore","Buster Posey","Brandon Belt","Joe Panik","Mike Moustakas","Andrelton Simmons","Mike Trout","Denard Span","Marcell Ozuna"
"35","Carlos Carrasco","Jayson Aquino","Buster Posey","Brandon Belt","Joe Panik","Manny Machado","Brandon Crawford","Denard Span","Jose Bautista","Carlos Gomez"
"36","Carlos Carrasco","Matt Moore","Buster Posey","Eric Thames","Joe Panik","Eduardo Nunez","Brandon Crawford","Mike Trout","Shin-Soo Choo","Brett Eibner"
"37","Carlos Carrasco","Lance Lynn","Buster Posey","Brandon Belt","Martin Prado","Eduardo Nunez","Francisco Lindor","Giancarlo Stanton","Christian Yelich","Marcell Ozuna"
"38","Jerad Eickhoff","Chase Anderson","Buster Posey","Hanley Ramirez","Jonathan Villar","Eduardo Nunez","Brandon Crawford","Denard Span","Yasiel Puig","Chris Marrero"
"39","Carlos Carrasco","Ian Kennedy","Buster Posey","Brandon Belt","Daniel Descalso","Jake Lamb","Chris Owings","Denard Span","Yasiel Puig","Yasmany Tomas"
"40","Carlos Carrasco","Robbie Ray","Buster Posey","Matt Carpenter","Daniel Descalso","Eduardo Nunez","Brandon Crawford","AJ Pollock","Kevin Pillar","Chris Marrero"
"41","Carlos Carrasco","Ian Kennedy","Buster Posey","Scott Van Slyke","Jonathan Villar","Justin Turner","Francisco Lindor","Christian Yelich","Yasiel Puig","Joc Pederson"
"42","Jerad Eickhoff","Ian Kennedy","Buster Posey","Brandon Belt","Joe Panik","Jake Lamb","Trevor Story","Denard Span","Jose Bautista","Joc Pederson"
"43","Robbie Ray","Jerad Eickhoff","Buster Posey","Eric Thames","Joe Panik","Eduardo Nunez","Brandon Crawford","Christian Yelich","Gorkys Hernandez","Marcell Ozuna"
"44","Robbie Ray","Tyler Skaggs","Buster Posey","Brandon Belt","Joe Panik","Eduardo Nunez","Andrelton Simmons","Denard Span","Carlos Gomez","Nomar Mazara"
"45","Carlos Carrasco","Robbie Ray","Buster Posey","Brandon Belt","Joe Panik","Miguel Rojas","Dansby Swanson","Denard Span","AJ Pollock","Kevin Pillar"
"46","Tyler Skaggs","Jaime Garcia","Buster Posey","Brandon Belt","Joe Panik","Manny Machado","Trevor Story","Denard Span","Christian Yelich","Gorkys Hernandez"
"47","Carlos Carrasco","Ian Kennedy","JT Realmuto","Scott Van Slyke","Austin Barnes","Nolan Arenado","Brandon Crawford","Denard Span","Yasiel Puig","Joc Pederson"
"48","Carlos Carrasco","Tyler Skaggs","JT Realmuto","Brandon Belt","Austin Barnes","Derek Dietrich","Trevor Story","Giancarlo Stanton","Yasiel Puig","Marcell Ozuna"
"49","Robbie Ray","Lance Lynn","Buster Posey","Brandon Belt","Joe Panik","Manny Machado","Brandon Crawford","Giancarlo Stanton","Shin-Soo Choo","Gorkys Hernandez"
"50","Carlos Carrasco","Robbie Ray","Austin Hedges","Kendrys Morales","Jonathan Villar","Eduardo Nunez","Brandon Crawford","Denard Span","Gorkys Hernandez","Chris Marrero"
