P,P,C,1B,2B,3B,SS,OF,OF,OF
Carlos Carrasco,Lance Lynn,Buster Posey,Brandon Belt,Chris Taylor,Eduardo Nunez,Brandon Crawford,Denard Span,Yasiel Puig,David Peralta
Carlos Carrasco,Ian Kennedy,Buster Posey,Brandon Belt,Austin Barnes,Justin Turner,Trevor Story,Denard Span,Yasiel Puig,Chris Marrero
Carlos Carrasco,Jaime Garcia,Buster Posey,Eric Thames,Jonathan Villar,Mike Moustakas,Brandon Crawford,Denard Span,Yasiel Puig,Chris Marrero
Carlos Carrasco,Jaime Garcia,Buster Posey,Brandon Belt,Austin Barnes,Nolan Arenado,Brandon Crawford,Christian Yelich,David Peralta,Chris Marrero
Carlos Carrasco,Chase Anderson,Buster Posey,Brandon Belt,Joe Panik,Justin Turner,Brandon Crawford,Christian Yelich,Yasiel Puig,Joc Pederson
Carlos Carrasco,Tyler Skaggs,Buster Posey,Eric Thames,Austin Barnes,Justin Turner,Brandon Crawford,Mike Trout,Yasiel Puig,Brett Eibner
Carlos Carrasco,Ian Kennedy,Buster Posey,Eric Thames,Chris Taylor,Justin Turner,Xander Bogaerts,Yasiel Puig,Joc Pederson,David Peralta
Tyler Skaggs,Ian Kennedy,Buster Posey,Eric Thames,Joe Panik,Nolan Arenado,Brandon Crawford,Denard Span,Yasiel Puig,David Peralta
Robbie Ray,Ian Kennedy,Buster Posey,Brandon Belt,Jonathan Villar,Mike Moustakas,Brandon Crawford,Denard Span,Christian Yelich,David Peralta
Jerad Eickhoff,Ian Kennedy,Buster Posey,Brandon Belt,Austin Barnes,Eduardo Nunez,Brandon Crawford,Mike Trout,Christian Yelich,Yasiel Puig
Carlos Carrasco,Lance Lynn,Buster Posey,Brandon Belt,Joe Panik,Mike Moustakas,Francisco Lindor,Mike Trout,Yasiel Puig,Chris Marrero
Tyler Skaggs,Ian Kennedy,Buster Posey,Brandon Belt,Jonathan Villar,Eduardo Nunez,Francisco Lindor,Denard Span,Yasiel Puig,Joc Pederson
Carlos Carrasco,Robbie Ray,Buster Posey,Brandon Belt,Daniel Descalso,Jake Lamb,Francisco Lindor,Denard Span,David Peralta,Chris Marrero
Carlos Carrasco,Jerad Eickhoff,Buster Posey,Brandon Belt,DJ LeMahieu,Jake Lamb,Brandon Crawford,Yasiel Puig,Chris Marrero,Brett Eibner
Carlos Carrasco,Ian Kennedy,Buster Posey,Eric Thames,Austin Barnes,Eduardo Nunez,Brandon Crawford,Denard Span,Joc Pederson,Kevin Pillar
Carlos Carrasco,Tyler Skaggs,JT Realmuto,Brandon Belt,Austin Barnes,Eduardo Nunez,Brandon Crawford,Yasiel Puig,Joc Pederson,Chris Marrero
Carlos Carrasco,Jaime Garcia,Buster Posey,Brandon Belt,Chris Taylor,Nolan Arenado,Trevor Story,Yasiel Puig,Joc Pederson,Brett Eibner
Carlos Carrasco,Ian Kennedy,Buster Posey,Brandon Belt,Chris Taylor,Mike Moustakas,Brandon Crawford,Giancarlo Stanton,Joc Pederson,Chris Marrero
Jerad Eickhoff,Tyler Skaggs,Buster Posey,Brandon Belt,Chris Taylor,Nolan Arenado,Xander Bogaerts,Denard Span,Yasiel Puig,Chris Marrero
Carlos Carrasco,Nick Martinez,Buster Posey,Eric Thames,Joe Panik,Eduardo Nunez,Trevor Story,Denard Span,Christian Yelich,Yasiel Puig
Carlos Carrasco,Jerad Eickhoff,Chris Herrmann,Brandon Belt,Austin Barnes,Mike Moustakas,Brandon Crawford,Denard Span,Yasiel Puig,Gorkys Hernandez
Robbie Ray,Lance Lynn,Buster Posey,Brandon Belt,Joe Panik,Nolan Arenado,Trevor Story,Giancarlo Stanton,Denard Span,David Peralta
Carlos Carrasco,Chase Anderson,Buster Posey,Brandon Belt,Chris Taylor,Eduardo Nunez,Trevor Story,Mike Trout,Christian Yelich,Chris Marrero
Carlos Carrasco,Chase Anderson,Buster Posey,Brandon Belt,Austin Barnes,Jake Lamb,Brandon Crawford,Giancarlo Stanton,Denard Span,AJ Pollock
Carlos Carrasco,Jaime Garcia,Buster Posey,Brandon Belt,Austin Barnes,Eduardo Nunez,Francisco Lindor,AJ Pollock,Yasiel Puig,Gorkys Hernandez
Tyler Skaggs,Jaime Garcia,Buster Posey,Brandon Belt,DJ LeMahieu,Justin Turner,Brandon Crawford,Giancarlo Stanton,Denard Span,Yasiel Puig
Carlos Carrasco,Jaime Garcia,Buster Posey,Brandon Belt,Greg Garcia,Eduardo Nunez,Xander Bogaerts,Denard Span,Joc Pederson,Chris Marrero
Tyler Skaggs,Jaime Garcia,Buster Posey,Brandon Belt,Joe Panik,Eduardo Nunez,Trevor Story,Mike Trout,Yasiel Puig,David Peralta
Carlos Carrasco,Robbie Ray,Buster Posey,Eric Thames,Greg Garcia,Eduardo Nunez,Brandon Crawford,Gorkys Hernandez,David Peralta,Chris Marrero
Carlos Carrasco,Nick Martinez,Buster Posey,Brandon Belt,Jonathan Villar,Nolan Arenado,Brandon Crawford,Mike Trout,Denard Span,Brett Eibner
Carlos Carrasco,Ian Kennedy,Buster Posey,Brandon Belt,Joe Panik,Eduardo Nunez,Andrelton Simmons,Giancarlo Stanton,Yasiel Puig,Brett Eibner
Carlos Carrasco,Ian Kennedy,Buster Posey,Brandon Belt,Daniel Descalso,Nolan Arenado,Brandon Crawford,Yasiel Puig,Gorkys Hernandez,Kevin Pillar
Carlos Carrasco,Jaime Garcia,Buster Posey,Brandon Belt,Joe Panik,Justin Turner,Andrelton Simmons,Denard Span,AJ Pollock,David Peralta
