"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Jesse Chavez","Amir Garrett","Yasmani Grandal","Ryan Zimmerman","DJ LeMahieu","Nolan Arenado","Trea Turner","Jayson Werth","David Peralta","Yasiel Puig"
"2","Chris Archer","Amir Garrett","Jose Lobaton","Ryan Zimmerman","Tyler Saladino","Justin Turner","Trea Turner","Jayson Werth","David Peralta","Andrew Toles"
"3","Chris Archer","Amir Garrett","Yasmani Grandal","Ryan Zimmerman","Josh Harrison","Justin Turner","Trea Turner","Kyle Schwarber","AJ Pollock","Yasiel Puig"
"4","Chris Archer","Jesse Chavez","Chris Gimenez","Ryan Zimmerman","DJ LeMahieu","Anthony Rendon","Trea Turner","David Peralta","Andrew Toles","Jabari Blash"
"5","Chris Archer","Jesse Chavez","Yasmani Grandal","Ryan Zimmerman","Yangervis Solarte","Mike Moustakas","Trea Turner","Jayson Werth","Kyle Schwarber","Andrew Toles"
"6","Jesse Chavez","Amir Garrett","Jose Lobaton","Ryan Zimmerman","DJ LeMahieu","Anthony Rendon","Trea Turner","Kyle Schwarber","AJ Pollock","Jason Heyward"
"7","Chris Archer","Jesse Chavez","Jose Lobaton","Mark Reynolds","DJ LeMahieu","Justin Turner","Trea Turner","Kyle Schwarber","Yasiel Puig","Andrew Toles"
"8","Chris Archer","Amir Garrett","Salvador Perez","Ryan Zimmerman","Chase Utley","Anthony Rendon","Trea Turner","David Peralta","Yasiel Puig","Jason Heyward"
"9","Jesse Chavez","Amir Garrett","Salvador Perez","Ryan Zimmerman","Brian Dozier","Justin Turner","Trea Turner","Jayson Werth","Billy Hamilton","Kyle Schwarber"
"10","Chris Archer","Jesse Chavez","Miguel Montero","Ryan Zimmerman","Ben Zobrist","Justin Turner","Trea Turner","Kyle Schwarber","David Peralta","Jason Heyward"
"11","Chris Archer","Jesse Chavez","Jose Lobaton","Ryan Zimmerman","Tyler Saladino","Nolan Arenado","Trea Turner","Yasiel Puig","Jason Heyward","Jabari Blash"
"12","Chris Archer","Amir Garrett","Chris Gimenez","Ryan Zimmerman","DJ LeMahieu","Chris Coghlan","Trea Turner","Jayson Werth","Kyle Schwarber","Kevin Pillar"
