P,P,C,1B,2B,3B,SS,OF,OF,OF
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,DJ LeMahieu,Nolan Arenado,Trea Turner,Jayson Werth,David Peralta,Andrew Toles
Jesse Chavez,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,DJ LeMahieu,Anthony Rendon,Trea Turner,Jayson Werth,AJ Pollock,Yasiel Puig
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,DJ LeMahieu,Justin Turner,Trea Turner,Kyle Schwarber,Yasiel Puig,Andrew Toles
Chris Archer,Jesse Chavez,Yasmani Grandal,Ryan Zimmerman,Chase Utley,Nolan Arenado,Trea Turner,David Peralta,Yasiel Puig,Andrew Toles
Jesse Chavez,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Daniel Murphy,Justin Turner,Trea Turner,Jayson Werth,Kyle Schwarber,David Peralta
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Josh Harrison,Justin Turner,Trea Turner,Jayson Werth,David Peralta,Jabari Blash
Chris Archer,Jesse Chavez,Yasmani Grandal,Adrian Gonzalez,DJ LeMahieu,Justin Turner,Trea Turner,Jayson Werth,David Peralta,Yasiel Puig
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,DJ LeMahieu,Chris Coghlan,Trea Turner,Jayson Werth,Yasiel Puig,Jason Heyward
Chris Archer,Jesse Chavez,Yasmani Grandal,Ryan Zimmerman,Josh Harrison,Anthony Rendon,Trea Turner,Jayson Werth,Andrew Toles,Jabari Blash
Chris Archer,Jesse Chavez,Jose Lobaton,Ryan Zimmerman,Yangervis Solarte,Justin Turner,Trea Turner,Jayson Werth,Yasiel Puig,Andrew Toles
Jesse Chavez,Amir Garrett,Yasmani Grandal,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Trea Turner,Carlos Gonzalez,David Peralta,Yasiel Puig
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Chase Utley,Mike Moustakas,Trea Turner,Jayson Werth,Kyle Schwarber,Andrew Toles
Jesse Chavez,Amir Garrett,Chris Gimenez,Ryan Zimmerman,Brian Dozier,Anthony Rendon,Trea Turner,Jayson Werth,Kyle Schwarber,Andrew Toles
Chris Archer,Amir Garrett,Chris Gimenez,Ryan Zimmerman,Daniel Murphy,Chris Coghlan,Trea Turner,Jayson Werth,David Peralta,Andrew Toles
Chris Archer,Amir Garrett,Jeff Mathis,Ryan Zimmerman,DJ LeMahieu,Jake Lamb,Trea Turner,AJ Pollock,David Peralta,Andrew Toles
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Josh Harrison,Anthony Rendon,Trea Turner,Kyle Schwarber,AJ Pollock,David Peralta
Chris Archer,Amir Garrett,Geovany Soto,Ryan Zimmerman,Tyler Saladino,Anthony Rendon,Trea Turner,Jayson Werth,Jason Heyward,Andrew Toles
Jesse Chavez,Amir Garrett,Tony Wolters,Ryan Zimmerman,DJ LeMahieu,Nolan Arenado,Trea Turner,Kyle Schwarber,Gerardo Parra,Yasiel Puig
Chris Archer,Amir Garrett,Miguel Montero,Ryan Zimmerman,Ben Zobrist,Justin Turner,Trea Turner,Kyle Schwarber,David Peralta,Jason Heyward
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Danny Espinosa,Anthony Rendon,Trea Turner,David Peralta,Yasiel Puig,Andrew Toles
Chris Archer,Amir Garrett,Yasmani Grandal,Adrian Gonzalez,Josh Harrison,Nolan Arenado,Trea Turner,Jayson Werth,Yasiel Puig,Andrew Toles
Jesse Chavez,Amir Garrett,Salvador Perez,Ryan Zimmerman,Yangervis Solarte,Anthony Rendon,Trea Turner,Jayson Werth,Billy Hamilton,David Peralta
Chris Archer,Jesse Chavez,Jose Lobaton,Ryan Zimmerman,Tyler Saladino,Anthony Rendon,Trea Turner,David Peralta,Jason Heyward,Jabari Blash
Jesse Chavez,Amir Garrett,Geovany Soto,Ryan Zimmerman,Daniel Murphy,Nolan Arenado,Trea Turner,Jayson Werth,Yasiel Puig,Jason Heyward
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Rougned Odor,Jake Lamb,Trea Turner,Jayson Werth,Kyle Schwarber,Yasiel Puig
Jesse Chavez,Amir Garrett,Miguel Montero,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Carlos Gonzalez,David Peralta,Andrew Toles
Jesse Chavez,Amir Garrett,Tony Wolters,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Trea Turner,Jayson Werth,AJ Pollock,Jason Heyward
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Ryan Goins,Anthony Rendon,Trea Turner,Jayson Werth,David Peralta,Kevin Pillar
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Brian Dozier,Justin Turner,Trea Turner,Jayson Werth,AJ Pollock,Gerardo Parra
Chris Archer,Jesse Chavez,Yasmani Grandal,Ryan Zimmerman,DJ LeMahieu,Justin Turner,Corey Seager,Jayson Werth,AJ Pollock,Andrew Toles
Jesse Chavez,Amir Garrett,Chris Gimenez,Ryan Zimmerman,DJ LeMahieu,Anthony Rendon,Trea Turner,Adam Eaton,David Peralta,Jason Heyward
Jesse Chavez,Amir Garrett,Buster Posey,Ryan Zimmerman,Daniel Murphy,Jake Lamb,Trea Turner,Jayson Werth,AJ Pollock,Andrew Toles
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,DJ LeMahieu,Justin Turner,Trea Turner,Michael Taylor,Billy Hamilton,Kyle Schwarber
Chris Archer,Jesse Chavez,Jose Lobaton,Ryan Zimmerman,Josh Harrison,Mike Moustakas,Trea Turner,Michael Taylor,David Peralta,Andrew Toles
Jesse Chavez,Amir Garrett,Tony Wolters,Ryan Zimmerman,DJ LeMahieu,Mike Moustakas,Trea Turner,Charlie Blackmon,Carlos Gonzalez,David Peralta
Chris Archer,Jesse Chavez,Yasmani Grandal,Ryan Zimmerman,Brian Dozier,Justin Turner,Corey Seager,Kyle Schwarber,David Peralta,Yasiel Puig
