P,P,C,1B,2B,3B,SS,OF,OF,OF
Jesse Chavez,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,DJ LeMahieu,Nolan Arenado,Trea Turner,Jayson Werth,David Peralta,Yasiel Puig
Chris Archer,Amir Garrett,Chris Gimenez,Ryan Zimmerman,DJ LeMahieu,Justin Turner,Trea Turner,Kyle Schwarber,David Peralta,Andrew Toles
Chris Archer,Jesse Chavez,Jose Lobaton,Ryan Zimmerman,Josh Harrison,Mike Moustakas,Trea Turner,Jayson Werth,David Peralta,Andrew Toles
Chris Archer,Jesse Chavez,Yasmani Grandal,Ryan Zimmerman,Josh Harrison,Justin Turner,Trea Turner,Kyle Schwarber,AJ Pollock,Yasiel Puig
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,DJ LeMahieu,Anthony Rendon,Trea Turner,Kyle Schwarber,AJ Pollock,Jason Heyward
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Tyler Saladino,Anthony Rendon,Trea Turner,Jayson Werth,Andrew Toles,Jabari Blash
Chris Archer,Jesse Chavez,Salvador Perez,Ryan Zimmerman,DJ LeMahieu,Nolan Arenado,Trea Turner,Jason Heyward,Andrew Toles,Jabari Blash
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Brad Miller,Mike Moustakas,Trea Turner,AJ Pollock,David Peralta,Jason Heyward
Chris Archer,Jesse Chavez,Jose Lobaton,Mark Reynolds,DJ LeMahieu,Justin Turner,Trea Turner,David Peralta,Yasiel Puig,Jason Heyward
Jesse Chavez,Amir Garrett,Salvador Perez,Ryan Zimmerman,Brian Dozier,Justin Turner,Trea Turner,Jayson Werth,Billy Hamilton,Kyle Schwarber
Chris Archer,Amir Garrett,Miguel Montero,Ryan Zimmerman,Chase Utley,Mike Moustakas,Trea Turner,Jayson Werth,Kyle Schwarber,Yasiel Puig
Chris Archer,Amir Garrett,Salvador Perez,Mark Reynolds,Tyler Saladino,Nolan Arenado,Trea Turner,David Peralta,Yasiel Puig,Andrew Toles
Chris Archer,Jesse Chavez,Yasmani Grandal,Adrian Gonzalez,Yangervis Solarte,Nolan Arenado,Trea Turner,Kyle Schwarber,David Peralta,Andrew Toles
Chris Archer,Amir Garrett,Yasmani Grandal,Mark Reynolds,DJ LeMahieu,Chris Coghlan,Trea Turner,Jayson Werth,Kyle Schwarber,Jason Heyward
Jesse Chavez,Amir Garrett,Geovany Soto,Ryan Zimmerman,Brian Dozier,Nolan Arenado,Trea Turner,Carlos Gonzalez,AJ Pollock,Andrew Toles
Chris Archer,Jesse Chavez,Chris Gimenez,Ryan Zimmerman,Yangervis Solarte,Anthony Rendon,Trea Turner,David Peralta,Yasiel Puig,Jabari Blash
Chris Archer,Jesse Chavez,Geovany Soto,Ryan Zimmerman,Tyler Saladino,Jake Lamb,Trea Turner,Kyle Schwarber,David Peralta,Jason Heyward
Jesse Chavez,Amir Garrett,Chris Gimenez,Mark Reynolds,Josh Harrison,Nolan Arenado,Trea Turner,Jayson Werth,Kyle Schwarber,AJ Pollock
Chris Archer,Amir Garrett,Geovany Soto,Ryan Zimmerman,Chase Utley,Nolan Arenado,Trea Turner,Billy Hamilton,David Peralta,Jabari Blash
Chris Archer,Amir Garrett,Geovany Soto,Anthony Rizzo,Josh Harrison,Justin Turner,Trea Turner,Jayson Werth,David Peralta,Yasiel Puig
Jesse Chavez,Amir Garrett,Buster Posey,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Trea Turner,Billy Hamilton,David Peralta,Andrew Toles
Chris Archer,Amir Garrett,Tony Wolters,Ryan Zimmerman,DJ LeMahieu,Chris Coghlan,Trea Turner,Billy Hamilton,AJ Pollock,Yasiel Puig
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Rougned Odor,Jake Lamb,Trea Turner,Yasiel Puig,Jason Heyward,Andrew Toles
Chris Archer,Jesse Chavez,Yasmani Grandal,Ryan Zimmerman,DJ LeMahieu,Justin Turner,Corey Seager,Jayson Werth,Billy Hamilton,Andrew Toles
Chris Archer,Jesse Chavez,Miguel Montero,Mark Reynolds,DJ LeMahieu,Mike Moustakas,Trea Turner,Kyle Schwarber,AJ Pollock,Andrew Toles
Jesse Chavez,Amir Garrett,Tony Wolters,Mark Reynolds,DJ LeMahieu,Anthony Rendon,Trea Turner,Carlos Gonzalez,Jayson Werth,Andrew Toles
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Tyler Saladino,Justin Turner,Jorge Polanco,Jayson Werth,AJ Pollock,David Peralta
Chris Archer,Amir Garrett,Geovany Soto,Ryan Zimmerman,DJ LeMahieu,Anthony Rendon,Jordy Mercer,Jayson Werth,David Peralta,Jason Heyward
Chris Archer,Amir Garrett,Chris Gimenez,Ryan Zimmerman,Josh Harrison,Nolan Arenado,Corey Seager,Jayson Werth,Yasiel Puig,Andrew Toles
Jesse Chavez,Amir Garrett,Yasmani Grandal,Anthony Rizzo,Tyler Saladino,Anthony Rendon,Trea Turner,Carlos Gonzalez,Kyle Schwarber,David Peralta
Chris Archer,Amir Garrett,Salvador Perez,Ryan Zimmerman,Danny Espinosa,Chris Coghlan,Trea Turner,Carlos Gonzalez,Jayson Werth,David Peralta
Chris Archer,Jesse Chavez,Buster Posey,Ryan Zimmerman,DJ LeMahieu,Mike Moustakas,Corey Seager,Kyle Schwarber,David Peralta,Yasiel Puig
Chris Archer,Amir Garrett,Geovany Soto,Adrian Gonzalez,DJ LeMahieu,Jake Lamb,Trea Turner,Jayson Werth,AJ Pollock,Andrew Toles
Chris Archer,Jesse Chavez,Yasmani Grandal,Mark Reynolds,Brian Dozier,Mike Moustakas,Trea Turner,Jayson Werth,Yasiel Puig,Jabari Blash
Chris Archer,Amir Garrett,Jose Lobaton,Mark Reynolds,Josh Harrison,Jake Lamb,Trea Turner,Kyle Schwarber,David Peralta,Jabari Blash
Jesse Chavez,Amir Garrett,Jose Lobaton,Ryan Zimmerman,Yangervis Solarte,Justin Turner,Trea Turner,Charlie Blackmon,Carlos Gonzalez,David Peralta
Chris Archer,Jesse Chavez,Manny Pina,Ryan Zimmerman,DJ LeMahieu,Anthony Rendon,Jorge Polanco,AJ Pollock,David Peralta,Andrew Toles
Chris Archer,Amir Garrett,Jose Lobaton,Ryan Zimmerman,DJ LeMahieu,Nolan Arenado,Jordy Mercer,Kyle Schwarber,Yasiel Puig,Jabari Blash
Chris Archer,Amir Garrett,Yasmani Grandal,Ryan Zimmerman,Tyler Saladino,Nolan Arenado,Corey Seager,Kyle Schwarber,David Peralta,Kevin Pillar
Chris Archer,Amir Garrett,Yasmani Grandal,Mark Reynolds,Josh Harrison,Justin Turner,Trea Turner,Carlos Gonzalez,Billy Hamilton,Andrew Toles
Chris Archer,Jesse Chavez,Tony Wolters,Ryan Zimmerman,Chase Utley,Anthony Rendon,Trea Turner,Kyle Schwarber,Manuel Margot,Andrew Toles
Chris Archer,Amir Garrett,Jose Lobaton,Adrian Gonzalez,Ryan Goins,Nolan Arenado,Trea Turner,Jayson Werth,David Peralta,Jason Heyward
Chris Archer,Amir Garrett,Salvador Perez,Ryan Zimmerman,Josh Harrison,Anthony Rendon,Jorge Polanco,Kyle Schwarber,David Peralta,Yasiel Puig
Chris Archer,Jesse Chavez,Manny Pina,Ryan Zimmerman,Yangervis Solarte,Justin Turner,Trea Turner,Jayson Werth,Corey Dickerson,Jason Heyward
Jesse Chavez,Amir Garrett,Jose Lobaton,Anthony Rizzo,Tyler Saladino,Nolan Arenado,Trea Turner,Jayson Werth,Billy Hamilton,Andrew Toles
Chris Archer,Jesse Chavez,Chris Gimenez,Joey Votto,Tyler Saladino,Justin Turner,Trea Turner,Jayson Werth,AJ Pollock,Andrew Toles
Chris Archer,Jesse Chavez,Chris Gimenez,Ryan Zimmerman,Chase Utley,Nolan Arenado,Jorge Polanco,Jayson Werth,David Peralta,Jason Heyward
Chris Archer,Amir Garrett,Yasmani Grandal,Anthony Rizzo,DJ LeMahieu,Anthony Rendon,Corey Seager,David Peralta,Yasiel Puig,Andrew Toles
Jesse Chavez,Amir Garrett,Tony Wolters,Ryan Zimmerman,Tyler Saladino,Jake Lamb,Trea Turner,Charlie Blackmon,Jayson Werth,AJ Pollock
Jesse Chavez,Amir Garrett,Miguel Montero,Joey Votto,Brian Dozier,Nolan Arenado,Trea Turner,Kyle Schwarber,David Peralta,Jason Heyward
Jesse Chavez,Amir Garrett,Chris Gimenez,Ryan Zimmerman,Daniel Murphy,Mike Moustakas,Trea Turner,Carlos Gonzalez,Jayson Werth,Jason Heyward
Chris Archer,Jason Vargas,Yasmani Grandal,Ryan Zimmerman,DJ LeMahieu,Mike Moustakas,Trea Turner,Manuel Margot,Yasiel Puig,Andrew Toles
Chris Archer,Jesse Chavez,Yasmani Grandal,Eric Thames,DJ LeMahieu,Jake Lamb,Trea Turner,AJ Pollock,David Peralta,Jabari Blash
Chris Archer,Jesse Chavez,Tony Wolters,Adrian Gonzalez,DJ LeMahieu,Justin Turner,Trea Turner,Jayson Werth,Kyle Schwarber,Jabari Blash
