"Bryce Harper_Was","Daniel Murphy_Was","Nolan Arenado_Col","Adam Eaton_Was","Charlie Blackmon_Col","Trea Turner_Was","Paul Goldschmidt_Ari","Ryan Zimmerman_Was","Anthony Rendon_Was","Trevor Story_Col","Wil Myers_SD","Carlos Gonzalez_Col","Jayson Werth_Was","Ian Desmond_Col","DJ LeMahieu_Col","David Dahl_Col","Michael Taylor_Was","Matt Wieters_Was","Adam Lind_Was","Mark Reynolds_Col","AJ Pollock_Ari","Jake Lamb_Ari","Yasmany Tomas_Ari","Gerardo Parra_Col","Ryan Schimpf_SD","Yangervis Solarte_SD","David Peralta_Ari","Stephen Drew_Was","Manuel Margot_SD","Wilmer Difo_Was","Stephen Cardullo_Col","Raimel Tapia_Col","Brandon Drury_Ari","Chris Owings_Ari","Alex Dickerson_SD","Hunter Renfroe_SD","Dustin Garneau_Col","Chris Heisey_Was","Cory Spangenberg_SD","Tom Murphy_Col","Jeremy Hazelbaker_Ari","Chris Herrmann_Ari","Travis Jankowski_SD","Jose Lobaton_Was","Socrates Brito_Ari","Pat Valaika_Col","Tony Wolters_Col","Christian Bethancourt_SD","Austin Hedges_SD","Cristhian Adames_Col","Chris Iannetta_Ari","Erick Aybar_SD","Alexi Amarista_Col","Daniel Descalso_Ari","Luis Sardinas_SD","Allen Cordoba_SD","Grant Green_Was","Nick Ahmed_Ari","Jabari Blash_SD","Hector Sanchez_SD","Jeff Mathis_Ari","Luis Torrens_SD"
180.379120879121,-16.5833333333333,0,56.5512820512821,0,-6.25,0,70.9393939393939,35.4545454545455,0,0,0,9.11111111111111,0,0,0,2,18,12,0,0,0,0,0,0,0,0,87.5,0,48.8571428571429,0,0,0,0,0,0,0,-137.5,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-16.5833333333333,104.862637362637,0,-24.4166666666667,0,-7.8,0,-19.2272727272727,-9.90909090909091,0,0,0,26.4181818181818,0,0,0,-2,28.5545454545455,3,0,0,0,0,0,0,0,0,-162.5,0,-8.45238095238095,0,0,0,0,0,0,0,-11,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,75.8161764705882,0,3.18014705882353,0,0,0,0,-0.1375,0,-8.95,0,0,-9.48529411764706,0,0,0,0,-2.82083333333333,0,0,0,9.78181818181818,0,0,0,0,0,0,14.05,0,0,0,0,0,12.0714285714286,0,0,0,0,0,0,0,0,0,1.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.5512820512821,-24.4166666666667,0,53.0549450549451,0,4.2,0,20.5454545454545,7.20454545454545,0,0,0,1.30909090909091,0,0,0,-4,11.5454545454545,15,0,0,0,0,0,0,0,0,104.166666666667,0,19.8333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3.18014705882353,0,50.0147058823529,0,0,0,0,12.5916666666667,0,21.7041666666667,0,0,-9.96691176470588,0,0,0,0,17.175,0,0,0,16.8,0,0,0,0,0,0,5.4,0,0,0,0,0,14.8809523809524,0,0,0,0,0,0,0,0,0,17.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6.25,-7.8,0,4.2,0,17.6,0,-22.6,9.95,0,0,0,-2.25,0,0,0,-5,-19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,39.0292397660819,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,18.156862745098,10.3190476190476,0,0,0,18.6708333333333,0,0,0,0,0,21.1333333333333,4,0,0,0,0,0,0,-4.33333333333333,39.6666666666667,0,0,0,0,0,0,0,0,-21.952380952381,0,0,0.9,0,0,0,-4,0,0,-0.888888888888889,0
70.9393939393939,-19.2272727272727,0,20.5454545454545,0,-22.6,0,78.9230769230769,2.23636363636364,0,0,0,-5.28888888888889,0,0,0,10.6666666666667,-1.74545454545455,0,0,0,0,0,0,0,0,0,145.833333333333,0,34.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.4545454545455,-9.90909090909091,0,7.20454545454545,0,9.95,0,2.23636363636364,18.7564102564103,0,0,0,3.98611111111111,0,0,0,3,-10.1111111111111,5,0,0,0,0,0,0,0,0,0,0,5.52380952380952,0,0,0,0,0,0,0,-11,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.1375,0,12.5916666666667,0,0,0,0,39.4625,0,5.67142857142857,0,0,-2.6625,0,0,0,0,8.92857142857143,0,0,0,18.1888888888889,0,0,0,0,0,0,-10.25,0,0,0,0,0,2.76190476190476,0,0,0,0,0,0,0,0,0,12.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,72.5751633986928,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.52083333333333,9.36601307189543,0,0,1.11397058823529,0,0,0,0,0,0,12.7124183006536,0,0,0,0,0,0,-12.1590909090909,0,0,0,0,0,14.2142857142857,0,0,-4.67619047619048,0,0,10.5,-9.7,0,0,0,0,0,31
0,0,-8.95,0,21.7041666666667,0,0,0,0,5.67142857142857,0,19.6625,0,0,-6.49583333333333,0,0,0,0,-4.57619047619048,0,0,0,8.6,0,0,0,0,0,0,-7.66666666666667,0,0,0,0,0,-1.6,0,0,0,0,0,0,0,0,0,5.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.11111111111111,26.4181818181818,0,1.30909090909091,0,-2.25,0,-5.28888888888889,3.98611111111111,0,0,0,26.3636363636364,0,0,0,0,26,0,0,0,0,0,0,0,0,0,41.6666666666667,0,-4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-9.48529411764706,0,-9.96691176470588,0,0,0,0,-2.6625,0,-6.49583333333333,0,0,39.3088235294118,0,0,0,0,7.25416666666667,0,0,0,-13.5818181818182,0,0,0,0,0,0,2.5,0,0,0,0,0,7.88095238095238,0,0,0,0,0,0,0,0,0,-15.2777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
