"Mike Trout_LAA","Paul Goldschmidt_Ari","Wil Myers_SD","AJ Pollock_Ari","Albert Pujols_LAA","Jake Lamb_Ari","Yasmany Tomas_Ari","Corey Seager_LAD","Ryan Schimpf_SD","Kole Calhoun_LAA","Yangervis Solarte_SD","David Peralta_Ari","Cameron Maybin_LAA","Manuel Margot_SD","CJ Cron_LAA","Khris Davis_Oak","Brandon Drury_Ari","Chris Owings_Ari","Alex Dickerson_SD","Hunter Renfroe_SD","Luis Valbuena_LAA","Cory Spangenberg_SD","Jefry Marte_LAA","Rajai Davis_Oak","Jeremy Hazelbaker_Ari","Adrian Gonzalez_LAD","Hunter Pence_SF","Yasiel Puig_LAD","Chris Herrmann_Ari","Travis Jankowski_SD","Buster Posey_SF","Logan Forsythe_LAD","Justin Turner_LAD","Joc Pederson_LAD","Trevor Plouffe_Oak","Yunel Escobar_LAA","Ben Revere_LAA","Socrates Brito_Ari","Brandon Belt_SF","Eduardo Nunez_SF","Ryon Healy_Oak","Marcus Semien_Oak","Andrelton Simmons_LAA","Yasmani Grandal_LAD","Chase Utley_LAD","Kike Hernandez_LAD","Franklin Gutierrez_LAD","Denard Span_SF","Danny Espinosa_LAA","Scott Van Slyke_LAD","Joe Panik_SF","Stephen Vogt_Oak","Christian Bethancourt_SD","Austin Hedges_SD","Cody Bellinger_LAD","Chris Taylor_LAD","Brandon Crawford_SF","Josh Phegley_Oak","Mark Canha_Oak","Chris Iannetta_Ari","Erick Aybar_SD","Trayce Thompson_LAD","Yonder Alonso_Oak","Daniel Descalso_Ari","Luis Sardinas_SD","Allen Cordoba_SD","Austin Barnes_LAD","Jarrett Parker_SF","Andrew Toles_LAD","Jed Lowrie_Oak","Nick Ahmed_Ari","Jabari Blash_SD","Nick Hundley_SF","Rob Segedin_LAD","Jake Smolinski_Oak","Hector Sanchez_SD","Andre Ethier_LAD","Mac Williamson_SF","Martin Maldonado_LAA","Juan Graterol_LAA","Bruce Maxwell_Oak","Kelby Tomlinson_SF","Carlos Perez_LAA","Matt Joyce_Oak","Jeff Mathis_Ari","Gorkys Hernandez_SF","Adam Rosales_Oak","Luis Torrens_SD","Conor Gillaspie_SF","Cliff Pennington_LAA","Chad Pinder_Oak","Jaff Decker_Oak","Matt Olson_Oak","Tim Federowicz_SF","Aaron Hill_SF","Chris Marrero_SF","Brett Eibner_LAD"
23.6102941176471,0,0,0,16.8,0,0,0,0,1.55833333333333,0,0,0.519230769230769,0,-0.644444444444444,0,0,0,0,0,0,0,8.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,7.44166666666667,12,0,0,0,0,0,-1.75416666666667,0,0,0,0,0,11.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208791208791209,0,0,0,0,0,0,0,0,0,0,-16.5,0,0,0,0,0,0,0
0,39.0292397660819,0,14.05,0,18.156862745098,10.3190476190476,0,0,0,0,18.6708333333333,0,0,0,0,21.1333333333333,4,0,0,0,0,0,0,-4.33333333333333,0,0,0,39.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.952380952381,0,0,0,0.9,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0
0,0,72.5751633986928,0,0,0,0,0,-5.52083333333333,0,9.36601307189543,0,0,1.11397058823529,0,0,0,0,0,12.7124183006536,0,0,0,0,0,0,0,0,0,-12.1590909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2142857142857,0,0,0,0,0,0,-4.67619047619048,0,0,0,10.5,-9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
0,14.05,0,56.1544117647059,0,-4.92916666666667,-4.61428571428571,0,0,0,0,9.53846153846154,0,0,0,0,13.3296703296703,12.2857142857143,0,0,0,0,0,0,0,0,0,0,-6.08333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2.25,0,0,0,0,0,0,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7888888888889,0,0,0,0,0,0,0,0,0,0,0,0
16.8,0,0,0,36.9333333333333,0,0,0,0,-9.02857142857143,0,0,-10.8012820512821,0,-10.3472222222222,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.3904761904762,-14.5,0,0,0,0,0,3.07142857142857,0,0,0,0,0,0.938095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74358974358974,0,0,0,0,0,0,0,0,0,0,-19.5,0,0,0,0,0,0,0
0,18.156862745098,0,-4.92916666666667,0,49.3391812865497,4.41904761904762,0,0,0,0,20.8529411764706,0,0,0,0,4.01666666666667,-24.7142857142857,0,0,0,0,0,0,4.33333333333333,0,0,0,50.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.3809523809524,0,0,0,-2.5,0,0,0,0,0,0,-10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.4222222222222,0,0,0,0,0,0,0,0,0,0,0,0
0,10.3190476190476,0,-4.61428571428571,0,4.41904761904762,87.3958333333333,0,0,0,0,41.7179487179487,0,0,0,0,21.5714285714286,9.59523809523809,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4,0,0,0,21.3333333333333,0,0,0,0,0,0,-0.416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.47222222222222,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,63.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11538461538461,0,20.475,0,0,0,22.5555555555556,25.6593406593407,42.8,0,0,0,0,0,0,0,0,0,45,-8.4,0,-3.5,0,0,13.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,5.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-5.52083333333333,0,0,0,0,0,51.2625,0,2.69166666666667,0,0,-3.21428571428571,0,0,0,0,0,-8.87916666666667,0,0,0,0,0,0,0,0,0,-2.02272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.1373626373626,0,0,0,0,0,0,-7.34065934065934,0,0,0,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55833333333333,0,0,0,-9.02857142857143,0,0,0,0,29.9833333333333,0,0,11.8181818181818,0,0.819444444444444,0,0,0,0,0,0,0,-0.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,4.82380952380952,7.2,0,0,0,0,0,10.8904761904762,0,0,0,0,0,-3.76666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25641025641026,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0
0,0,9.36601307189543,0,0,0,0,0,2.69166666666667,0,30.8398692810458,0,0,13.1176470588235,0,0,0,0,0,-6.38888888888889,0,0,0,0,0,0,0,0,0,-2.54545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.85714285714286,0,0,0,0,0,0,13.552380952381,0,0,0,-6.66666666666667,-3.75,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0
0,18.6708333333333,0,9.53846153846154,0,20.8529411764706,41.7179487179487,0,0,0,0,101.117647058824,0,0,0,0,25.3956043956044,29.8653846153846,0,0,0,0,0,0,52,0,0,0,79.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.8,0,0,0,-4.25,0,0,0,0,0,0,-22.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.4222222222222,0,0,0,0,0,0,0,0,0,0,0,0
0.519230769230769,0,0,0,-10.8012820512821,0,0,0,0,11.8181818181818,0,0,18.1410256410256,0,2,0,0,0,0,0,0,0,7.59523809523809,0,0,0,0,0,0,0,0,0,0,0,0,-4.86538461538461,0,0,0,0,0,0,1.26282051282051,0,0,0,0,0,7.92948717948718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.39090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.11397058823529,0,0,0,0,0,-3.21428571428571,0,13.1176470588235,0,0,33.4705882352941,0,0,0,0,0,-1.37867647058824,0,0,0,0,0,0,0,0,0,-4.34545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5824175824176,0,0,0,0,0,0,5.7032967032967,0,0,0,-11.1666666666667,7.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.644444444444444,0,0,0,-10.3472222222222,0,0,0,0,0.819444444444444,0,0,2,0,10.7111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.4444444444444,4.66666666666667,0,0,0,0,0,12.625,0,0,0,0,0,-0.972222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.14285714285714,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.6,0,0,0,0,0,0,0,-8.36363636363636,0,0,0,0,0,0,0,0,0,0,20.0879120879121,0,0,0,0,0,-10.5,-2.60714285714286,0,0,0,0,0,0,0,0,0,14.0818181818182,0,0,0,0,0,29,10.5,0,0,0,24.6909090909091,0,0,0,0,0,0,-11.8681318681319,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6454545454545,0,0,-20.1388888888889,0,0,0,91.8333333333333,-9,0,0,0,0,0
0,21.1333333333333,0,13.3296703296703,0,4.01666666666667,21.5714285714286,0,0,0,0,25.3956043956044,0,0,0,0,38.5661764705882,16.5833333333333,0,0,0,0,0,0,75.8333333333333,0,0,0,8.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.97619047619048,0,0,0,9.33333333333333,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.18055555555556,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,12.2857142857143,0,-24.7142857142857,9.59523809523809,0,0,0,0,29.8653846153846,0,0,0,0,16.5833333333333,67.2958333333333,0,0,0,0,0,0,0,0,0,0,-40.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29.55,0,0,0,-2.83333333333333,0,0,0,0,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.84444444444444,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12.7124183006536,0,0,0,0,0,-8.87916666666667,0,-6.38888888888889,0,0,-1.37867647058824,0,0,0,0,0,42.2908496732026,0,0,0,0,0,0,0,0,0,-5.86363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45238095238095,0,0,0,0,0,0,-17.8285714285714,0,0,0,-41.3333333333333,17.8,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.55555555555556,0,0,0,1,0,0,0,0,-0.857142857142857,0,0,7.59523809523809,0,0,0,0,0,0,0,0,0,24.5277777777778,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1.27777777777778,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
