"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,737345258,"ahayden1979",0,207.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Jedd Gyorko 3B Mike Moustakas SS Trea Turner OF Kevin Pillar OF Charlie Blackmon OF Bryce Harper",NA,"Michael Wacha","70.15%",17.3
1,737349291,"RealHogville",0,207.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Jedd Gyorko 3B Mike Moustakas SS Trea Turner OF Kevin Pillar OF Charlie Blackmon OF Bryce Harper",NA,"Danny Duffy","59.54%",-4.7
1,737359564,"dhblair62",0,207.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Jedd Gyorko 3B Mike Moustakas SS Trea Turner OF Kevin Pillar OF Charlie Blackmon OF Bryce Harper",NA,"Bryce Harper","51.53%",16
4,737274547,"Wosh",0,204.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Mark Reynolds 2B DJ LeMahieu 3B Mike Moustakas SS Alcides Escobar OF Charlie Blackmon OF Adam Eaton OF Trea Turner",NA,"Salvador Pérez","43.78%",7
5,736952602,"emd710n (4/17)",0,203.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Eric Hosmer 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Carlos González OF Gerardo Parra OF Charlie Blackmon",NA,"Mike Moustakas","43.57%",21
6,736753456,"suidmach (16/50)",0,202.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Avisaíl García OF Gerardo Parra OF Bryce Harper",NA,"Jedd Gyorko","40.61%",13
7,737130861,"jcrooks10",0,200.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Mark Reynolds 2B Yolmer Sánchez 3B Mike Moustakas SS Trevor Story OF Charlie Blackmon OF Bryce Harper OF Trea Turner",NA,"Charlie Blackmon","37.65%",26
7,737334084,"PenskeFile (1/2)",0,200.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B José Abreu 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Avisaíl García OF Charlie Blackmon OF Adam Eaton",NA,"Aledmys Díaz","35.31%",0
9,736722813,"Lunacy3 (42/50)",0,200.1,"P Dylan Covey P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B DJ LeMahieu 3B Todd Frazier SS Trea Turner OF Charlie Blackmon OF Bryce Harper OF Adam Eaton",NA,"Ryan Zimmerman","35.05%",11
10,736550588,"BrocNessMonster",0,199.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Trea Turner OF Alex Gordon OF Avisaíl García OF Charlie Blackmon",NA,"Marco Estrada","33.01%",23.3
10,736745625,"MHDU2424 (1/2)",0,199.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B José Abreu 2B Yolmer Sánchez 3B Mike Moustakas SS Trea Turner OF Charlie Blackmon OF Bryce Harper OF Adam Eaton",NA,"Lorenzo Cain","32.86%",6
10,737279370,"divusjulius",0,199.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Ryan Zimmerman 2B DJ LeMahieu 3B Darwin Barney SS Trea Turner OF Avisaíl García OF Charlie Blackmon OF Bryce Harper",NA,"Trea Turner","31.12%",48
13,737359589,"streetbob2015",0,197.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Mark Reynolds 2B Daniel Murphy 3B Mike Moustakas SS Trea Turner OF Jayson Werth OF Carlos González OF Gerardo Parra",NA,"Daniel Murphy","30.97%",24
14,736724107,"cwiert17",0,196.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B José Abreu 2B Daniel Murphy 3B Matt Davidson SS Trea Turner OF Brandon Moss OF Carlos González OF Charlie Blackmon",NA,"Nolan Arenado","25.97%",7
14,737239887,"jordy5",0,196.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B José Abreu 2B Daniel Murphy 3B Mike Moustakas SS Trea Turner OF Lorenzo Cain OF Avisaíl García OF Bryce Harper",NA,"Eric Hosmer","24.80%",3
16,736756588,"evanpro13 (1/2)",0,195.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Jedd Gyorko 3B Mike Moustakas SS Trea Turner OF Lorenzo Cain OF Charlie Blackmon OF Adam Eaton",NA,"Joe Ross","23.57%",-0.9
16,736756589,"evanpro13 (2/2)",0,195.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Jedd Gyorko 3B Mike Moustakas SS Trea Turner OF Lorenzo Cain OF Charlie Blackmon OF Adam Eaton",NA,"Adam Eaton","22.24%",14
16,736847425,"invertedcheese (25/30)",0,195.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Alcides Escobar OF Brandon Moss OF Charlie Blackmon OF Trea Turner",NA,"Mark Reynolds","20.20%",18
16,737339186,"Tbit79 (2/2)",0,195.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B José Abreu 2B Daniel Murphy 3B Matt Davidson SS Trea Turner OF Avisaíl García OF Charlie Blackmon OF Adam Eaton",NA,"Tony Wolters","15.20%",16
16,737341276,"twinginator (8/10)",0,195.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Trea Turner OF Jorge Bonifacio OF Gerardo Parra OF Bryce Harper",NA,"DJ LeMahieu","14.85%",19
21,736847430,"invertedcheese (30/30)",0,194.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Kendrys Morales 2B DJ LeMahieu 3B Jedd Gyorko SS Trea Turner OF Carlos González OF Gerardo Parra OF Charlie Blackmon",NA,"Carlos González","14.64%",16
21,736982361,"rick1341 (6/6)",0,194.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Eric Hosmer 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Carlos González OF Gerardo Parra OF Charlie Blackmon",NA,"Yadier Molina","14.39%",8
23,736722774,"Lunacy3 (3/50)",0,194.1,"P Dylan Covey P Michael Wacha C Yadier Molina 1B Mark Reynolds 2B Daniel Murphy 3B Todd Frazier SS Trea Turner OF Carlos González OF Bryce Harper OF Adam Eaton",NA,"Dexter Fowler","14.34%",12
23,736722792,"Lunacy3 (21/50)",0,194.1,"P Dylan Covey P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Daniel Murphy 3B Jedd Gyorko SS Trea Turner OF Charlie Blackmon OF Bryce Harper OF Adam Eaton",NA,"Gerardo Parra","14.13%",14
23,737366152,"joeypouch",0,194.1,"P Dylan Covey P Marco Estrada C Tony Wolters 1B Ryan Zimmerman 2B Daniel Murphy 3B Nolan Arenado SS Trea Turner OF Kevin Pillar OF Gerardo Parra OF Charlie Blackmon",NA,"Tim Anderson","13.57%",9
26,736676187,"toddthetruth (1/4)",0,193.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Eric Hosmer 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Melky Cabrera OF Charlie Blackmon OF Bryce Harper",NA,"Stephen Piscotty","12.76%",12
26,736753452,"suidmach (12/50)",0,193.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Eric Hosmer 2B Daniel Murphy 3B Todd Frazier SS Trea Turner OF Melky Cabrera OF Avisaíl García OF Charlie Blackmon",NA,"Kevin Pillar","12.35%",16
26,737336277,"Nike33",0,193.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Ryan Goins OF Brandon Moss OF Bryce Harper OF Trea Turner",NA,"Trevor Story","11.53%",5
26,737354942,"magnum2picks (1/2)",0,193.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Eric Hosmer 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Carlos González OF Gerardo Parra OF Bryce Harper",NA,"Matt Wieters","11.38%",7
30,737341275,"twinginator (7/10)",0,192.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Ryan Zimmerman 2B Yolmer Sánchez 3B Mike Moustakas SS Trea Turner OF Carlos González OF Bryce Harper OF Adam Eaton",NA,"Avisaíl García","10.77%",17
31,737161043,"whip99 (2/3)",0,191.1,"P Dylan Covey P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Daniel Murphy 3B Todd Frazier SS Trea Turner OF Dexter Fowler OF Bryce Harper OF Adam Eaton",NA,"Kendrys Morales","10.26%",2
32,737234982,"haynest76",0,190.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Melky Cabrera OF Gerardo Parra OF Charlie Blackmon",NA,"Kolten Wong","9.54%",5
32,737341277,"twinginator (9/10)",0,190.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Yolmer Sánchez 3B Mike Moustakas SS Trea Turner OF Gerardo Parra OF Bryce Harper OF Adam Eaton",NA,"José Bautista","9.34%",10
32,737361810,"zorroborro",0,190.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Kolten Wong 3B Mike Moustakas SS Trea Turner OF Kevin Pillar OF Charlie Blackmon OF Bryce Harper",NA,"Alex Gordon","9.18%",5
35,736722781,"Lunacy3 (10/50)",0,190.1,"P Dylan Covey P Michael Wacha C Omar Narváez 1B Mark Reynolds 2B DJ LeMahieu 3B Nolan Arenado SS Trea Turner OF Charlie Blackmon OF Bryce Harper OF Adam Eaton",NA,"Dylan Covey","9.03%",8.8
35,737316896,"olydajew (2/2)",0,190.1,"P Dylan Covey P Michael Wacha C Tony Wolters 1B Mark Reynolds 2B DJ LeMahieu 3B Anthony Rendon SS Trea Turner OF Charlie Blackmon OF Bryce Harper OF Adam Eaton",NA,"José Abreu","8.88%",8
37,737132703,"bigcd1012",0,189.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Jedd Gyorko 3B Matt Davidson SS Trea Turner OF Avisaíl García OF Charlie Blackmon OF Bryce Harper",NA,"Jorge Bonifacio","8.78%",5
37,737330681,"Bausman3 (1/4)",0,189.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Ryan Zimmerman 2B Daniel Murphy 3B Nolan Arenado SS Ryan Goins OF Leury García OF Bryce Harper OF Trea Turner",NA,"Russell Martin","8.47%",5
39,736753443,"suidmach (3/50)",0,188.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Trea Turner OF Brandon Moss OF Alex Gordon OF Carlos González",NA,"Alcides Escobar","8.47%",2
39,736976999,"rick1341 (3/6)",0,188.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Eric Hosmer 2B Jedd Gyorko 3B Mike Moustakas SS Trea Turner OF Carlos González OF Charlie Blackmon OF Adam Eaton",NA,"Jayson Werth","7.96%",0
41,736722807,"Lunacy3 (36/50)",0,188.1,"P Dylan Covey P Michael Wacha C Omar Narváez 1B Ryan Zimmerman 2B Daniel Murphy 3B Nolan Arenado SS Trea Turner OF Carlos González OF Charlie Blackmon OF Adam Eaton",NA,"Matt Davidson","7.76%",2
41,737158125,"Hoppy17 (2/2)",0,188.1,"P Dylan Covey P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Charlie Blackmon OF Bryce Harper OF Adam Eaton",NA,"Ezequiel Carrera","7.14%",7
43,737040887,"Khillier (1/2)",0,187.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Eric Hosmer 2B DJ LeMahieu 3B Mike Moustakas SS Tim Anderson OF Charlie Blackmon OF Adam Eaton OF Trea Turner",NA,"Todd Frazier","7.04%",24
43,737081532,"ohcowboy12go (1/3)",0,187.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B DJ LeMahieu 3B Mike Moustakas SS Tim Anderson OF Lorenzo Cain OF Charlie Blackmon OF Trea Turner",NA,"Randal Grichuk","6.79%",5
43,737301912,"MFW51",0,187.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Eric Hosmer 2B DJ LeMahieu 3B Mike Moustakas SS Tim Anderson OF Charlie Blackmon OF Adam Eaton OF Trea Turner",NA,"Brandon Moss","6.68%",16
43,737341274,"twinginator (6/10)",0,187.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Christian Colón OF Avisaíl García OF Bryce Harper OF Trea Turner",NA,"Christian Colón","6.68%",3
43,737358958,"dunderwooo",0,187.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Trea Turner OF Lorenzo Cain OF Jorge Bonifacio OF Bryce Harper",NA,"Ryan Goins","6.43%",10
48,736753482,"suidmach (42/50)",0,186.6,"P Marco Estrada P Michael Wacha C Matt Wieters 1B Mark Reynolds 2B Daniel Murphy 3B Matt Davidson SS Trea Turner OF Brandon Moss OF Avisaíl García OF Adam Eaton",NA,"Anthony Rendon","6.02%",7
48,736952599,"emd710n (1/17)",0,186.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Mark Reynolds 2B Yolmer Sánchez 3B Nolan Arenado SS Trevor Story OF Brandon Moss OF Charlie Blackmon OF Trea Turner",NA,"Melky Cabrera","4.74%",4
48,737286682,"richanderson84",0,186.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Eric Hosmer 2B DJ LeMahieu 3B Mike Moustakas SS Trea Turner OF Lorenzo Cain OF Carlos González OF Charlie Blackmon",NA,"Matt Adams","4.59%",2
48,737368288,"beelz (2/2)",0,186.6,"P Marco Estrada P Michael Wacha C Omar Narváez 1B Eric Hosmer 2B Daniel Murphy 3B Jedd Gyorko SS Aledmys Díaz OF Carlos González OF Charlie Blackmon OF Trea Turner",NA,"German Márquez","4.39%",-10.2
52,736722820,"Lunacy3 (49/50)",0,186.1,"P Dylan Covey P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Daniel Murphy 3B Anthony Rendon SS Trea Turner OF Stephen Piscotty OF Charlie Blackmon OF Bryce Harper",NA,"Darwin Barney","4.03%",6
53,736523610,"DharmaPimp",0,185.6,"P Marco Estrada P Michael Wacha C Yadier Molina 1B Mark Reynolds 2B Jedd Gyorko 3B Matt Davidson SS Trea Turner OF Gerardo Parra OF Charlie Blackmon OF Bryce Harper",NA,"Omar Narváez","3.62%",16
53,736845817,"lozingitall (35/35)",0,185.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B José Abreu 2B Daniel Murphy 3B Mike Moustakas SS Trea Turner OF Lorenzo Cain OF Alex Gordon OF Charlie Blackmon",NA,"Yolmer Sánchez","3.32%",10
55,736722789,"Lunacy3 (18/50)",0,185.1,"P Dylan Covey P Michael Wacha C Matt Wieters 1B Ryan Zimmerman 2B Jedd Gyorko 3B Todd Frazier SS Trea Turner OF Charlie Blackmon OF Bryce Harper OF Adam Eaton",NA,"Jarrod Saltalamacchia","2.60%",0
56,737063905,"BillF425 (3/3)",0,184.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Daniel Murphy 3B Mike Moustakas SS Alcides Escobar OF Alex Gordon OF Charlie Blackmon OF Trea Turner",NA,"Leury García","2.40%",17
56,737193478,"GurnKiller",0,184.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Eric Hosmer 2B Daniel Murphy 3B Mike Moustakas SS Tim Anderson OF Brandon Moss OF Bryce Harper OF Trea Turner",NA,"Whit Merrifield","0.92%",0
58,737011127,"Slamhound",0,183.6,"P Danny Duffy P Marco Estrada C Tony Wolters 1B Mark Reynolds 2B Jedd Gyorko 3B Mike Moustakas SS Trea Turner OF Ezequiel Carrera OF Kevin Pillar OF Charlie Blackmon",NA,"Matt Carpenter","0.36%",0
58,737346536,"Colined0101 (3/3)",0,183.6,"P Marco Estrada P Michael Wacha C Tony Wolters 1B Ryan Zimmerman 2B Daniel Murphy 3B Matt Davidson SS Tim Anderson OF Avisaíl García OF Bryce Harper OF Trea Turner",NA,"Devon Travis","0.26%",0
58,737357811,"beelz (1/2)",0,183.6,"P Marco Estrada P Michael Wacha C Salvador Pérez 1B Ryan Zimmerman 2B Daniel Murphy 3B Matt Davidson SS Tim Anderson OF Brandon Moss OF Charlie Blackmon OF Trea Turner",NA,"Geovany Soto","0.26%",0
61,737360722,"player4949",0,183.1,"P Dylan Covey P Marco Estrada C Russell Martin 1B Mark Reynolds 2B Daniel Murphy 3B Nolan Arenado SS Trea Turner OF Avisaíl García OF Kevin Pillar OF Bryce Harper",NA,"Justin Smoak","0.26%",0
61,737360746,"JustusTru",0,183.1,"P Dylan Covey P Marco Estrada C Matt Wieters 1B Ryan Zimmerman 2B Daniel Murphy 3B Matt Davidson SS Trea Turner OF Leury García OF Charlie Blackmon OF Bryce Harper",NA,"Dustin Garneau","0.10%",0
