"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Clayton Kershaw","Erasmo Ramirez","Austin Hedges","Wil Myers","Cory Spangenberg","Mike Moustakas","Trea Turner","AJ Pollock","Manuel Margot","Hunter Renfroe"
"Danny Duffy","Wade Miley","Austin Hedges","Wil Myers","Yangervis Solarte","Mike Moustakas","Trea Turner","Bryce Harper","Manuel Margot","Jabari Blash"
"Clayton Kershaw","Erasmo Ramirez","Salvador Perez","Eric Hosmer","Yangervis Solarte","Mike Moustakas","Trea Turner","Lorenzo Cain","Manuel Margot","Brandon Moss"
"Michael Wacha","JC Ramirez","Salvador Perez","Wil Myers","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Manuel Margot"
"Clayton Kershaw","JC Ramirez","Salvador Perez","Wil Myers","Yangervis Solarte","Mike Moustakas","Erick Aybar","Bryce Harper","Manuel Margot","Hunter Renfroe"
"Clayton Kershaw","Michael Wacha","Austin Hedges","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Erick Aybar","Bryce Harper","Manuel Margot","Jabari Blash"
"Wade Miley","Erasmo Ramirez","Austin Hedges","Eric Hosmer","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","AJ Pollock"
"Clayton Kershaw","JC Ramirez","Austin Hedges","Eric Hosmer","Yangervis Solarte","Anthony Rendon","Trea Turner","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Clayton Kershaw","JC Ramirez","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Chris Owings","Bryce Harper","Lorenzo Cain","Alex Gordon"
"Clayton Kershaw","Michael Wacha","Austin Hedges","Wil Myers","Yangervis Solarte","Mike Moustakas","Chris Owings","Max Kepler","Hunter Renfroe","Jabari Blash"
"Wade Miley","Scott Feldman","Jason Castro","Ryan Zimmerman","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Manuel Margot"
"Clayton Kershaw","Wade Miley","Austin Hedges","Wil Myers","Cory Spangenberg","Anthony Rendon","Jean Segura","Manuel Margot","Jabari Blash","Jaff Decker"
"Gerrit Cole","Wei-Yin Chen","Austin Hedges","Wil Myers","Cory Spangenberg","Anthony Rendon","Trea Turner","Bryce Harper","Hunter Renfroe","Jabari Blash"
"Gerrit Cole","Wade Miley","Salvador Perez","Eric Hosmer","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","Alex Gordon","Brandon Moss"
"Clayton Kershaw","JC Ramirez","Chris Iannetta","Paul Goldschmidt","Daniel Descalso","Mike Moustakas","Chris Owings","Bryce Harper","AJ Pollock","Manuel Margot"
"Michael Wacha","Erasmo Ramirez","Matt Wieters","Paul Goldschmidt","Daniel Murphy","Mike Moustakas","Trea Turner","Bryce Harper","Adam Eaton","Max Kepler"
"Clayton Kershaw","Wade Miley","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Alcides Escobar","AJ Pollock","Brandon Moss","Hunter Renfroe"
"Clayton Kershaw","Michael Wacha","Salvador Perez","Eric Hosmer","Christian Colon","Mike Moustakas","Trea Turner","AJ Pollock","Alex Gordon","Jabari Blash"
"Michael Wacha","Scott Feldman","Austin Hedges","Ryan Zimmerman","Cory Spangenberg","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Max Kepler"
"Clayton Kershaw","Michael Wacha","Salvador Perez","Wil Myers","Cory Spangenberg","Miguel Sano","Nick Ahmed","Manuel Margot","Hunter Renfroe","Jabari Blash"
"Wei-Yin Chen","Erasmo Ramirez","Salvador Perez","Ryan Zimmerman","Yangervis Solarte","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Lorenzo Cain"
"Clayton Kershaw","Wade Miley","Austin Hedges","Eric Hosmer","Chris Taylor","Mike Moustakas","Trea Turner","Lorenzo Cain","Alex Gordon","Jorge Bonifacio"
"Clayton Kershaw","Wade Miley","Austin Hedges","Wil Myers","Yangervis Solarte","Justin Turner","Nick Ahmed","Lorenzo Cain","Manuel Margot","Hunter Renfroe"
"Wade Miley","Scott Feldman","Matt Wieters","Wil Myers","Yangervis Solarte","Anthony Rendon","Trea Turner","Bryce Harper","Adam Eaton","Jaff Decker"
"Clayton Kershaw","Erasmo Ramirez","Austin Hedges","Wil Myers","Yangervis Solarte","Matt Davidson","Erick Aybar","Bryce Harper","Adam Eaton","Jabari Blash"
"Wei-Yin Chen","Robert Gsellman","Austin Hedges","Ryan Zimmerman","Daniel Murphy","Anthony Rendon","Trea Turner","Bryce Harper","Manuel Margot","Jaff Decker"
"Clayton Kershaw","Wade Miley","Stephen Vogt","Wil Myers","Cory Spangenberg","Mike Moustakas","Erick Aybar","Adam Eaton","Hunter Renfroe","Jabari Blash"
"Clayton Kershaw","Erasmo Ramirez","Chris Iannetta","Paul Goldschmidt","Brandon Drury","Mike Moustakas","Trea Turner","AJ Pollock","Yasmany Tomas","Jabari Blash"
