"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,737715730,"wagwvu (2/7)",0,206.05,"P James Paxton P José Quintana C Jett Bandy 1B Danny Valencia 2B Daniel Murphy 3B Travis Shaw SS Orlando Arcia OF Leury García OF Andrew Benintendi OF Bryce Harper",NA,"Dylan Bundy","33.50%",12.65
2,737848190,"DBray001",0,203.4,"P James Paxton P Dylan Bundy C Austin Hedges 1B Anthony Rizzo 2B Daniel Murphy 3B Josh Harrison SS Trea Turner OF Nelson Cruz OF A.J. Pollock OF Manuel Margot",NA,"Eric Thames","32.91%",11
3,737676357,"Anunnaki (37/45)",0,194.2,"P James Paxton P Vince Velasquez C Tucker Barnhart 1B Ryan Zimmerman 2B Daniel Murphy 3B Josh Harrison SS Tim Beckham OF Jarrod Dyson OF Marcell Ozuna OF Bryce Harper",NA,"Bryce Harper","29.93%",22
4,737469984,"thedew42",0,193.5,"P James Paxton P Luis Severino C Austin Hedges 1B Jay Bruce 2B Daniel Murphy 3B Jake Lamb SS Jean Segura OF Nelson Cruz OF A.J. Pollock OF Bryce Harper",NA,"James Paxton","21.34%",34.75
5,737525638,"wolfpackclh731",0,191.6,"P James Paxton P Matt Shoemaker C Willson Contreras 1B Paul Goldschmidt 2B Jonathan Villar 3B Kris Bryant SS Trea Turner OF Jarrod Dyson OF Carlos Gómez OF A.J. Pollock",NA,"Trea Turner","20.83%",28
6,737724755,"Fester421 (1/2)",0,188.4,"P Julio Teheran P Trevor Cahill C Jett Bandy 1B Ryan Zimmerman 2B Daniel Murphy 3B Kris Bryant SS Jean Segura OF Aaron Judge OF Mike Trout OF Bryce Harper",NA,"Jake Lamb","18.62%",10
7,737620787,"FinallyAlive",0,184.5,"P James Paxton P Luis Severino C Mike Zunino 1B Eric Thames 2B Daniel Murphy 3B Ryan Flaherty SS Trea Turner OF Guillermo Heredia OF Josh Reddick OF Bryce Harper",NA,"A.J. Pollock","15.82%",20
8,737712745,"RedHeadedWarrior",0,181.85,"P James Paxton P Johnny Cueto C Jett Bandy 1B Anthony Rizzo 2B César Hernández 3B Maikel Franco SS Chris Owings OF Nelson Cruz OF Khris Davis OF Shin-soo Choo",NA,"Jett Bandy","14.88%",19
9,737507514,"ThatStunna",0,180.4,"P James Paxton P Dylan Bundy C Austin Hedges 1B Paul Goldschmidt 2B Jonathan Villar 3B Jake Lamb SS Erick Aybar OF David Peralta OF A.J. Pollock OF Bryce Harper",NA,"Daniel Murphy","14.20%",23
10,737781534,"robinsmw",0,180,"P James Paxton P Héctor Santiago C Buster Posey 1B Ryan Zimmerman 2B Daniel Murphy 3B Jake Lamb SS Trea Turner OF Nelson Cruz OF Aaron Altherr OF Adam Eaton",NA,"Mike Trout","13.95%",10
