"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",15100,"LAD@SF 03:45PM ET",27.74,"LAD"
"SP","Chris Sale",12900,"NYY@Bos 07:10PM ET",34.038,"Bos"
"SP","Noah Syndergaard",12700,"Atl@NYM 01:10PM ET",24.525,"NYM"
"SP","Madison Bumgarner",12400,"LAD@SF 03:45PM ET",20.813,"SF"
"SP","Johnny Cueto",11500,"LAD@SF 03:45PM ET",13.9,"SF"
"SP","Rich Hill",11200,"LAD@SF 03:45PM ET",11.4,"LAD"
"SP","David Price",10200,"NYY@Bos 07:10PM ET",0,"Bos"
"SP","Kenta Maeda",10200,"LAD@SF 03:45PM ET",8.338,"LAD"
"SP","Justin Verlander",10100,"Sea@Det 01:10PM ET",11.963,"Det"
"SP","Corey Kluber",10000,"Hou@Cle 06:10PM ET",20.975,"Cle"
"SP","Rick Porcello",10000,"NYY@Bos 07:10PM ET",13.413,"Bos"
"SP","Jacob deGrom",9900,"Atl@NYM 01:10PM ET",17.5,"NYM"
"SP","Felix Hernandez",9700,"Sea@Det 01:10PM ET",11.52,"Sea"
"SP","Masahiro Tanaka",9400,"NYY@Bos 07:10PM ET",10.763,"NYY"
"SP","Steven Matz",9300,"Atl@NYM 01:10PM ET",0,"NYM"
"SP","Julio Teheran",9200,"Atl@NYM 01:10PM ET",13.188,"Atl"
"SP","Hyun-Jin Ryu",9100,"LAD@SF 03:45PM ET",11.85,"LAD"
"SP","Jeff Samardzija",9000,"LAD@SF 03:45PM ET",10.39,"SF"
"SP","Carlos Martinez",8900,"Tor@StL 01:45PM ET",16.85,"StL"
"SP","Aaron Sanchez",8900,"Tor@StL 01:45PM ET",12.375,"Tor"
"SP","Matt Shoemaker",8900,"Oak@LAA 10:07PM ET",11.488,"LAA"
"SP","Garrett Richards",8900,"Oak@LAA 10:07PM ET",16.1,"LAA"
"SP","Vince Velasquez",8900,"Mia@Phi 01:05PM ET",10.717,"Phi"
"SP","Taijuan Walker",8900,"SD@Ari 09:40PM ET",15.038,"Ari"
"SP","Julio Urias",8800,"LAD@SF 03:45PM ET",0,"LAD"
"SP","Carlos Carrasco",8700,"Hou@Cle 06:10PM ET",24.925,"Cle"
"SP","Michael Fulmer",8600,"Sea@Det 01:10PM ET",19.663,"Det"
"SP","Danny Salazar",8600,"Hou@Cle 06:10PM ET",20.85,"Cle"
"SP","Jharel Cotton",8600,"Oak@LAA 10:07PM ET",11.3,"Oak"
"SP","Matt Harvey",8600,"Atl@NYM 01:10PM ET",13.6,"NYM"
"SP","James Paxton",8500,"Sea@Det 01:10PM ET",25.45,"Sea"
"SP","Tyler Skaggs",8500,"Oak@LAA 10:07PM ET",15.088,"LAA"
"SP","Sean Manaea",8500,"Oak@LAA 10:07PM ET",16.713,"Oak"
"SP","Marco Estrada",8400,"Tor@StL 01:45PM ET",18.78,"Tor"
"SP","Zack Greinke",8400,"SD@Ari 09:40PM ET",19.98,"Ari"
"SP","Robbie Ray",8400,"SD@Ari 09:40PM ET",20.863,"Ari"
"SP","Ricky Nolasco",8300,"Oak@LAA 10:07PM ET",11.75,"LAA"
"SP","Max Scherzer",8300,"Was@Col 03:10PM ET",28.463,"Was"
"SP","Sonny Gray",8200,"Oak@LAA 10:07PM ET",0,"Oak"
"SP","Drew Smyly",8100,"Sea@Det 01:10PM ET",0,"Sea"
"SP","J.A. Happ",8100,"Tor@StL 01:45PM ET",16.4,"Tor"
"SP","Jerad Eickhoff",8100,"Mia@Phi 01:05PM ET",18.975,"Phi"
"SP","Marcus Stroman",8000,"Tor@StL 01:45PM ET",14.41,"Tor"
"SP","Mike Foltynewicz",8000,"Atl@NYM 01:10PM ET",11.863,"Atl"
"SP","Francisco Liriano",7900,"Tor@StL 01:45PM ET",11.588,"Tor"
"SP","Kendall Graveman",7900,"Oak@LAA 10:07PM ET",17.7,"Oak"
