"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Max Scherzer","Robbie Ray","Stephen Vogt","Eric Hosmer","Whit Merrifield","Mike Moustakas","Andrelton Simmons","Mike Trout","Lorenzo Cain","Jaff Decker"
"Max Scherzer","Robbie Ray","Stephen Vogt","Albert Pujols","Tyler Saladino","Yunel Escobar","Jordy Mercer","Mike Trout","Kole Calhoun","Jaff Decker"
"Max Scherzer","Jameson Taillon","Salvador Perez","Eric Hosmer","Tyler Saladino","Mike Moustakas","Tim Anderson","Mike Trout","Lorenzo Cain","Josh Reddick"
"Max Scherzer","Robbie Ray","Stephen Vogt","Yonder Alonso","Jed Lowrie","Mike Moustakas","Carlos Correa","Mike Trout","Khris Davis","Matt Joyce"
"Max Scherzer","Jameson Taillon","Stephen Vogt","Albert Pujols","Jose Altuve","Mike Moustakas","Carlos Correa","Carlos Beltran","Josh Reddick","Jaff Decker"
"Max Scherzer","Blake Snell","Chris Iannetta","Albert Pujols","Cory Spangenberg","Yunel Escobar","Andrelton Simmons","Mike Trout","Kole Calhoun","Josh Reddick"
"Max Scherzer","Jameson Taillon","Evan Gattis","CJ Cron","Danny Espinosa","Mike Moustakas","Andrelton Simmons","Mike Trout","Cameron Maybin","Jaff Decker"
"Max Scherzer","Carlos Carrasco","Geovany Soto","Albert Pujols","Tyler Saladino","Mike Moustakas","Tim Anderson","Mike Trout","Leury Garcia","Jaff Decker"
"Max Scherzer","Jameson Taillon","Evan Gattis","Albert Pujols","Jed Lowrie","Yunel Escobar","Tim Anderson","Mike Trout","Kole Calhoun","Matt Joyce"
"Max Scherzer","Carlos Carrasco","Evan Gattis","Albert Pujols","Jed Lowrie","Mike Moustakas","Corey Seager","Khris Davis","Matt Joyce","Jaff Decker"
"Max Scherzer","Robbie Ray","Stephen Vogt","Paul Goldschmidt","Tyler Saladino","Mike Moustakas","Chris Owings","AJ Pollock","Yasmany Tomas","Jaff Decker"
"Max Scherzer","Carlos Carrasco","Salvador Perez","Eric Hosmer","Cory Spangenberg","Mike Moustakas","Aledmys Diaz","Kole Calhoun","Lorenzo Cain","Jaff Decker"
"Max Scherzer","Jameson Taillon","Martin Maldonado","CJ Cron","Cory Spangenberg","Yunel Escobar","Carlos Correa","Mike Trout","Kole Calhoun","Jaff Decker"
"Max Scherzer","Jameson Taillon","Stephen Vogt","Albert Pujols","Whit Merrifield","Mike Moustakas","Chris Owings","Mike Trout","Brandon Moss","Jorge Bonifacio"
"Max Scherzer","Adam Conley","Salvador Perez","Albert Pujols","Whit Merrifield","Yunel Escobar","Chris Owings","Mike Trout","Kole Calhoun","Kevin Pillar"
"Max Scherzer","Blake Snell","Evan Gattis","Eric Hosmer","Whit Merrifield","Mike Moustakas","Carlos Correa","Kole Calhoun","Lorenzo Cain","Josh Reddick"
"Max Scherzer","Robbie Ray","Stephen Vogt","CJ Cron","Adam Rosales","Trevor Plouffe","Corey Seager","Mike Trout","Josh Reddick","Jaff Decker"
"Max Scherzer","Robbie Ray","Stephen Vogt","Kendrys Morales","Darwin Barney","Mike Moustakas","Tim Anderson","Mike Trout","Jose Bautista","Kevin Pillar"
"Max Scherzer","Jacob deGrom","Stephen Vogt","Eric Hosmer","Jed Lowrie","Manny Machado","Andrelton Simmons","Khris Davis","Matt Joyce","Jaff Decker"
"Carlos Carrasco","Jameson Taillon","Stephen Vogt","Albert Pujols","Whit Merrifield","Yunel Escobar","Corey Seager","Mike Trout","Kole Calhoun","Josh Reddick"
"Max Scherzer","Jameson Taillon","Stephen Vogt","CJ Cron","Tyler Saladino","Todd Frazier","Tim Anderson","Mike Trout","Melky Cabrera","Jaff Decker"
"Max Scherzer","Adam Conley","Martin Maldonado","Eric Hosmer","Tyler Saladino","Yunel Escobar","Corey Seager","Mike Trout","Kole Calhoun","Josh Reddick"
"Max Scherzer","Robbie Ray","Salvador Perez","Eric Hosmer","Jed Lowrie","Mike Moustakas","Corey Seager","AJ Pollock","Lorenzo Cain","Carlos Beltran"
"Robbie Ray","Blake Snell","Stephen Vogt","Paul Goldschmidt","Jose Altuve","Mike Moustakas","Carlos Correa","Mike Trout","George Springer","Josh Reddick"
"Jacob deGrom","Carlos Carrasco","Salvador Perez","Albert Pujols","Jed Lowrie","Yunel Escobar","Andrelton Simmons","Mike Trout","Kole Calhoun","Jaff Decker"
"Carlos Carrasco","Robbie Ray","Evan Gattis","Albert Pujols","Cory Spangenberg","Yunel Escobar","Chris Owings","Mike Trout","Kole Calhoun","Khris Davis"
"Carlos Carrasco","Robbie Ray","Salvador Perez","Eric Hosmer","Jose Altuve","Mike Moustakas","Carlos Correa","Mike Trout","Lorenzo Cain","Matt Joyce"
"Robbie Ray","Jameson Taillon","Salvador Perez","Albert Pujols","Jose Altuve","Yunel Escobar","Carlos Correa","Mike Trout","AJ Pollock","Kole Calhoun"
"Max Scherzer","Adam Conley","Evan Gattis","CJ Cron","Jose Altuve","Yunel Escobar","Carlos Correa","George Springer","Josh Reddick","Jaff Decker"
"Max Scherzer","Adam Conley","Evan Gattis","Freddie Freeman","Whit Merrifield","Mike Moustakas","Tim Anderson","Mike Trout","Lorenzo Cain","Jorge Bonifacio"
"Max Scherzer","Robbie Ray","Martin Maldonado","Yonder Alonso","Jed Lowrie","Yunel Escobar","Andrelton Simmons","Mike Trout","Kole Calhoun","Carlos Beltran"
"Max Scherzer","Jacob deGrom","Salvador Perez","Eric Hosmer","Josh Harrison","Mike Moustakas","Andrelton Simmons","Lorenzo Cain","Kevin Pillar","Matt Joyce"
"Max Scherzer","Robbie Ray","Salvador Perez","Eric Hosmer","Cory Spangenberg","Manny Machado","Alcides Escobar","Mike Trout","Alex Gordon","Jaff Decker"
"Max Scherzer","Carlos Carrasco","Chris Iannetta","Albert Pujols","Whit Merrifield","Mike Moustakas","Carlos Correa","Lorenzo Cain","Jorge Bonifacio","Jaff Decker"
"Robbie Ray","Jameson Taillon","Evan Gattis","Eric Hosmer","Jose Altuve","Manny Machado","Carlos Correa","Mike Trout","Carlos Beltran","Josh Reddick"
"Max Scherzer","Robbie Ray","Yasmani Grandal","Adrian Gonzalez","Cory Spangenberg","Justin Turner","Corey Seager","Mike Trout","Kole Calhoun","Jaff Decker"
"Max Scherzer","Carlos Carrasco","Stephen Vogt","Trey Mancini","Jonathan Schoop","Mike Moustakas","JJ Hardy","Mike Trout","Joey Rickard","Jaff Decker"
"Carlos Carrasco","Jameson Taillon","Evan Gattis","Eric Hosmer","Whit Merrifield","Mike Moustakas","Corey Seager","Mike Trout","AJ Pollock","Lorenzo Cain"
"Max Scherzer","Chase Anderson","Geovany Soto","Albert Pujols","Kolten Wong","Yunel Escobar","Corey Seager","Mike Trout","Kole Calhoun","Steve Pearce"
"Max Scherzer","Robbie Ray","Salvador Perez","Paul Goldschmidt","Jed Lowrie","Kris Bryant","Aledmys Diaz","Khris Davis","Matt Joyce","Jaff Decker"
"Max Scherzer","Robbie Ray","Salvador Perez","Yonder Alonso","Jose Altuve","Yunel Escobar","Carlos Correa","Carlos Beltran","Josh Reddick","Matt Joyce"
"Max Scherzer","Jameson Taillon","Stephen Vogt","Albert Pujols","Cory Spangenberg","Manny Machado","Andrelton Simmons","Mark Trumbo","Adam Jones","Joey Rickard"
"Max Scherzer","Carlos Carrasco","Yasmani Grandal","Albert Pujols","Adam Rosales","Trevor Plouffe","Andrelton Simmons","Mike Trout","Matt Joyce","Jaff Decker"
"Jacob deGrom","Charlie Morton","Evan Gattis","Albert Pujols","Tyler Saladino","Yunel Escobar","Carlos Correa","Mike Trout","Kole Calhoun","Josh Reddick"
"Max Scherzer","Carlos Carrasco","Welington Castillo","Eric Hosmer","Whit Merrifield","Mike Moustakas","Jordy Mercer","Lorenzo Cain","Khris Davis","Matt Joyce"
"Max Scherzer","Adam Conley","Welington Castillo","Chris Davis","Cory Spangenberg","Manny Machado","Andrelton Simmons","Mike Trout","Mark Trumbo","Jaff Decker"
"Max Scherzer","Robbie Ray","Evan Gattis","Paul Goldschmidt","Whit Merrifield","Mike Moustakas","Andrelton Simmons","Brandon Moss","Josh Reddick","Jorge Bonifacio"
"Max Scherzer","Robbie Ray","Salvador Perez","Eric Hosmer","Tyler Saladino","Yunel Escobar","Andrelton Simmons","Kole Calhoun","Lorenzo Cain","Alex Gordon"
"Jacob deGrom","Blake Snell","Stephen Vogt","Albert Pujols","Jose Altuve","Yunel Escobar","Tim Anderson","Mike Trout","Kole Calhoun","Michael Conforto"
"Max Scherzer","Carlos Carrasco","Salvador Perez","Yonder Alonso","Jed Lowrie","Manny Machado","Tim Anderson","Khris Davis","Josh Reddick","Matt Joyce"
"Carlos Carrasco","Adam Conley","Yasmani Grandal","Freddie Freeman","Jose Altuve","Mike Moustakas","Carlos Correa","Mike Trout","Carlos Beltran","Josh Reddick"
"Max Scherzer","Chase Anderson","Chris Iannetta","Eric Hosmer","Jose Altuve","Mike Moustakas","Carlos Correa","George Springer","Josh Reddick","Kevin Pillar"
"Max Scherzer","Robbie Ray","Willson Contreras","Yonder Alonso","Javier Baez","Mike Moustakas","Addison Russell","Mike Trout","Jason Heyward","Jaff Decker"
"Max Scherzer","Robbie Ray","Martin Maldonado","Eric Hosmer","Danny Espinosa","Yunel Escobar","Tim Anderson","Mike Trout","Cameron Maybin","Jaff Decker"
"Max Scherzer","Jeff Samardzija","Stephen Vogt","Brandon Belt","Whit Merrifield","Mike Moustakas","Corey Seager","Lorenzo Cain","Josh Reddick","Jorge Bonifacio"
"Jeff Samardzija","Ian Kennedy","Evan Gattis","Albert Pujols","Jose Altuve","Yunel Escobar","Corey Seager","Mike Trout","Kole Calhoun","Jaff Decker"
"Jacob deGrom","Jeff Samardzija","Salvador Perez","Eric Hosmer","Jonathan Villar","Mike Moustakas","Corey Seager","Mike Trout","Lorenzo Cain","Jaff Decker"
"Max Scherzer","Robbie Ray","Martin Maldonado","Albert Pujols","Danny Espinosa","Mike Moustakas","Andrelton Simmons","AJ Pollock","Cameron Maybin","Josh Reddick"
"Carlos Carrasco","Robbie Ray","Salvador Perez","Albert Pujols","Jose Altuve","Manny Machado","Carlos Correa","George Springer","Josh Reddick","Jaff Decker"
"Max Scherzer","Adam Conley","Geovany Soto","Paul Goldschmidt","Brandon Drury","Mike Moustakas","Chris Owings","Mike Trout","Yasmany Tomas","Josh Reddick"
"Max Scherzer","Blake Snell","Salvador Perez","Albert Pujols","Tyler Saladino","Mike Moustakas","Alcides Escobar","Mike Trout","Alex Gordon","Brandon Moss"
"Max Scherzer","Jameson Taillon","Stephen Vogt","Adrian Gonzalez","Tyler Saladino","Justin Turner","Corey Seager","Mike Trout","Josh Reddick","Andrew Toles"
"Max Scherzer","Robbie Ray","Geovany Soto","Albert Pujols","Jose Altuve","Mike Moustakas","Tim Anderson","George Springer","Josh Reddick","Norichika Aoki"
"Max Scherzer","Robbie Ray","Geovany Soto","Freddie Freeman","Tyler Saladino","Kris Bryant","Tim Anderson","Kole Calhoun","Josh Reddick","Leury Garcia"
"Carlos Carrasco","Blake Snell","Welington Castillo","Albert Pujols","Tyler Saladino","Yunel Escobar","Aledmys Diaz","Mike Trout","AJ Pollock","Kole Calhoun"
"Max Scherzer","Blake Snell","Martin Maldonado","Brandon Belt","Whit Merrifield","Yunel Escobar","Jordy Mercer","Mike Trout","Kole Calhoun","Khris Davis"
"Max Scherzer","Robbie Ray","Evan Gattis","Albert Pujols","Tyler Saladino","Todd Frazier","Tim Anderson","Melky Cabrera","Josh Reddick","Kevin Pillar"
"Max Scherzer","Charlie Morton","Yasmani Grandal","Albert Pujols","Joe Panik","Yunel Escobar","Jorge Polanco","Mike Trout","Kole Calhoun","Joey Rickard"
"Max Scherzer","Adam Conley","Stephen Vogt","CJ Cron","Danny Espinosa","Manny Machado","Andrelton Simmons","Cameron Maybin","Kole Calhoun","Josh Reddick"
"Max Scherzer","Blake Snell","Salvador Perez","Eric Hosmer","Jose Altuve","Mike Moustakas","Chris Owings","Lorenzo Cain","Khris Davis","Andrew Benintendi"
"Max Scherzer","Jeff Samardzija","Yasmani Grandal","Eric Hosmer","Whit Merrifield","Mike Moustakas","Tim Anderson","AJ Pollock","Lorenzo Cain","Kevin Pillar"
"Jacob deGrom","Robbie Ray","Welington Castillo","Albert Pujols","Josh Harrison","Yunel Escobar","Corey Seager","Mike Trout","Kole Calhoun","Matt Joyce"
"Max Scherzer","Robbie Ray","Salvador Perez","CJ Cron","Whit Merrifield","Mike Moustakas","Elvis Andrus","Kole Calhoun","Lorenzo Cain","Jorge Bonifacio"
"Max Scherzer","Robbie Ray","Stephen Vogt","Chris Davis","Whit Merrifield","Manny Machado","Jordy Mercer","Mark Trumbo","Adam Jones","Jaff Decker"
"Marcus Stroman","Jeff Samardzija","Stephen Vogt","Albert Pujols","Joe Panik","Yunel Escobar","Andrelton Simmons","Mike Trout","Kole Calhoun","Khris Davis"
"Max Scherzer","Robbie Ray","Stephen Vogt","Eric Hosmer","Tyler Saladino","Alex Bregman","Andrelton Simmons","George Springer","Josh Reddick","Norichika Aoki"
"Max Scherzer","Robbie Ray","Stephen Vogt","Albert Pujols","Josh Harrison","Mike Moustakas","Jordy Mercer","Andrew McCutchen","Gregory Polanco","Josh Reddick"
"Jacob deGrom","Jameson Taillon","Evan Gattis","Paul Goldschmidt","Cory Spangenberg","Mike Moustakas","Chris Owings","Mike Trout","AJ Pollock","Yasmany Tomas"
"Max Scherzer","Jeff Samardzija","Welington Castillo","Freddie Freeman","Jed Lowrie","Yunel Escobar","Carlos Correa","Khris Davis","Matt Joyce","Jaff Decker"
"Max Scherzer","Adam Conley","Salvador Perez","Albert Pujols","Tyler Saladino","Manny Machado","JJ Hardy","Mike Trout","Adam Jones","Joey Rickard"
"Max Scherzer","Robbie Ray","Stephen Vogt","Albert Pujols","Rougned Odor","Mike Moustakas","Elvis Andrus","Carlos Gomez","Delino DeShields","Jaff Decker"
"Max Scherzer","Jameson Taillon","Chris Iannetta","Eric Hosmer","Whit Merrifield","Mike Moustakas","Aledmys Diaz","Bryce Harper","Lorenzo Cain","Carlos Beltran"
"Max Scherzer","Carlos Carrasco","Martin Maldonado","Brandon Belt","Danny Espinosa","Yunel Escobar","Andrelton Simmons","Kole Calhoun","Josh Reddick","Jaff Decker"
"Jeff Samardzija","Robbie Ray","Willson Contreras","Albert Pujols","Jonathan Villar","Yunel Escobar","Tim Anderson","Mike Trout","Kole Calhoun","Josh Reddick"
"Carlos Carrasco","Robbie Ray","Martin Maldonado","Freddie Freeman","Brian Dozier","Yunel Escobar","Corey Seager","Mike Trout","Kole Calhoun","Jaff Decker"
"Jeff Samardzija","Ian Kennedy","Stephen Vogt","Brandon Belt","Jose Altuve","Yunel Escobar","Carlos Correa","Mike Trout","Carlos Beltran","Josh Reddick"
"Max Scherzer","Ian Kennedy","Salvador Perez","Eric Hosmer","Joe Panik","Mike Moustakas","Carlos Correa","Jose Bautista","Lorenzo Cain","Steve Pearce"
"Max Scherzer","Robbie Ray","Salvador Perez","Kendrys Morales","Tyler Saladino","Yunel Escobar","Tim Anderson","Mike Trout","Melky Cabrera","Leury Garcia"
"Max Scherzer","Jacob deGrom","Yasmani Grandal","CJ Cron","Whit Merrifield","Mike Moustakas","Corey Seager","Brandon Moss","Jorge Bonifacio","Jaff Decker"
"Max Scherzer","Jameson Taillon","Yan Gomes","Carlos Santana","Tyler Saladino","Mike Moustakas","Francisco Lindor","Mike Trout","Abraham Almonte","Jaff Decker"
"Max Scherzer","Ian Kennedy","Martin Maldonado","Trey Mancini","Josh Harrison","Yunel Escobar","Tim Anderson","Mike Trout","Kole Calhoun","Kevin Pillar"
