P,P,C,1B,2B,3B,SS,OF,OF,OF
Max Scherzer,Robbie Ray,Stephen Vogt,Albert Pujols,Tyler Saladino,Mike Moustakas,Andrelton Simmons,Mike Trout,Josh Reddick,Jaff Decker
Max Scherzer,Jameson Taillon,Evan Gattis,Albert Pujols,Cory Spangenberg,Mike Moustakas,Corey Seager,Mike Trout,Kole Calhoun,Jaff Decker
Max Scherzer,Carlos Carrasco,Salvador Perez,Eric Hosmer,Cory Spangenberg,Mike Moustakas,Jordy Mercer,Mike Trout,Josh Reddick,Jaff Decker
Max Scherzer,Robbie Ray,Salvador Perez,Freddie Freeman,Jed Lowrie,Mike Moustakas,Tim Anderson,Mike Trout,Kole Calhoun,Jaff Decker
Max Scherzer,Jameson Taillon,Stephen Vogt,Eric Hosmer,Jose Altuve,Mike Moustakas,Carlos Correa,Mike Trout,Matt Joyce,Jaff Decker
Max Scherzer,Jameson Taillon,Stephen Vogt,CJ Cron,Cory Spangenberg,Mike Moustakas,Tim Anderson,Mike Trout,Khris Davis,Josh Reddick
Max Scherzer,Blake Snell,Stephen Vogt,Freddie Freeman,Cory Spangenberg,Mike Moustakas,Aledmys Diaz,Mike Trout,AJ Pollock,Jaff Decker
Max Scherzer,Carlos Carrasco,Evan Gattis,Brandon Belt,Jed Lowrie,Mike Moustakas,Andrelton Simmons,Mike Trout,Matt Joyce,Jaff Decker
Max Scherzer,Robbie Ray,Evan Gattis,CJ Cron,Whit Merrifield,Mike Moustakas,Jordy Mercer,Mike Trout,Khris Davis,Jaff Decker
Max Scherzer,Carlos Carrasco,Stephen Vogt,Yonder Alonso,Whit Merrifield,Mike Moustakas,Tim Anderson,Mike Trout,Kevin Pillar,Jaff Decker
Max Scherzer,Jameson Taillon,Salvador Perez,Paul Goldschmidt,Tyler Saladino,Mike Moustakas,Chris Owings,Mike Trout,Khris Davis,Jaff Decker
Max Scherzer,Robbie Ray,Stephen Vogt,Eric Hosmer,Cory Spangenberg,Yunel Escobar,Chris Owings,Mike Trout,Kole Calhoun,Jaff Decker
Max Scherzer,Jameson Taillon,Evan Gattis,Eric Hosmer,Whit Merrifield,Mike Moustakas,Andrelton Simmons,Mike Trout,Josh Reddick,Kevin Pillar
Max Scherzer,Ian Kennedy,Evan Gattis,Eric Hosmer,Tyler Saladino,Mike Moustakas,Tim Anderson,Mike Trout,AJ Pollock,Jaff Decker
Max Scherzer,Robbie Ray,Evan Gattis,Trey Mancini,Cory Spangenberg,Mike Moustakas,Carlos Correa,Mike Trout,Josh Reddick,Matt Joyce
Max Scherzer,Blake Snell,Salvador Perez,Albert Pujols,Whit Merrifield,Mike Moustakas,Carlos Correa,Mike Trout,Carlos Beltran,Jaff Decker
Max Scherzer,Jameson Taillon,Stephen Vogt,Freddie Freeman,Tyler Saladino,Mike Moustakas,Jordy Mercer,Mike Trout,Kole Calhoun,Steve Pearce
Max Scherzer,Robbie Ray,Stephen Vogt,CJ Cron,Jed Lowrie,Mike Moustakas,Corey Seager,Mike Trout,Kevin Pillar,Matt Joyce
Max Scherzer,Blake Snell,Evan Gattis,Albert Pujols,Jed Lowrie,Mike Moustakas,Jordy Mercer,Mike Trout,AJ Pollock,Josh Reddick
Max Scherzer,Adam Conley,Stephen Vogt,Brandon Belt,Whit Merrifield,Mike Moustakas,Corey Seager,Mike Trout,Kole Calhoun,Josh Reddick
Max Scherzer,Blake Snell,Stephen Vogt,Eric Hosmer,Jed Lowrie,Mike Moustakas,Andrelton Simmons,Mike Trout,Kole Calhoun,Carlos Beltran
Max Scherzer,Robbie Ray,Chris Iannetta,Brandon Belt,Josh Harrison,Mike Moustakas,Corey Seager,Mike Trout,AJ Pollock,Jaff Decker
Max Scherzer,Jameson Taillon,Salvador Perez,Albert Pujols,Josh Harrison,Mike Moustakas,Andrelton Simmons,Mike Trout,AJ Pollock,Matt Joyce
Max Scherzer,Blake Snell,Chris Iannetta,Albert Pujols,Tyler Saladino,Mike Moustakas,Tim Anderson,Mike Trout,Kole Calhoun,Khris Davis
Max Scherzer,Blake Snell,Evan Gattis,CJ Cron,Tyler Saladino,Yunel Escobar,Andrelton Simmons,Mike Trout,Kole Calhoun,Jaff Decker
Max Scherzer,Jameson Taillon,Stephen Vogt,Freddie Freeman,Jed Lowrie,Yunel Escobar,Elvis Andrus,Mike Trout,Josh Reddick,Jaff Decker
Max Scherzer,Robbie Ray,Salvador Perez,Albert Pujols,Jose Altuve,Yunel Escobar,Jordy Mercer,Mike Trout,Matt Joyce,Jaff Decker
Max Scherzer,Blake Snell,Geovany Soto,CJ Cron,Jose Altuve,Mike Moustakas,Corey Seager,Mike Trout,Josh Reddick,Jaff Decker
Max Scherzer,Jameson Taillon,Evan Gattis,Brandon Belt,Tyler Saladino,Kris Bryant,Jordy Mercer,Mike Trout,Josh Reddick,Jaff Decker
Max Scherzer,Adam Conley,Salvador Perez,Albert Pujols,Jose Altuve,Mike Moustakas,Tim Anderson,Mike Trout,Josh Reddick,Kevin Pillar
Max Scherzer,Carlos Carrasco,Stephen Vogt,Albert Pujols,Jed Lowrie,Mike Moustakas,Chris Owings,Kole Calhoun,Khris Davis,Jaff Decker
Max Scherzer,Jameson Taillon,Chris Iannetta,Yonder Alonso,Tyler Saladino,Mike Moustakas,Carlos Correa,Mike Trout,AJ Pollock,Josh Reddick
Max Scherzer,Blake Snell,Salvador Perez,Freddie Freeman,Tyler Saladino,Mike Moustakas,Elvis Andrus,Mike Trout,Josh Reddick,Matt Joyce
Max Scherzer,Adam Conley,Stephen Vogt,Eric Hosmer,Tyler Saladino,Manny Machado,Corey Seager,Mike Trout,Khris Davis,Jaff Decker
Max Scherzer,Blake Snell,Stephen Vogt,Albert Pujols,Cory Spangenberg,Yunel Escobar,Corey Seager,Mike Trout,Josh Reddick,Matt Joyce
Max Scherzer,Robbie Ray,Yasmani Grandal,Yonder Alonso,Cory Spangenberg,Mike Moustakas,Andrelton Simmons,Mike Trout,Kole Calhoun,Khris Davis
Max Scherzer,Robbie Ray,Chris Iannetta,Eric Hosmer,Jed Lowrie,Mike Moustakas,Chris Owings,Mike Trout,Khris Davis,Josh Reddick
Max Scherzer,Robbie Ray,Stephen Vogt,Brandon Belt,Cory Spangenberg,Mike Moustakas,Jordy Mercer,Mike Trout,Lorenzo Cain,Carlos Beltran
