"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",14100,"PHI@LAD 09:10PM ET",27.74,"LAD"
"SP","Madison Bumgarner",12400,"SD@SF 09:05PM ET",20.813,"SF"
"SP","Johnny Cueto",11500,"SD@SF 09:05PM ET",13.54,"SF"
"SP","Rich Hill",10400,"PHI@LAD 09:10PM ET",11.4,"LAD"
"SP","Vince Velasquez",9800,"PHI@LAD 09:10PM ET",11.4,"PHI"
"SP","Kenta Maeda",9500,"PHI@LAD 09:10PM ET",8.338,"LAD"
"SP","Jeff Samardzija",9000,"SD@SF 09:05PM ET",10.39,"SF"
"SP","Brandon McCarthy",8900,"PHI@LAD 09:10PM ET",17.63,"LAD"
"SP","Jerad Eickhoff",8900,"PHI@LAD 09:10PM ET",18.975,"PHI"
"SP","Aaron Nola",8500,"PHI@LAD 09:10PM ET",14.133,"PHI"
"SP","Hyun-Jin Ryu",8400,"PHI@LAD 09:10PM ET",11.85,"LAD"
"SP","Julio Urias",8400,"PHI@LAD 09:10PM ET",13.95,"LAD"
"SP","Jeremy Hellickson",8200,"PHI@LAD 09:10PM ET",15.58,"PHI"
"SP","Matt Moore",8000,"SD@SF 09:05PM ET",12.86,"SF"
"SP","Matt Cain",7700,"SD@SF 09:05PM ET",15.163,"SF"
"SP","Alex Wood",7400,"PHI@LAD 09:10PM ET",12.97,"LAD"
"SP","Scott Kazmir",7200,"PHI@LAD 09:10PM ET",0,"LAD"
"SP","Jered Weaver",6700,"SD@SF 09:05PM ET",8.66,"SD"
"SP","Jhoulys Chacin",6700,"SD@SF 09:05PM ET",10.53,"SD"
"SP","Ben Lively",6600,"PHI@LAD 09:10PM ET",0,"PHI"
"SP","Mark Appel",6500,"PHI@LAD 09:10PM ET",0,"PHI"
"SP","Clay Buchholz",6200,"PHI@LAD 09:10PM ET",-2.45,"PHI"
"SP","Zach Lee",6100,"SD@SF 09:05PM ET",4.8,"SD"
"SP","Zach Eflin",5700,"PHI@LAD 09:10PM ET",14.5,"PHI"
"SP","Jake Thompson",5700,"PHI@LAD 09:10PM ET",0,"PHI"
"SP","Clayton Richard",5700,"SD@SF 09:05PM ET",11.73,"SD"
"SP","Adam Morgan",5600,"PHI@LAD 09:10PM ET",3.85,"PHI"
"SP","Luis Perdomo",5600,"SD@SF 09:05PM ET",7.125,"SD"
"SP","Nick Pivetta",5400,"PHI@LAD 09:10PM ET",0,"PHI"
"SP","Robbie Erlin",5400,"SD@SF 09:05PM ET",0,"SD"
"SP","Ty Blach",5300,"SD@SF 09:05PM ET",1.85,"SF"
"SP","Ross Stripling",5100,"PHI@LAD 09:10PM ET",3.644,"LAD"
"SP","Christian Friedrich",5100,"SD@SF 09:05PM ET",0,"SD"
"RP","Chris Stratton",5100,"SD@SF 09:05PM ET",12.15,"SF"
"SP","Brock Stewart",5000,"PHI@LAD 09:10PM ET",0,"LAD"
"SP","Albert Suarez",5000,"SD@SF 09:05PM ET",0,"SF"
"SP","Jarred Cosart",4900,"SD@SF 09:05PM ET",4.117,"SD"
"SP","Jake Esch",4900,"SD@SF 09:05PM ET",-1.2,"SD"
"SS","Corey Seager",4500,"PHI@LAD 09:10PM ET",9.667,"LAD"
"SP","Trevor Cahill",4500,"SD@SF 09:05PM ET",18.55,"SD"
"SP","Cesar Vargas",4500,"SD@SF 09:05PM ET",0,"SD"
"RP","Craig Stammen",4500,"SD@SF 09:05PM ET",0.572,"SD"
"RP","Ryan Buchter",4500,"SD@SF 09:05PM ET",3.056,"SD"
"RP","Brad Hand",4500,"SD@SF 09:05PM ET",3.77,"SD"
"RP","Brandon Maurer",4500,"SD@SF 09:05PM ET",3.7,"SD"
"RP","Buddy Baumann",4500,"SD@SF 09:05PM ET",0,"SD"
"RP","Kirby Yates",4500,"SD@SF 09:05PM ET",0.425,"SD"
"RP","Jose M. Torres",4500,"SD@SF 09:05PM ET",3.4,"SD"
"RP","Carter Capps",4500,"SD@SF 09:05PM ET",0,"SD"
"RP","Kevin Quackenbush",4500,"SD@SF 09:05PM ET",6.063,"SD"
"RP","Miguel Diaz",4500,"SD@SF 09:05PM ET",2.335,"SD"
"RP","Joaquin Benoit",4400,"PHI@LAD 09:10PM ET",3.018,"PHI"
"RP","Pat Neshek",4400,"PHI@LAD 09:10PM ET",2.783,"PHI"
"RP","Jeanmar Gomez",4400,"PHI@LAD 09:10PM ET",2.075,"PHI"
"RP","Luis Garcia",4400,"PHI@LAD 09:10PM ET",3.8,"PHI"
"RP","Joely Rodriguez",4400,"PHI@LAD 09:10PM ET",2.255,"PHI"
"RP","Edubray Ramos",4400,"PHI@LAD 09:10PM ET",2.772,"PHI"
"RP","Hector Neris",4400,"PHI@LAD 09:10PM ET",3.329,"PHI"
"RP","Mark Leiter Jr.",4400,"PHI@LAD 09:10PM ET",0,"PHI"
"1B","Wil Myers",4300,"SD@SF 09:05PM ET",9.208,"SD"
"RP","Sergio Romo",4200,"PHI@LAD 09:10PM ET",0.305,"LAD"
"RP","Kenley Jansen",4200,"PHI@LAD 09:10PM ET",4.994,"LAD"
