"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Chris Archer","Dallas Keuchel","Jason Castro","Eric Thames","Brad Miller","Evan Longoria","Aledmys Diaz","Michael Conforto","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Derek Norris","Freddie Freeman","Brad Miller","Mike Moustakas","Francisco Lindor","Michael Conforto","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Brad Miller","Kyle Seager","Jean Segura","Kevin Kiermaier","Corey Dickerson","Shane Peterson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Eric Thames","Jonathan Villar","Mike Moustakas","Hernan Perez","Josh Reddick","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Roberto Perez","Eric Thames","Brad Miller","Mike Moustakas","Francisco Lindor","Lonnie Chisenhall","Abraham Almonte","Michael Conforto"
"Chris Archer","Dallas Keuchel","Roberto Perez","Freddie Freeman","Jose Ramirez","Miguel Rojas","Francisco Lindor","Lonnie Chisenhall","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Jonathan Villar","Evan Longoria","Francisco Lindor","Kevin Kiermaier","Corey Dickerson","Shane Peterson"
"Chris Archer","Dallas Keuchel","Brian McCann","Eric Thames","Brad Miller","Miguel Sano","Francisco Lindor","Kevin Kiermaier","Corey Dickerson","Shane Peterson"
"Chris Archer","Dallas Keuchel","Kurt Suzuki","Freddie Freeman","Brad Miller","Mike Moustakas","Alen Hanson","Ender Inciarte","Nick Markakis","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Yadier Molina","Freddie Freeman","Kolten Wong","Mike Moustakas","Aledmys Diaz","Randal Grichuk","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Brian McCann","Logan Morrison","Brad Miller","Mike Moustakas","Jean Segura","Nelson Cruz","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Brian McCann","Freddie Freeman","Brad Miller","Evan Longoria","Alen Hanson","Josh Reddick","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Freddie Freeman","Brad Miller","Evan Longoria","Aledmys Diaz","Ender Inciarte","Corey Dickerson","Shane Peterson"
"Chris Archer","Dallas Keuchel","Roberto Perez","Freddie Freeman","Jose Ramirez","Mike Moustakas","Francisco Lindor","Abraham Almonte","Kevin Kiermaier","Tyler Collins"
"Chris Archer","Dallas Keuchel","Geovany Soto","Carlos Santana","Jose Ramirez","Mike Moustakas","Francisco Lindor","Lonnie Chisenhall","Kevin Kiermaier","Corey Dickerson"
"Noah Syndergaard","Dallas Keuchel","Brian McCann","Freddie Freeman","Brad Miller","Mike Moustakas","Aledmys Diaz","Kevin Kiermaier","Corey Dickerson","Shane Peterson"
"Dallas Keuchel","Jordan Montgomery","Roberto Perez","Freddie Freeman","Jose Ramirez","Mike Moustakas","Francisco Lindor","Nelson Cruz","Michael Brantley","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Rene Rivera","Freddie Freeman","Neil Walker","Jose Reyes","Jean Segura","Michael Conforto","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Roberto Perez","Carlos Santana","Brad Miller","Mike Moustakas","Francisco Lindor","Michael Brantley","Corey Dickerson","Tyler Collins"
"Chris Archer","Dallas Keuchel","Roberto Perez","Carlos Santana","Jose Ramirez","Mike Moustakas","Aledmys Diaz","Abraham Almonte","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Logan Morrison","Brad Miller","Evan Longoria","Francisco Lindor","Nelson Cruz","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Derek Norris","Eric Thames","Brad Miller","Jose Reyes","Jean Segura","Josh Reddick","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Salvador Perez","Eric Thames","Whit Merrifield","Mike Moustakas","Aledmys Diaz","Lorenzo Cain","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Eric Thames","Jose Ramirez","Evan Longoria","Jean Segura","Kevin Kiermaier","Corey Dickerson","Shane Peterson"
"Chris Archer","Dallas Keuchel","Roberto Perez","Freddie Freeman","Kolten Wong","Mike Moustakas","Francisco Lindor","Michael Brantley","Lonnie Chisenhall","Shane Peterson"
"Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Jedd Gyorko","Miguel Sano","Jorge Polanco","Max Kepler","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Yadier Molina","Freddie Freeman","Jedd Gyorko","Mike Moustakas","Aledmys Diaz","Stephen Piscotty","Michael Conforto","Shane Peterson"
"Chris Archer","Dallas Keuchel","Jason Castro","Jay Bruce","Neil Walker","Jose Reyes","Aledmys Diaz","Nelson Cruz","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Salvador Perez","Freddie Freeman","Brad Miller","Evan Longoria","Tim Anderson","Nelson Cruz","Kevin Kiermaier","Shane Peterson"
"Chris Archer","Dallas Keuchel","Roberto Perez","Logan Morrison","Brad Miller","Kyle Seager","Francisco Lindor","Ender Inciarte","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Derek Norris","Freddie Freeman","Jedd Gyorko","Evan Longoria","Aledmys Diaz","Guillermo Heredia","Kevin Kiermaier","Corey Dickerson"
"Noah Syndergaard","Dallas Keuchel","Geovany Soto","Freddie Freeman","Brad Miller","Evan Longoria","Jean Segura","Michael Conforto","Corey Dickerson","Shane Peterson"
"Chris Archer","Dallas Keuchel","Salvador Perez","Freddie Freeman","Whit Merrifield","Mike Moustakas","Jean Segura","Brandon Moss","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Salvador Perez","Logan Morrison","Brad Miller","Miguel Sano","Aledmys Diaz","Michael Brantley","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Carlos Ruiz","Eric Thames","Brad Miller","Mike Moustakas","Jean Segura","Ben Gamel","Guillermo Heredia","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Josh Bell","Jose Ramirez","Mike Moustakas","Francisco Lindor","Michael Brantley","Abraham Almonte","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Salvador Perez","Carlos Santana","Brad Miller","Evan Longoria","Francisco Lindor","Kevin Kiermaier","Corey Dickerson","Joey Rickard"
"Chris Archer","Dallas Keuchel","Jason Castro","Eric Thames","Jose Ramirez","Miguel Rojas","Francisco Lindor","Lonnie Chisenhall","Abraham Almonte","Kevin Kiermaier"
"Dallas Keuchel","Tom Koehler","Jason Castro","Freddie Freeman","Jonathan Villar","Kyle Seager","Jean Segura","Nelson Cruz","Guillermo Heredia","Kevin Kiermaier"
"Dallas Keuchel","Tom Koehler","Brian McCann","Freddie Freeman","Jose Ramirez","Mike Moustakas","Francisco Lindor","Michael Brantley","Ender Inciarte","Lonnie Chisenhall"
"Chris Archer","Dallas Keuchel","Derek Norris","Eric Thames","Brad Miller","Mike Moustakas","Aledmys Diaz","Nelson Cruz","Corey Dickerson","Shane Peterson"
"Noah Syndergaard","Dallas Keuchel","Jason Castro","Freddie Freeman","Brad Miller","Evan Longoria","Francisco Lindor","Kevin Kiermaier","Kevin Pillar","Shane Peterson"
"Chris Archer","Dallas Keuchel","Yadier Molina","Josh Bell","Brad Miller","Evan Longoria","Jean Segura","Ender Inciarte","Kevin Kiermaier","Corey Dickerson"
"Noah Syndergaard","Dallas Keuchel","Geovany Soto","Eric Thames","Brad Miller","Evan Longoria","Francisco Lindor","Kevin Kiermaier","Corey Dickerson","Steve Pearce"
"Chris Archer","Dallas Keuchel","Kurt Suzuki","Freddie Freeman","Josh Harrison","Mike Moustakas","Dansby Swanson","Ender Inciarte","Michael Conforto","Kevin Kiermaier"
"Chris Archer","Dallas Keuchel","Jett Bandy","Eric Thames","Jonathan Villar","Mike Moustakas","Aledmys Diaz","Domingo Santana","Kevin Kiermaier","Tyler Collins"
"Noah Syndergaard","Dallas Keuchel","Jason Castro","Logan Morrison","Brad Miller","Mike Moustakas","Francisco Lindor","Michael Brantley","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Brian McCann","Carlos Santana","Brad Miller","Evan Longoria","Jean Segura","Michael Conforto","Kevin Kiermaier","Shane Peterson"
"Chris Archer","Dallas Keuchel","Jason Castro","Logan Morrison","Jonathan Villar","Evan Longoria","Jean Segura","Josh Reddick","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Derek Norris","Freddie Freeman","Brad Miller","Chase Headley","Aledmys Diaz","Michael Brantley","Kevin Kiermaier","Shane Peterson"
