"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Chris Archer","Dallas Keuchel","Jason Castro","Eric Thames","Brad Miller","Evan Longoria","Aledmys Diaz","Michael Conforto","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Daniel Robertson","Mike Moustakas","Francisco Lindor","Nelson Cruz","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Roberto Perez","Carlos Santana","Jonathan Villar","Mike Moustakas","Francisco Lindor","Michael Conforto","Corey Dickerson","Joey Rickard"
"Chris Archer","Dallas Keuchel","Roberto Perez","Freddie Freeman","Brad Miller","Mike Moustakas","Aledmys Diaz","Lonnie Chisenhall","Abraham Almonte","Michael Conforto"
"Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Brad Miller","Evan Longoria","Francisco Lindor","Ender Inciarte","Kevin Kiermaier","Shane Peterson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Freddie Freeman","Josh Harrison","Evan Longoria","Jean Segura","Kevin Kiermaier","Corey Dickerson","Joey Rickard"
"Chris Archer","Dallas Keuchel","Yadier Molina","Freddie Freeman","Kolten Wong","Mike Moustakas","Francisco Lindor","Randal Grichuk","Michael Conforto","Tyler Collins"
"Chris Archer","Dallas Keuchel","Jett Bandy","Carlos Santana","Brad Miller","Mike Moustakas","Francisco Lindor","Michael Brantley","Kevin Kiermaier","Tyler Collins"
"Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Jonathan Villar","Mike Moustakas","Tim Anderson","Ender Inciarte","Michael Conforto","Leury Garcia"
"Chris Archer","Dallas Keuchel","Geovany Soto","Matt Carpenter","Jedd Gyorko","Mike Moustakas","Aledmys Diaz","Nelson Cruz","Michael Conforto","Kevin Kiermaier"
"Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Brad Miller","Adonis Garcia","Alen Hanson","Ender Inciarte","Michael Conforto","Joey Rickard"
"Dallas Keuchel","Jordan Montgomery","Russell Martin","Freddie Freeman","Jonathan Villar","Evan Longoria","Aledmys Diaz","Nelson Cruz","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Geovany Soto","Jay Bruce","Brad Miller","Jose Reyes","Francisco Lindor","Nelson Cruz","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Eric Thames","Whit Merrifield","Mike Moustakas","Jean Segura","Lorenzo Cain","Michael Conforto","Corey Dickerson"
"Dallas Keuchel","Tom Koehler","Jason Castro","Freddie Freeman","Jonathan Villar","Adonis Garcia","Francisco Lindor","Michael Brantley","Ender Inciarte","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Freddie Freeman","Brad Miller","Mike Moustakas","Hernan Perez","Ender Inciarte","Domingo Santana","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Robinson Cano","Mike Moustakas","Jean Segura","Ben Gamel","Corey Dickerson","Shane Peterson"
"Dallas Keuchel","Tom Koehler","Jason Castro","Eric Thames","Jonathan Villar","Mike Moustakas","Francisco Lindor","Ryan Braun","Nelson Cruz","Michael Conforto"
"Dallas Keuchel","Tom Koehler","Jason Castro","Freddie Freeman","Jonathan Villar","Kyle Seager","Jean Segura","Nelson Cruz","Guillermo Heredia","Kevin Kiermaier"
"Chris Archer","Dallas Keuchel","Jason Castro","Jay Bruce","Josh Harrison","Jose Reyes","Jean Segura","Ender Inciarte","Michael Conforto","Kevin Kiermaier"
"Dallas Keuchel","Jordan Montgomery","Brian McCann","Freddie Freeman","Brad Miller","Kyle Seager","Francisco Lindor","Nelson Cruz","Guillermo Heredia","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Yadier Molina","Freddie Freeman","Jedd Gyorko","Miguel Rojas","Aledmys Diaz","Stephen Piscotty","Kevin Kiermaier","Corey Dickerson"
"Dallas Keuchel","Tom Koehler","Jett Bandy","Freddie Freeman","Robinson Cano","Kyle Seager","Aledmys Diaz","Nelson Cruz","Michael Conforto","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jason Castro","Edwin Encarnacion","Josh Harrison","Mike Moustakas","Francisco Lindor","Michael Brantley","Michael Conforto","Shane Peterson"
"Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Josh Harrison","Adonis Garcia","Aledmys Diaz","Ender Inciarte","Corey Dickerson","Tyler Collins"
"Chris Archer","Dallas Keuchel","Brian McCann","Freddie Freeman","Whit Merrifield","Mike Moustakas","Aledmys Diaz","Lorenzo Cain","Kevin Kiermaier","Joey Rickard"
"Chris Archer","Dallas Keuchel","Jason Castro","Carlos Santana","Kolten Wong","Miguel Rojas","Francisco Lindor","Michael Brantley","Josh Reddick","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jett Bandy","Eric Thames","Jonathan Villar","Miguel Rojas","Francisco Lindor","Ryan Braun","Corey Dickerson","Shane Peterson"
"Chris Archer","Dallas Keuchel","Geovany Soto","Freddie Freeman","Dee Gordon","Martin Prado","Alen Hanson","Christian Yelich","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Roberto Perez","Eric Thames","Josh Harrison","Mike Moustakas","Hernan Perez","Ryan Braun","Michael Conforto","Kevin Kiermaier"
"Chris Archer","Dallas Keuchel","Salvador Perez","Josh Bell","Jonathan Villar","Evan Longoria","Francisco Lindor","Lonnie Chisenhall","Kevin Kiermaier","Corey Dickerson"
"Dallas Keuchel","Tom Koehler","Brian McCann","Eric Thames","Brad Miller","Evan Longoria","Francisco Lindor","Nelson Cruz","Michael Brantley","Kevin Kiermaier"
"Noah Syndergaard","Dallas Keuchel","Jett Bandy","Freddie Freeman","Brad Miller","Evan Longoria","Alen Hanson","Michael Conforto","Kevin Kiermaier","Kevin Pillar"
"Dallas Keuchel","Jordan Montgomery","Yadier Molina","Freddie Freeman","Jonathan Villar","Adonis Garcia","Jean Segura","Ender Inciarte","Michael Conforto","Kevin Kiermaier"
"Chris Archer","Dallas Keuchel","Yadier Molina","Josh Bell","Josh Harrison","Mike Moustakas","Francisco Lindor","Ender Inciarte","Andrew McCutchen","Kevin Kiermaier"
"Chris Archer","Dallas Keuchel","Kyle Higashioka","Freddie Freeman","Jonathan Villar","Mike Moustakas","Aledmys Diaz","Brett Gardner","Corey Dickerson","Aaron Hicks"
"Chris Archer","Dallas Keuchel","Roberto Perez","Eric Thames","Josh Harrison","Eugenio Suarez","Francisco Lindor","Lonnie Chisenhall","Abraham Almonte","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Geovany Soto","Edwin Encarnacion","Jose Ramirez","Mike Moustakas","Tim Anderson","Michael Brantley","Kevin Kiermaier","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Jonathan Villar","Martin Prado","Jorge Polanco","Michael Conforto","Eddie Rosario","Corey Dickerson"
"Chris Archer","Dallas Keuchel","Jason Castro","Freddie Freeman","Kolten Wong","Mike Moustakas","Aledmys Diaz","Matt Kemp","Nick Markakis","Shane Peterson"
