P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Archer,Dallas Keuchel,Salvador Perez,Freddie Freeman,Brad Miller,Mike Moustakas,Francisco Lindor,Michael Conforto,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Jason Castro,Eric Thames,Jonathan Villar,Mike Moustakas,Aledmys Diaz,Michael Conforto,Kevin Kiermaier,Joey Rickard
Chris Archer,Dallas Keuchel,Jett Bandy,Freddie Freeman,Jonathan Villar,Mike Moustakas,Aledmys Diaz,Ender Inciarte,Corey Dickerson,Shane Peterson
Chris Archer,Dallas Keuchel,Jason Castro,Freddie Freeman,Jedd Gyorko,Miguel Rojas,Aledmys Diaz,Nelson Cruz,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Jason Castro,Eric Thames,Brad Miller,Mike Moustakas,Jean Segura,Josh Reddick,Lonnie Chisenhall,Corey Dickerson
Chris Archer,Dallas Keuchel,Jason Castro,Freddie Freeman,Kolten Wong,Mike Moustakas,Jean Segura,Nelson Cruz,Michael Conforto,Shane Peterson
Chris Archer,Dallas Keuchel,Yadier Molina,Eric Thames,Brad Miller,Miguel Rojas,Aledmys Diaz,Ender Inciarte,Michael Conforto,Corey Dickerson
Chris Archer,Dallas Keuchel,Geovany Soto,Freddie Freeman,Josh Harrison,Mike Moustakas,Jean Segura,Ender Inciarte,Kevin Kiermaier,Joey Rickard
Chris Archer,Dallas Keuchel,Roberto Perez,Freddie Freeman,Josh Harrison,Mike Moustakas,Aledmys Diaz,Josh Reddick,Lonnie Chisenhall,Michael Conforto
Chris Archer,Dallas Keuchel,Jett Bandy,Eric Thames,Jonathan Villar,Miguel Rojas,Francisco Lindor,Josh Reddick,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Jett Bandy,Eric Thames,Jedd Gyorko,Mike Moustakas,Tim Anderson,Nelson Cruz,Michael Conforto,Corey Dickerson
Dallas Keuchel,Tom Koehler,Yadier Molina,Freddie Freeman,Jonathan Villar,Mike Moustakas,Francisco Lindor,Nelson Cruz,Ender Inciarte,Michael Conforto
Chris Archer,Dallas Keuchel,Geovany Soto,Freddie Freeman,Jonathan Villar,Miguel Rojas,Jean Segura,Michael Conforto,Guillermo Heredia,Corey Dickerson
Chris Archer,Dallas Keuchel,Jason Castro,Freddie Freeman,Brad Miller,Miguel Rojas,Francisco Lindor,Ender Inciarte,Josh Reddick,Joey Rickard
Chris Archer,Dallas Keuchel,Roberto Perez,Eric Thames,Josh Harrison,Mike Moustakas,Francisco Lindor,Ender Inciarte,Corey Dickerson,Aaron Hicks
Chris Archer,Dallas Keuchel,Geovany Soto,Freddie Freeman,Brad Miller,Mike Moustakas,Aledmys Diaz,Nelson Cruz,Guillermo Heredia,Tyler Collins
Chris Archer,Dallas Keuchel,Jett Bandy,Eric Thames,Brad Miller,Martin Prado,Jean Segura,Michael Conforto,Guillermo Heredia,Kevin Kiermaier
Noah Syndergaard,Dallas Keuchel,Jason Castro,Freddie Freeman,Jonathan Villar,Mike Moustakas,Tim Anderson,Kevin Kiermaier,Corey Dickerson,Kevin Pillar
Chris Archer,Dallas Keuchel,Jason Castro,Freddie Freeman,Josh Harrison,Jose Reyes,Tim Anderson,Ender Inciarte,Michael Conforto,Corey Dickerson
Chris Archer,Dallas Keuchel,Roberto Perez,Josh Bell,Jonathan Villar,Mike Moustakas,Jean Segura,Nelson Cruz,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Yadier Molina,Eric Thames,Brad Miller,Mike Moustakas,Francisco Lindor,Nelson Cruz,Joey Rickard,Shane Peterson
Chris Archer,Dallas Keuchel,Brian McCann,Freddie Freeman,Kolten Wong,Mike Moustakas,Aledmys Diaz,Billy Hamilton,Kevin Kiermaier,Aaron Hicks
Chris Archer,Dallas Keuchel,Geovany Soto,Eric Thames,Jose Ramirez,Mike Moustakas,Francisco Lindor,Josh Reddick,Michael Conforto,Tyler Collins
Chris Archer,Dallas Keuchel,Jason Castro,Freddie Freeman,Jonathan Villar,Jose Reyes,Francisco Lindor,Guillermo Heredia,Kevin Kiermaier,Shane Peterson
Noah Syndergaard,Dallas Keuchel,Yadier Molina,Freddie Freeman,Brad Miller,Mike Moustakas,Aledmys Diaz,Michael Conforto,Kevin Pillar,Steve Pearce
Chris Archer,Dallas Keuchel,Brian McCann,Freddie Freeman,Brad Miller,Martin Prado,Aledmys Diaz,Lonnie Chisenhall,Corey Dickerson,Joey Rickard
Chris Archer,Dallas Keuchel,Yadier Molina,Freddie Freeman,Brad Miller,Miguel Sano,Aledmys Diaz,Josh Reddick,Kevin Kiermaier,Shane Peterson
Dallas Keuchel,Jordan Montgomery,Brian McCann,Freddie Freeman,Brad Miller,Mike Moustakas,Jean Segura,Nelson Cruz,Michael Brantley,Kevin Kiermaier
Chris Archer,Dallas Keuchel,Jett Bandy,Freddie Freeman,Kolten Wong,Chase Headley,Jean Segura,Lonnie Chisenhall,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Geovany Soto,Freddie Freeman,Jedd Gyorko,Mike Moustakas,Francisco Lindor,Michael Brantley,Lonnie Chisenhall,Shane Peterson
Noah Syndergaard,Dallas Keuchel,Geovany Soto,Eric Thames,Brad Miller,Mike Moustakas,Aledmys Diaz,Billy Hamilton,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Yadier Molina,Eric Thames,Neil Walker,Mike Moustakas,Alen Hanson,Michael Brantley,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Jett Bandy,Freddie Freeman,Jonathan Villar,Marwin Gonzalez,Francisco Lindor,Michael Conforto,Joey Rickard,Tyler Collins
Chris Archer,Dallas Keuchel,Jett Bandy,Freddie Freeman,Brad Miller,Marwin Gonzalez,Alen Hanson,Nelson Cruz,Josh Reddick,Corey Dickerson
Chris Archer,Dallas Keuchel,Jason Castro,Freddie Freeman,Brad Miller,Chase Headley,Aledmys Diaz,Abraham Almonte,Michael Conforto,Aaron Hicks
Chris Archer,Dallas Keuchel,Brian McCann,Eric Thames,Kolten Wong,Jose Reyes,Francisco Lindor,Michael Conforto,Corey Dickerson,Joey Rickard
Dallas Keuchel,Mike Foltynewicz,Jason Castro,Freddie Freeman,Jose Ramirez,Mike Moustakas,Francisco Lindor,Nelson Cruz,Michael Brantley,Corey Dickerson
Chris Archer,Dallas Keuchel,Jett Bandy,Freddie Freeman,Jose Ramirez,Miguel Rojas,Alen Hanson,Michael Brantley,Michael Conforto,Kevin Kiermaier
Noah Syndergaard,Dallas Keuchel,Jett Bandy,Eric Thames,Kolten Wong,Mike Moustakas,Francisco Lindor,Michael Conforto,Kevin Kiermaier,Kevin Pillar
Chris Archer,Dallas Keuchel,Jett Bandy,Freddie Freeman,Kolten Wong,Mike Moustakas,Francisco Lindor,Josh Reddick,Ben Gamel,Guillermo Heredia
Chris Archer,Dallas Keuchel,Geovany Soto,Carlos Santana,Kolten Wong,Mike Moustakas,Aledmys Diaz,Michael Brantley,Michael Conforto,Corey Dickerson
Chris Archer,Dallas Keuchel,Yadier Molina,Freddie Freeman,Jose Ramirez,Mike Moustakas,Tim Anderson,Lonnie Chisenhall,Guillermo Heredia,Kevin Kiermaier
