P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Archer,Dallas Keuchel,Derek Norris,Freddie Freeman,Brad Miller,Evan Longoria,Aledmys Diaz,Michael Conforto,Kevin Kiermaier,Corey Dickerson
Dallas Keuchel,Jordan Montgomery,Roberto Perez,Freddie Freeman,Jose Ramirez,Mike Moustakas,Francisco Lindor,Michael Brantley,Ender Inciarte,Lonnie Chisenhall
Chris Archer,Dallas Keuchel,Yadier Molina,Matt Carpenter,Jedd Gyorko,Mike Moustakas,Aledmys Diaz,Randal Grichuk,Michael Conforto,Corey Dickerson
Chris Archer,Dallas Keuchel,Roberto Perez,Carlos Santana,Brad Miller,Mike Moustakas,Francisco Lindor,Lonnie Chisenhall,Abraham Almonte,Michael Conforto
Dallas Keuchel,Jordan Montgomery,Kurt Suzuki,Freddie Freeman,Jonathan Villar,Adonis Garcia,Francisco Lindor,Ender Inciarte,Nick Markakis,Kevin Pillar
Chris Archer,Dallas Keuchel,Jett Bandy,Eric Thames,Jonathan Villar,Mike Moustakas,Hernan Perez,Domingo Santana,Michael Conforto,Corey Dickerson
Noah Syndergaard,Dallas Keuchel,Russell Martin,Freddie Freeman,Ryan Goins,Mike Moustakas,Aledmys Diaz,Jose Bautista,Kevin Pillar,Steve Pearce
Chris Archer,Dallas Keuchel,Kurt Suzuki,Freddie Freeman,Brad Miller,Mike Moustakas,Dansby Swanson,Ender Inciarte,Nick Markakis,Tyler Collins
Chris Archer,Dallas Keuchel,Salvador Perez,Freddie Freeman,Whit Merrifield,Mike Moustakas,Aledmys Diaz,Lorenzo Cain,Michael Conforto,Jorge Bonifacio
Chris Archer,Dallas Keuchel,Tucker Barnhart,Freddie Freeman,Brad Miller,Eugenio Suarez,Zack Cozart,Billy Hamilton,Scott Schebler,Michael Conforto
Chris Archer,Dallas Keuchel,Jason Castro,Freddie Freeman,Brad Miller,Miguel Sano,Jorge Polanco,Max Kepler,Byron Buxton,Corey Dickerson
Dallas Keuchel,Tom Koehler,Geovany Soto,Freddie Freeman,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Guillermo Heredia,Kevin Pillar
Noah Syndergaard,Dallas Keuchel,Jason Castro,Eric Thames,Brad Miller,Evan Longoria,Francisco Lindor,Kevin Kiermaier,Corey Dickerson,Shane Peterson
Dallas Keuchel,Joe Ross,Yadier Molina,Freddie Freeman,Kolten Wong,Mike Moustakas,Aledmys Diaz,Nelson Cruz,Dexter Fowler,Randal Grichuk
Dallas Keuchel,Joe Ross,Roberto Perez,Edwin Encarnacion,Jason Kipnis,Mike Moustakas,Francisco Lindor,Michael Brantley,Jose Bautista,Kevin Pillar
Dallas Keuchel,Tom Koehler,Roberto Perez,Carlos Santana,Jonathan Villar,Miguel Sano,Francisco Lindor,Michael Brantley,Max Kepler,Lonnie Chisenhall
Chris Archer,Dallas Keuchel,Roberto Perez,Edwin Encarnacion,Kolten Wong,Miguel Rojas,Francisco Lindor,Michael Brantley,Lonnie Chisenhall,Corey Dickerson
Dallas Keuchel,Jordan Montgomery,Carlos Ruiz,Freddie Freeman,Jonathan Villar,Mike Moustakas,Jean Segura,Nelson Cruz,Ben Gamel,Guillermo Heredia
Dallas Keuchel,Tom Koehler,Russell Martin,Carlos Santana,Jose Ramirez,Mike Moustakas,Francisco Lindor,Nelson Cruz,Michael Brantley,Abraham Almonte
Chris Archer,Dallas Keuchel,Chris Stewart,Freddie Freeman,Josh Harrison,Eugenio Suarez,Alen Hanson,Andrew McCutchen,Gregory Polanco,Michael Conforto
Dallas Keuchel,Jordan Montgomery,Yadier Molina,Matt Carpenter,Jedd Gyorko,Eugenio Suarez,Aledmys Diaz,Nelson Cruz,Dexter Fowler,Christian Yelich
Chris Archer,Dallas Keuchel,Geovany Soto,Matt Carpenter,Kolten Wong,Miguel Rojas,Aledmys Diaz,Dexter Fowler,Christian Yelich,Randal Grichuk
Dallas Keuchel,Mike Foltynewicz,Roberto Perez,Carlos Santana,Jose Ramirez,Manny Machado,Francisco Lindor,Michael Brantley,Michael Conforto,Kevin Pillar
Dallas Keuchel,Tom Koehler,Kurt Suzuki,Freddie Freeman,Brad Miller,Adonis Garcia,Jean Segura,Matt Kemp,Ender Inciarte,Christian Yelich
Dallas Keuchel,Tom Koehler,Jett Bandy,Eric Thames,Jonathan Villar,Eugenio Suarez,Hernan Perez,Ryan Braun,Nelson Cruz,Ender Inciarte
Chris Archer,Tom Koehler,Josh Phegley,Freddie Freeman,Jose Ramirez,Eugenio Suarez,Francisco Lindor,Michael Brantley,Lonnie Chisenhall,Abraham Almonte
Dallas Keuchel,Tom Koehler,Roberto Perez,Freddie Freeman,Jason Kipnis,Manny Machado,Francisco Lindor,Jose Bautista,Lonnie Chisenhall,Abraham Almonte
Dallas Keuchel,Tom Koehler,AJ Ellis,Freddie Freeman,Dee Gordon,Martin Prado,Francisco Lindor,Giancarlo Stanton,Ender Inciarte,Christian Yelich
Dallas Keuchel,Tom Koehler,Yadier Molina,Eric Thames,Jedd Gyorko,Miguel Sano,Aledmys Diaz,Dexter Fowler,Ender Inciarte,Randal Grichuk
Dallas Keuchel,Joe Ross,Geovany Soto,Carlos Santana,Jose Ramirez,Eugenio Suarez,Francisco Lindor,Michael Brantley,Andrew McCutchen,Lonnie Chisenhall
Chris Archer,Dallas Keuchel,Geovany Soto,Freddie Freeman,Brad Miller,Todd Frazier,Tim Anderson,Nelson Cruz,Avisail Garcia,Leury Garcia
Chris Archer,Dallas Keuchel,AJ Ellis,Freddie Freeman,Dee Gordon,Miguel Rojas,Tim Anderson,Christian Yelich,Marcell Ozuna,Michael Conforto
Dallas Keuchel,Tom Koehler,Yadier Molina,Edwin Encarnacion,Jose Ramirez,Chase Headley,Francisco Lindor,Michael Brantley,Jose Bautista,Lonnie Chisenhall
Dallas Keuchel,Bronson Arroyo,Russell Martin,Eric Thames,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Ben Gamel,Michael Conforto
Dallas Keuchel,Mike Foltynewicz,Kurt Suzuki,Carlos Santana,Jason Kipnis,Mike Moustakas,Francisco Lindor,Michael Brantley,Christian Yelich,Lonnie Chisenhall
Chris Archer,Tom Koehler,Josh Phegley,Eric Thames,Robinson Cano,Mike Moustakas,Jean Segura,Nelson Cruz,Ben Gamel,Guillermo Heredia
Dallas Keuchel,Jordan Zimmermann,Roberto Perez,Eric Thames,Jason Kipnis,Eugenio Suarez,Francisco Lindor,Nelson Cruz,Michael Brantley,Lonnie Chisenhall
Chris Archer,Dallas Keuchel,Jett Bandy,Eric Thames,Jonathan Villar,Miguel Rojas,Orlando Arcia,Ryan Braun,Josh Reddick,Tyler Collins
Chris Archer,Dallas Keuchel,Brian McCann,Logan Morrison,Daniel Robertson,Evan Longoria,Francisco Lindor,Nelson Cruz,Kevin Kiermaier,Corey Dickerson
Chris Archer,Dallas Keuchel,Rene Rivera,Jay Bruce,Neil Walker,Jose Reyes,Francisco Lindor,Nelson Cruz,Michael Conforto,Corey Dickerson
Chris Archer,Dallas Keuchel,Geovany Soto,Edwin Encarnacion,Jose Ramirez,Mike Moustakas,Jose Iglesias,Michael Brantley,Lonnie Chisenhall,Abraham Almonte
