"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Mike Trout",5200,"LAA@SEA 10:10PM ET",11.143,"LAA","SEA",8.65,8.6,9.18,NA,"3","3",11
"3B","Nolan Arenado",5100,"COL@SD 10:10PM ET",9.538,"COL","SD",8.12,6.9,8.18,NA,"3","3",8
"OF","Charlie Blackmon",4800,"COL@SD 10:10PM ET",10.231,"COL","SD",7.55,7.7,7.96,NA,"1","1",8
"1B","Wil Myers",4700,"COL@SD 10:10PM ET",10,"SD","COL",7.76,7.9,8.42,NA,"3","3",9
"SS","Trevor Story",4600,"COL@SD 10:10PM ET",7.115,"COL","SD",6.41,5.7,6.56,NA,"7","7",0
"OF","Carlos Gonzalez",4500,"COL@SD 10:10PM ET",5.542,"COL","SD",7.21,7.4,7.21,NA,"4","4",0
"SS","Corey Seager",4400,"SF@LAD 10:10PM ET",9.259,"LAD","SF",6.83,7.2,8.28,NA,"2","2",9
"OF","Ian Desmond",4400,"COL@SD 10:10PM ET",3,"COL","SD",6.71,6.1,6.59,NA,"6","5",10
"OF","Nelson Cruz",4200,"LAA@SEA 10:10PM ET",9.846,"SEA","LAA",7.66,7.3,8.3,NA,"4","4",5
"2B","DJ LeMahieu",4200,"COL@SD 10:10PM ET",6.308,"COL","SD",6.12,6.1,7.05,NA,"2","2",2
"OF","David Dahl",4200,"COL@SD 10:10PM ET",0,"COL","SD",NA,0,NA,NA,"x","x",NA
"2B","Robinson Cano",4100,"LAA@SEA 10:10PM ET",7.846,"SEA","LAA",8.02,7.6,8.25,NA,"3","3",15
"SS","Jean Segura",4100,"LAA@SEA 10:10PM ET",9.571,"SEA","LAA",6.28,7.2,8.19,NA,"1","1",12
"1B","Mark Reynolds",4100,"COL@SD 10:10PM ET",9.462,"COL","SD",NA,NA,NA,NA,"5","x",NA
"3B","Justin Turner",4000,"SF@LAD 10:10PM ET",8.692,"LAD","SF",7.3,7,7.9,NA,"3","3",11
"3B","Kyle Seager",3900,"LAA@SEA 10:10PM ET",6.391,"SEA","LAA",7.8,6.9,7.3,NA,"5","5",2
"1B","Albert Pujols",3700,"LAA@SEA 10:10PM ET",6.852,"LAA","SEA",6.21,6.4,6.57,NA,"4","4",10
"1B/C","Buster Posey",3700,"SF@LAD 10:10PM ET",6.842,"SF","LAD",7.26,7.8,6.91,NA,"4","4",5
"1B","Adrian Gonzalez",3700,"SF@LAD 10:10PM ET",4.679,"LAD","SF",NA,NA,NA,NA,"6","x",NA
"OF","Hunter Pence",3700,"SF@LAD 10:10PM ET",6.111,"SF","LAD",7.6,7.4,6.68,NA,"3","3",3
"OF","Yasiel Puig",3700,"SF@LAD 10:10PM ET",7.111,"LAD","SF",7.97,7.8,7.87,NA,"4","6",21
"1B","Brandon Belt",3600,"SF@LAD 10:10PM ET",7.885,"SF","LAD",5.68,7.2,7.37,NA,"2","2",12
"2B/3B","Logan Forsythe",3600,"SF@LAD 10:10PM ET",5.4,"LAD","SF",NA,0,NA,NA,"x","x",NA
"3B/SS","Eduardo Nunez",3600,"SF@LAD 10:10PM ET",6.12,"SF","LAD",7.29,7.2,7.47,NA,"1","6",5
"OF","Joc Pederson",3600,"SF@LAD 10:10PM ET",5.632,"LAD","SF",NA,0,NA,NA,"x","x",NA
"3B","Ryan Schimpf",3600,"COL@SD 10:10PM ET",6.708,"SD","COL",5.83,6.4,6.56,NA,"5","5",16
"OF","Denard Span",3500,"SF@LAD 10:10PM ET",4,"SF","LAD",NA,0,NA,NA,"x","x",NA
