"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Chris Sale","Trevor Cahill","Evan Gattis","Hanley Ramirez","Marco Hernandez","Marwin Gonzalez","Xander Bogaerts","Mookie Betts","George Springer","Andrew Benintendi"
"2","Chris Sale","Trevor Cahill","Evan Gattis","Kendrys Morales","Jose Altuve","Chris Coghlan","Carlos Correa","Mookie Betts","George Springer","Carlos Beltran"
"3","Chris Sale","James Paxton","Travis d'Arnaud","Jay Bruce","Neil Walker","Marwin Gonzalez","Asdrubal Cabrera","Mookie Betts","Andrew Benintendi","Michael Conforto"
"4","Chris Sale","James Paxton","Sandy Leon","Justin Smoak","Marco Hernandez","Chris Coghlan","Xander Bogaerts","Mookie Betts","Andrew Benintendi","Matt Joyce"
"5","Chris Sale","Trevor Cahill","Russell Martin","Kendrys Morales","Jose Altuve","Chris Coghlan","Trea Turner","Bryce Harper","Jose Bautista","Kevin Pillar"
"6","Chris Sale","James Paxton","Salvador Perez","Matt Holliday","Starlin Castro","Marwin Gonzalez","Didi Gregorius","Andrew Benintendi","Aaron Judge","Aaron Hicks"
"7","Chris Sale","Trevor Cahill","Jonathan Lucroy","Hanley Ramirez","Jose Altuve","Alex Bregman","Trea Turner","George Springer","Carlos Beltran","Jake Marisnick"
"8","Chris Sale","Trevor Cahill","Evan Gattis","Matt Holliday","Starlin Castro","Chase Headley","Didi Gregorius","Mookie Betts","George Springer","Aaron Judge"
"9","Chris Sale","Tyler Chatwood","Sandy Leon","Kendrys Morales","Marco Hernandez","Marwin Gonzalez","Xander Bogaerts","Giancarlo Stanton","Jackie Bradley","Andrew Benintendi"
"10","James Paxton","Tyler Chatwood","Evan Gattis","Hanley Ramirez","Jose Altuve","Chase Headley","Carlos Correa","George Springer","Andrew Benintendi","Carlos Beltran"
"11","Chris Sale","James Paxton","Russell Martin","Josh Bell","Devon Travis","Chris Coghlan","Aledmys Diaz","Jose Bautista","Kevin Pillar","Michael Conforto"
"12","Chris Sale","Trevor Cahill","Austin Romine","Matt Holliday","Starlin Castro","Chase Headley","Trea Turner","Bryce Harper","Khris Davis","Brett Gardner"
"13","Chris Sale","Tyler Chatwood","Travis d'Arnaud","Jay Bruce","Neil Walker","Jose Reyes","Asdrubal Cabrera","Bryce Harper","Andrew McCutchen","Justin Upton"
"14","Chris Sale","James Paxton","Austin Romine","Chris Carter","Rougned Odor","Chase Headley","Trea Turner","Brett Gardner","Aaron Hicks","Gorkys Hernandez"
"15","James Paxton","Tyler Chatwood","Salvador Perez","Hanley Ramirez","Marco Hernandez","Alex Bregman","Xander Bogaerts","Bryce Harper","Mookie Betts","Andrew Benintendi"
"16","Chris Sale","Tyler Chatwood","Jonathan Lucroy","Justin Smoak","Rougned Odor","Alex Bregman","Aledmys Diaz","Shin-Soo Choo","Carlos Gomez","Delino DeShields"
"17","Chris Sale","Trevor Cahill","Evan Gattis","Mike Napoli","Rougned Odor","Joey Gallo","Aledmys Diaz","Mookie Betts","Shin-Soo Choo","Carlos Gomez"
