"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,744366979,"BrandonAdams",0,161,"P John Lackey 1B Mike Napoli OF Carlos Gómez OF Matt Joyce SS Elvis Andrus P Max Scherzer OF Josh Reddick C Evan Gattis 2B Rougned Odor 3B Joey Gallo",NA,"Max Scherzer","88.32%",36.75
2,744344758,"jagrandy",0,156.75,"C Robinson Chirinos 1B Ryan Zimmerman P Max Scherzer 2B Daniel Murphy P Derek Holland OF Marwin González 3B Eduardo Escobar OF Avisaíl García OF Chris Owings SS Trea Turner",NA,"Matt Joyce","76.07%",18
3,744329695,"house1010",0,154.75,"C Brian McCann OF Carlos Gómez OF Matt Joyce P Max Scherzer P Derek Holland OF Khris Davis 3B Marwin González 1B Yonder Alonso 2B José Altuve SS Carlos Correa",NA,"John Lackey","71.10%",11.25
4,744382425,"jmoneyallstar",0,153.75,"C José Lobatón 1B Ryan Zimmerman P Max Scherzer P Derek Holland OF Avisaíl García OF Aaron Altherr 2B Tyler Saladino OF Odúbel Herrera SS Trea Turner 3B Joey Gallo",NA,"Yonder Alonso","60.97%",4
5,744345483,"jberkley (3/12)",0,148,"P John Lackey C Miguel Montero 1B Ryan Zimmerman OF Matt Joyce SS Elvis Andrus 2B Jed Lowrie P Max Scherzer OF Jon Jay OF Khris Davis 3B Anthony Rendon",NA,"Khris Davis","57.05%",7
6,744363402,"buffalo410",0,146,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Khris Davis C Stephen Vogt 1B Yonder Alonso OF Michael A. Taylor SS Trea Turner 3B Alex Bregman",NA,"Brian McCann","55.69%",4
7,744365801,"Jaypro13",0,145.65,"C José Lobatón OF Michael Saunders OF Matt Joyce 2B Jed Lowrie P Max Scherzer 3B Anthony Rendon 1B José Abreu OF Bryce Harper SS Trea Turner P Jharel Cotton",NA,"Miguel Sanó","53.95%",2
8,744379577,"KingDaddy003",0,144.75,"C Geovany Soto 2B Jed Lowrie P Max Scherzer P Derek Holland OF Khris Davis 3B Marwin González OF Aaron Altherr 1B Kennys Vargas OF Bryce Harper SS Carlos Correa",NA,"Trea Turner","52.64%",13
9,744368061,"jgallagher80 (1/7)",0,142.7,"C Brian McCann OF Lorenzo Cain 1B Ryan Zimmerman OF Matt Joyce 2B Jed Lowrie P Max Scherzer P Ian Kennedy OF Josh Reddick 3B Marwin González SS Carlos Correa",NA,"Bryce Harper","50.16%",4
9,744368062,"jgallagher80 (2/7)",0,142.7,"C Brian McCann OF Lorenzo Cain 1B Ryan Zimmerman OF Matt Joyce 2B Jed Lowrie P Max Scherzer P Ian Kennedy OF Josh Reddick 3B Marwin González SS Carlos Correa",NA,"Josh Reddick","43.57%",9
9,744368063,"jgallagher80 (3/7)",0,142.7,"C Brian McCann OF Lorenzo Cain 1B Ryan Zimmerman OF Matt Joyce 2B Jed Lowrie P Max Scherzer P Ian Kennedy OF Josh Reddick 3B Marwin González SS Carlos Correa",NA,"Jed Lowrie","35.92%",10
9,744368064,"jgallagher80 (4/7)",0,142.7,"C Brian McCann OF Lorenzo Cain 1B Ryan Zimmerman OF Matt Joyce 2B Jed Lowrie P Max Scherzer P Ian Kennedy OF Josh Reddick 3B Marwin González SS Carlos Correa",NA,"Eduardo Escobar","32.26%",16
9,744368065,"jgallagher80 (5/7)",0,142.7,"C Brian McCann OF Lorenzo Cain 1B Ryan Zimmerman OF Matt Joyce 2B Jed Lowrie P Max Scherzer P Ian Kennedy OF Josh Reddick 3B Marwin González SS Carlos Correa",NA,"Ian Kennedy","31.95%",2.95
9,744368066,"jgallagher80 (6/7)",0,142.7,"C Brian McCann OF Lorenzo Cain 1B Ryan Zimmerman OF Matt Joyce 2B Jed Lowrie P Max Scherzer P Ian Kennedy OF Josh Reddick 3B Marwin González SS Carlos Correa",NA,"Ryan Zimmerman","20.20%",11
9,744368067,"jgallagher80 (7/7)",0,142.7,"C Brian McCann OF Lorenzo Cain 1B Ryan Zimmerman OF Matt Joyce 2B Jed Lowrie P Max Scherzer P Ian Kennedy OF Josh Reddick 3B Marwin González SS Carlos Correa",NA,"Brian Dozier","19.70%",4
16,744164672,"steve1313 (2/5)",0,142.65,"OF Lorenzo Cain OF Matt Joyce P Max Scherzer OF Khris Davis 1B Yonder Alonso 3B Eduardo Escobar 2B Brian Dozier C Evan Gattis SS Trea Turner P Jharel Cotton",NA,"Marwin González","17.65%",26
16,744164674,"steve1313 (4/5)",0,142.65,"OF Lorenzo Cain OF Matt Joyce P Max Scherzer OF Khris Davis 1B Yonder Alonso 3B Eduardo Escobar 2B Brian Dozier C Evan Gattis SS Trea Turner P Jharel Cotton",NA,"Jayson Werth","16.78%",9
18,744209468,"Awesemo (19/35)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer C Stephen Vogt OF Jaff Decker 1B Kennys Vargas OF Bryce Harper SS Trea Turner 3B Ryon Healy",NA,"Chad Pinder","14.92%",14
18,744308017,"lilcharney81 (1/4)",0,141,"P John Lackey C Brian McCann OF Lorenzo Cain OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Khris Davis SS Trea Turner 3B Joey Gallo 1B Yuli Gurriel",NA,"José Lobatón","14.85%",0
18,744308055,"lilcharney81 (2/4)",0,141,"P John Lackey C Brian McCann OF Lorenzo Cain OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Khris Davis SS Trea Turner 3B Joey Gallo 1B Yuli Gurriel",NA,"Kennys Vargas","13.74%",0
18,744312091,"lilcharney81 (3/4)",0,141,"P John Lackey C Brian McCann OF Lorenzo Cain OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Khris Davis SS Trea Turner 3B Joey Gallo 1B Yuli Gurriel",NA,"Jorge Polanco","13.36%",5
18,744312115,"lilcharney81 (4/4)",0,141,"P John Lackey C Brian McCann OF Lorenzo Cain OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Khris Davis SS Trea Turner 3B Joey Gallo 1B Yuli Gurriel",NA,"Whit Merrifield","12.87%",0
18,744355646,"dtsports (1/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Daniel Murphy","10.44%",5
18,744355647,"dtsports (2/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Anthony Rendon","8.14%",9
18,744355648,"dtsports (3/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Joey Gallo","7.96%",23
18,744355649,"dtsports (4/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Jon Jay","7.96%",10
18,744355650,"dtsports (5/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Ryon Healy","7.71%",19
18,744355651,"dtsports (6/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Carlos Correa","7.64%",14
18,744355652,"dtsports (7/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Evan Gattis","7.58%",5
18,744355653,"dtsports (8/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Lorenzo Cain","7.33%",11
18,744355654,"dtsports (9/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"José Altuve","6.53%",3
18,744355655,"dtsports (10/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Miguel Montero","5.90%",16
18,744355656,"dtsports (11/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Adam Rosales","5.84%",5
18,744355657,"dtsports (12/45)",0,141,"P John Lackey OF Matt Joyce 2B Jed Lowrie P Max Scherzer OF Josh Reddick C Stephen Vogt 1B Yonder Alonso 3B Eduardo Escobar OF Bryce Harper SS Trea Turner",NA,"Jaff Decker","5.34%",10
