"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,745759259,"ezpoints",0,183.65,"1B Victor Martinez 2B Robinson Canó C Brian McCann P Kenta Maeda SS Jean Segura OF Mike Trout 3B Kyle Seager P Michael Fulmer OF Guillermo Heredia OF Cody Bellinger",NA,"Dallas Keuchel","56.55%",12.6
2,745713164,"fowler130",0,176.25,"C Brian McCann 1B Miguel Cabrera OF Jim Adduci 3B Justin Turner OF Josh Reddick P Kenta Maeda P Dallas Keuchel 2B Rougned Odor SS Carlos Correa OF Cody Bellinger",NA,"Yu Darvish","44.85%",17.75
3,745501562,"Cartelexec",0,175.6,"1B Victor Martinez C Brian McCann OF Josh Reddick 3B Marwin González P Dallas Keuchel OF Joc Pederson P Michael Fulmer 2B Rougned Odor SS Carlos Correa OF Cody Bellinger",NA,"Yasmani Grandal","43.54%",7
4,745717921,"ralphie16",0,174.4,"OF Carlos Beltrán 1B Mike Napoli C Brian McCann SS Elvis Andrus 3B Justin Turner OF Josh Reddick P Kenta Maeda P Yu Darvish 2B Rougned Odor OF Cody Bellinger",NA,"George Springer","41.32%",9
5,745730807,"percy39",0,171.75,"1B Victor Martinez 3B Justin Turner OF Josh Reddick P Yu Darvish C Yasmani Grandal OF George Springer P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"José Altuve","40.55%",10
6,745759269,"scootter44 (5/6)",0,169.75,"1B Victor Martinez OF Nelson Cruz C Brian McCann 3B Justin Turner P Yu Darvish 2B Yangervis Solarte SS Jean Segura OF George Springer P Michael Fulmer OF Cody Bellinger",NA,"Corey Seager","39.83%",7
7,745734481,"blueorange34",0,169.65,"1B Victor Martinez C Brian McCann OF Carlos Gómez 3B Justin Turner P Kenta Maeda 2B José Altuve OF Mike Trout P Michael Fulmer SS Carlos Correa OF Cody Bellinger",NA,"Justin Turner","39.41%",10
8,745755262,"ScorpioKing1990",0,168.65,"1B Albert Pujols 2B Robinson Canó C Brian McCann SS Elvis Andrus OF Justin Upton 3B Justin Turner P Kenta Maeda OF Mike Trout P Michael Fulmer OF Yasiel Puig",NA,"Kenta Maeda","32.07%",21.65
9,745723594,"kdcmjk",0,168.6,"1B Albert Pujols C Brian McCann OF Josh Reddick OF Mike Trout P Dallas Keuchel P Michael Fulmer 2B Rougned Odor SS Carlos Correa 3B Joey Gallo OF Cody Bellinger",NA,"Andrew Triggs","30.90%",10.6
10,745535515,"Riccajb9 (5/8)",0,165.75,"C Brian McCann 3B Justin Turner OF Josh Reddick P Yu Darvish 2B José Altuve OF Andrew Toles P Michael Fulmer SS Corey Seager OF Cody Bellinger 1B Yuli Gurriel",NA,"Khris Davis","30.20%",3
10,745735169,"pullup3",0,165.75,"C Brian McCann OF Josh Reddick P Yu Darvish 1B Wil Myers 3B Ryan Schimpf OF George Springer P Michael Fulmer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Mike Trout","29.64%",7
10,745736800,"franciscolora0524 (17/130)",0,165.75,"1B Albert Pujols SS Elvis Andrus 3B Justin Turner P Yu Darvish C Yasmani Grandal 2B José Altuve OF Andrew Toles P Michael Fulmer OF Yasiel Puig OF Cody Bellinger",NA,"Wil Myers","29.62%",2
13,745722208,"natsfankw (3/3)",0,165.65,"1B Victor Martinez SS Elvis Andrus OF Justin Upton P Kenta Maeda C Jonathan Lucroy 3B Nicholas Castellanos P Michael Fulmer 2B Rougned Odor OF Yasiel Puig OF Cody Bellinger",NA,"Brian McCann","29.60%",23
14,745751739,"DirtRoadMillionaires",0,165.25,"C Brian McCann 3B Justin Turner OF Josh Reddick P Kenta Maeda 1B Yonder Alonso P Dallas Keuchel OF George Springer 2B Rougned Odor SS Corey Seager OF Cody Bellinger",NA,"Michael Fulmer","27.80%",32
15,745736797,"franciscolora0524 (14/130)",0,163.75,"1B Albert Pujols 2B Robinson Canó 3B Justin Turner P Yu Darvish C Yasmani Grandal OF George Springer OF Andrew Toles P Michael Fulmer SS Corey Seager OF Cody Bellinger",NA,"Rougned Odor","27.42%",16
