"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,746362142,"Dukecitylobofan (2/2)",0,128.25,"OF Nelson Cruz C Brian McCann OF Andrew Romine P J.C. Ramírez 1B Yonder Alonso SS Jean Segura 3B Kyle Seager 2B Rougned Odor P Lance McCullers Jr. OF Guillermo Heredia",NA,"Lance McCullers Jr.","82.37%",21.35
2,746345754,"Alpha50",0,123.25,"OF Nelson Cruz C Brian McCann OF Matt Joyce P J.C. Ramírez 1B Yonder Alonso OF Delino DeShields 2B Rougned Odor 3B Ryon Healy SS Carlos Correa P Lance McCullers Jr.",NA,"Nelson Cruz","72.39%",11
3,746260975,"aquafinatim (11/15)",0,120.5,"OF Nelson Cruz C Brian McCann P Jordan Zimmermann 1B Yonder Alonso SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara OF Guillermo Heredia",NA,"Jean Segura","49.04%",13
4,745801092,"numba1chief",0,118.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso SS Jean Segura P Jesse Hahn OF Ben Gamel 3B Joey Gallo P Lance McCullers Jr.",NA,"Khris Davis","48.02%",0
5,746389100,"no2hillary (4/4)",0,118.05,"OF Nelson Cruz C Brian McCann SS Adam Rosales 2B Jed Lowrie OF Khris Davis 1B Yonder Alonso P Martín Pérez 3B Ryon Healy P Lance McCullers Jr. OF Nomar Mazara",NA,"Jesse Hahn","47.96%",4.25
6,746376136,"clivebixby",0,117.25,"OF Nelson Cruz P J.C. Ramírez 1B Yonder Alonso C Alex Avila SS Jean Segura OF Delino DeShields 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Mike Trout","43.59%",0
7,746252951,"aquafinatim (5/15)",0,116.5,"OF Nelson Cruz P Jordan Zimmermann 1B Yonder Alonso C Alex Avila SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara OF Guillermo Heredia",NA,"Robinson Canó","43.25%",5
8,746253311,"aquafinatim (10/15)",0,115.5,"OF Nelson Cruz C Brian McCann 2B Jed Lowrie OF Josh Reddick P Jordan Zimmermann 1B Yonder Alonso SS Jean Segura 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Rougned Odor","41.78%",0
8,746261168,"aquafinatim (13/15)",0,115.5,"OF Nelson Cruz C Brian McCann OF Jim Adduci P Jordan Zimmermann 1B Yonder Alonso SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"Brian McCann","38.55%",8
8,746261288,"aquafinatim (15/15)",0,115.5,"OF Nelson Cruz C Brian McCann OF Matt Joyce P Jordan Zimmermann 1B Yonder Alonso SS Jean Segura 2B Rougned Odor 3B Joey Gallo P Lance McCullers Jr. OF Nomar Mazara",NA,"George Springer","37.81%",5
11,746359095,"tuckekn",0,114.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Khris Davis 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn 3B Ryon Healy P Lance McCullers Jr.",NA,"Miguel Cabrera","31.69%",5
12,746338170,"dcw3florida",0,114.45,"2B Robinson Canó OF Nelson Cruz C Brian McCann 1B Yonder Alonso SS Jean Segura OF Mike Trout 3B Kyle Seager OF George Springer P Lance McCullers Jr. P Chase De Jong",NA,"J.C. Ramírez","29.59%",8.9
13,746234631,"pep8 (1/8)",0,114.25,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Carlos Gómez P J.C. Ramírez 1B Yonder Alonso SS Jean Segura OF Mike Trout 3B Joey Gallo P Lance McCullers Jr.",NA,"Joey Gallo","27.66%",14
14,746029563,"ShannonSTL (2/2)",0,113.6,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Jim Adduci 1B Yonder Alonso SS Jean Segura OF Mike Trout P Jesse Hahn 3B Joey Gallo P Lance McCullers Jr.",NA,"Kyle Seager","25.91%",6
15,746309720,"johnnyswirl",0,113.25,"OF Rajai Davis OF Nelson Cruz C Brian McCann 2B Jed Lowrie OF Khris Davis P J.C. Ramírez 1B Yonder Alonso SS Jean Segura 3B Joey Gallo P Lance McCullers Jr.",NA,"Jordan Zimmermann","25.62%",9.15
16,746405806,"mikesjo20",0,113.05,"2B Robinson Canó OF Nelson Cruz C Brian McCann OF Khris Davis 3B Marwin González 1B Yonder Alonso P Martín Pérez SS Jean Segura OF George Springer P Lance McCullers Jr.",NA,"Carlos Correa","25.11%",7
17,746337924,"Nucky_T (8/15)",0,111.6,"2B Robinson Canó C Robinson Chirinos OF Nelson Cruz OF Marwin González 1B Yonder Alonso SS Jean Segura OF George Springer P Jesse Hahn 3B Joey Gallo P Lance McCullers Jr.",NA,"Stephen Vogt","20.01%",0
17,746358786,"Uncle_Brian (3/3)",0,111.6,"OF Rajai Davis OF Nelson Cruz C Brian McCann 2B Jed Lowrie OF Khris Davis 1B Yonder Alonso SS Jean Segura P Jesse Hahn 3B Ryon Healy P Lance McCullers Jr.",NA,"Robinson Chirinos","19.50%",3
