"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Clayton Kershaw",14200,"LAD@SD 08:40PM ET",25.233,"LAD"
"SP","Max Scherzer",12500,"WAS@PHI 07:05PM ET",27.017,"WAS"
"SP","Noah Syndergaard",11700,"MIA@NYM 07:10PM ET",18.18,"NYM"
"SP","Yu Darvish",11500,"TEX@SEA 09:10PM ET",21.164,"TEX"
"SP","Lance McCullers Jr.",11400,"HOU@LAA 09:07PM ET",19.783,"HOU"
"SP","Jon Lester",11300,"NYY@CHC 07:15PM ET",14.008,"CHC"
"SP","Justin Verlander",11100,"DET@OAK 09:05PM ET",16.058,"DET"
"SP","Jake Arrieta",10700,"NYY@CHC 07:15PM ET",18.858,"CHC"
"SP","Madison Bumgarner",10600,"SF@CIN 07:10PM ET",20.813,"SF"
"SP","Rich Hill",10500,"LAD@SD 08:40PM ET",11.4,"LAD"
"SP","Cole Hamels",10300,"TEX@SEA 09:10PM ET",10.817,"TEX"
"SP","Stephen Strasburg",10200,"WAS@PHI 07:05PM ET",20.85,"WAS"
"SP","Jacob deGrom",9900,"MIA@NYM 07:10PM ET",18.357,"NYM"
"SP","Johnny Cueto",9900,"SF@CIN 07:10PM ET",14.875,"SF"
"SP","Dallas Keuchel",9800,"HOU@LAA 09:07PM ET",24.771,"HOU"
"SP","Kyle Hendricks",9700,"NYY@CHC 07:15PM ET",14.2,"CHC"
"SP","Gerrit Cole",9600,"MIL@PIT 07:05PM ET",16.733,"PIT"
"SP","Felix Hernandez",9600,"TEX@SEA 09:10PM ET",11.52,"SEA"
"SP","Kenta Maeda",9600,"LAD@SD 08:40PM ET",13.858,"LAD"
"SP","Carlos Martinez",9500,"STL@ATL 07:10PM ET",18.6,"STL"
"SP","John Lackey",9400,"NYY@CHC 07:15PM ET",14.792,"CHC"
"SP","Masahiro Tanaka",9400,"NYY@CHC 07:15PM ET",14.992,"NYY"
"SP","Brandon McCarthy",9400,"LAD@SD 08:40PM ET",15.333,"LAD"
"SP","Steven Matz",9300,"MIA@NYM 07:10PM ET",0,"NYM"
"SP","Michael Fulmer",8800,"DET@OAK 09:05PM ET",19.892,"DET"
"SP","Collin McHugh",8800,"HOU@LAA 09:07PM ET",0,"HOU"
"SP","Michael Pineda",8700,"NYY@CHC 07:15PM ET",21.833,"NYY"
"SP","Matt Shoemaker",8600,"HOU@LAA 09:07PM ET",12.4,"LAA"
"SP","Garrett Richards",8600,"HOU@LAA 09:07PM ET",16.1,"LAA"
"SP","Tyson Ross",8600,"TEX@SEA 09:10PM ET",0,"TEX"
"SP","Julio Teheran",8600,"STL@ATL 07:10PM ET",9.538,"ATL"
"SP","Hyun-Jin Ryu",8500,"LAD@SD 08:40PM ET",15.16,"LAD"
"SP","Dylan Bundy",8400,"CWS@BAL 07:05PM ET",19.008,"BAL"
"SP","Dan Straily",8400,"MIA@NYM 07:10PM ET",13.825,"MIA"
"SP","Julio Urias",8400,"LAD@SD 08:40PM ET",11.2,"LAD"
"SP","James Paxton",8300,"TEX@SEA 09:10PM ET",25.425,"SEA"
"SP","Tyler Skaggs",8200,"HOU@LAA 09:07PM ET",15.84,"LAA"
"SP","Tanner Roark",8200,"WAS@PHI 07:05PM ET",15.208,"WAS"
"SP","Mike Leake",8200,"STL@ATL 07:10PM ET",21.44,"STL"
"SP","Vince Velasquez",8100,"WAS@PHI 07:05PM ET",12.65,"PHI"
"SP","Jerad Eickhoff",8100,"WAS@PHI 07:05PM ET",14.667,"PHI"
"SP","Wei-Yin Chen",8000,"MIA@NYM 07:10PM ET",12.59,"MIA"
"SP","Drew Smyly",8000,"TEX@SEA 09:10PM ET",0,"SEA"
"SP","Matt Harvey",7900,"MIA@NYM 07:10PM ET",8.364,"NYM"
"SP","Hisashi Iwakuma",7900,"TEX@SEA 09:10PM ET",7.858,"SEA"
"SP","Anthony DeSclafani",7900,"SF@CIN 07:10PM ET",0,"CIN"
"SP","Jharel Cotton",7800,"DET@OAK 09:05PM ET",13.042,"OAK"
"SP","Jose Quintana",7700,"CWS@BAL 07:05PM ET",17,"CWS"
"SP","Sean Manaea",7700,"DET@OAK 09:05PM ET",12.99,"OAK"
"SP","Joe Musgrove",7700,"HOU@LAA 09:07PM ET",9.608,"HOU"
"SP","Jeff Samardzija",7700,"SF@CIN 07:10PM ET",15.386,"SF"
"SP","Aaron Nola",7700,"WAS@PHI 07:05PM ET",14.133,"PHI"
"SP","Junior Guerra",7600,"MIL@PIT 07:05PM ET",9.55,"MIL"
"SP","Jameson Taillon",7600,"MIL@PIT 07:05PM ET",15.35,"PIT"
"SP","Jesse Hahn",7600,"DET@OAK 09:05PM ET",17.92,"OAK"
"SP","Ricky Nolasco",7600,"HOU@LAA 09:07PM ET",12.417,"LAA"
"SP","Zack Wheeler",7600,"MIA@NYM 07:10PM ET",10.808,"NYM"
"SP","Adam Wainwright",7600,"STL@ATL 07:10PM ET",8.3,"STL"
"SP","Tyler Glasnow",7500,"MIL@PIT 07:05PM ET",6.98,"PIT"
"SP","Gio Gonzalez",7500,"WAS@PHI 07:05PM ET",20.475,"WAS"
"SP","Alex Wood",7500,"LAD@SD 08:40PM ET",13.883,"LAD"
"SP","Carlos Rodon",7400,"CWS@BAL 07:05PM ET",0,"CWS"
"SP","Zach Davies",7400,"MIL@PIT 07:05PM ET",8.525,"MIL"
"SP","Sonny Gray",7400,"DET@OAK 09:05PM ET",9.3,"OAK"
"SP","Daniel Norris",7400,"DET@OAK 09:05PM ET",12.63,"DET"
"SP","Jeremy Hellickson",7400,"WAS@PHI 07:05PM ET",12.05,"PHI"
"SP","Mike Foltynewicz",7400,"STL@ATL 07:10PM ET",10.825,"ATL"
"SP","CC Sabathia",7300,"NYY@CHC 07:15PM ET",10.175,"NYY"
"SP","Kevin Gausman",7300,"CWS@BAL 07:05PM ET",3.507,"BAL"
"SP","Scott Kazmir",7300,"LAD@SD 08:40PM ET",0,"LAD"
"SP","Mike Fiers",7200,"HOU@LAA 09:07PM ET",8.6,"HOU"
"SP","Jimmy Nelson",7100,"MIL@PIT 07:05PM ET",10.708,"MIL"
"SP","Amir Garrett",7100,"SF@CIN 07:10PM ET",15.18,"CIN"
"SP","Jordan Montgomery",7000,"NYY@CHC 07:15PM ET",14.738,"NYY"
"SP","Ivan Nova",7000,"MIL@PIT 07:05PM ET",20.867,"PIT"
"SP","Edinson Volquez",7000,"MIA@NYM 07:10PM ET",11.217,"MIA"
"SP","Jon Gray",7000,"ARI@COL 08:10PM ET",7.65,"COL"
"SP","Jaime Garcia",7000,"STL@ATL 07:10PM ET",10.8,"ATL"
"SP","Brett Anderson",6900,"NYY@CHC 07:15PM ET",6.55,"CHC"
"SP","Matt Moore",6900,"SF@CIN 07:10PM ET",8.867,"SF"
"SP","Joe Ross",6900,"WAS@PHI 07:05PM ET",6.713,"WAS"
"SP","Michael Wacha",6900,"STL@ATL 07:10PM ET",17.88,"STL"
"SP","Josh Hader",6800,"MIL@PIT 07:05PM ET",0,"MIL"
"SP","J.C. Ramirez",6800,"HOU@LAA 09:07PM ET",11.569,"LAA"
"SP","Adam Conley",6800,"MIA@NYM 07:10PM ET",8.342,"MIA"
"SP","Tom Koehler",6700,"MIA@NYM 07:10PM ET",8.983,"MIA"
"SP","Martin Perez",6700,"TEX@SEA 09:10PM ET",8.408,"TEX"
"SP","Brandon Finnegan",6700,"SF@CIN 07:10PM ET",9.875,"CIN"
"SP","Bartolo Colon",6700,"STL@ATL 07:10PM ET",8.242,"ATL"
"SP","Charlie Morton",6600,"HOU@LAA 09:07PM ET",17.85,"HOU"
"SP","Jesse Chavez",6600,"HOU@LAA 09:07PM ET",10.956,"LAA"
"SP","Robert Gsellman",6600,"MIA@NYM 07:10PM ET",5.686,"NYM"
"SP","A.J. Griffin",6600,"TEX@SEA 09:10PM ET",18.788,"TEX"
"SP","Lance Lynn",6600,"STL@ATL 07:10PM ET",19.383,"STL"
"SP","Brad Peacock",6500,"HOU@LAA 09:07PM ET",7.289,"HOU"
"SP","Chris Tillman",6400,"CWS@BAL 07:05PM ET",0,"BAL"
