P,P,C,1B,2B,3B,SS,OF,OF,OF
Amir Garrett,AJ Cole,Chris Iannetta,Paul Goldschmidt,DJ LeMahieu,Nolan Arenado,Nick Ahmed,AJ Pollock,Ian Desmond,Yasmany Tomas
Lance McCullers,Amir Garrett,Chris Iannetta,Paul Goldschmidt,Brandon Drury,Greg Garcia,Andrew Romine,AJ Pollock,Yasmany Tomas,Michael Conforto
Clayton Kershaw,Patrick Corbin,Chris Iannetta,Paul Goldschmidt,Kolten Wong,Greg Garcia,Nick Ahmed,AJ Pollock,Yasmany Tomas,Franklin Gutierrez
Gerrit Cole,Amir Garrett,Ryan Hanigan,Paul Goldschmidt,Brandon Drury,Manny Machado,Nick Ahmed,AJ Pollock,Yasmany Tomas,Matt Joyce
JC Ramirez,Jordan Zimmermann,Chris Iannetta,Paul Goldschmidt,Brandon Drury,Nolan Arenado,Trevor Story,AJ Pollock,Yasmany Tomas,Seth Smith
Gerrit Cole,Amir Garrett,Chris Iannetta,Paul Goldschmidt,Kolten Wong,Jake Lamb,Trevor Story,AJ Pollock,Yasmany Tomas,Tommy Pham
Clayton Kershaw,Amir Garrett,Chris Iannetta,Paul Goldschmidt,Brandon Drury,Joey Gallo,Nick Ahmed,Yasmany Tomas,Jaff Decker,Tommy Pham
Gerrit Cole,Jordan Montgomery,Chris Iannetta,Paul Goldschmidt,Brandon Drury,Nolan Arenado,Nick Ahmed,AJ Pollock,Michael Conforto,Guillermo Heredia
Amir Garrett,Ty Blach,Ryan Hanigan,Paul Goldschmidt,DJ LeMahieu,Nolan Arenado,Trevor Story,Charlie Blackmon,AJ Pollock,Michael Conforto
Dylan Bundy,Amir Garrett,Chris Iannetta,Paul Goldschmidt,Brandon Drury,Eugenio Suarez,Nick Ahmed,Charlie Blackmon,AJ Pollock,Seth Smith
Julio Teheran,Jordan Montgomery,Chris Iannetta,Paul Goldschmidt,Dee Gordon,Manny Machado,Nick Ahmed,AJ Pollock,Yasmany Tomas,Seth Smith
Lance McCullers,Amir Garrett,Chris Iannetta,Paul Goldschmidt,Rougned Odor,Jake Lamb,Nick Ahmed,AJ Pollock,Guillermo Heredia,Matt Joyce
Dylan Bundy,Amir Garrett,Brian McCann,Paul Goldschmidt,Dee Gordon,Jake Lamb,Nick Ahmed,AJ Pollock,Yasmany Tomas,Michael Conforto
Amir Garrett,Jordan Montgomery,Ryan Hanigan,Mark Reynolds,Neil Walker,Nolan Arenado,Trevor Story,AJ Pollock,Ian Desmond,Yasmany Tomas
Clayton Kershaw,AJ Cole,Chris Iannetta,Paul Goldschmidt,Brandon Drury,Ryan Flaherty,Nick Ahmed,AJ Pollock,Gorkys Hernandez,Matt Joyce
Amir Garrett,Jordan Montgomery,Chris Iannetta,Paul Goldschmidt,Brandon Drury,Jake Lamb,Asdrubal Cabrera,AJ Pollock,Ian Desmond,Franklin Gutierrez
Amir Garrett,AJ Cole,Austin Barnes,Paul Goldschmidt,Brandon Drury,Jake Lamb,Trea Turner,AJ Pollock,Yasmany Tomas,Giancarlo Stanton
Gerrit Cole,JC Ramirez,Chris Iannetta,Paul Goldschmidt,Neil Walker,Justin Turner,Nick Ahmed,AJ Pollock,Yasmany Tomas,Giancarlo Stanton
Amir Garrett,Matt Garza,Chris Iannetta,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Trevor Story,Charlie Blackmon,Yasmany Tomas,Seth Smith
Julio Teheran,Amir Garrett,Chris Iannetta,Mark Reynolds,Brandon Drury,Justin Turner,Nick Ahmed,AJ Pollock,Yasmany Tomas,Adam Jones
