P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Sale,Joe Biagini,Salvador Perez,Carlos Santana,Whit Merrifield,Mike Moustakas,Trea Turner,Mookie Betts,Giancarlo Stanton,Randal Grichuk
Chris Sale,Joe Biagini,Salvador Perez,Eric Hosmer,Jose Ramirez,Mike Moustakas,Trea Turner,Giancarlo Stanton,Michael Conforto,Lorenzo Cain
Chris Sale,Joe Biagini,Yan Gomes,Carlos Santana,Jedd Gyorko,Mike Moustakas,Francisco Lindor,Mookie Betts,Giancarlo Stanton,Michael Conforto
Chris Sale,Joe Biagini,Salvador Perez,Carlos Santana,Jose Ramirez,Mike Moustakas,Francisco Lindor,Mookie Betts,Lorenzo Cain,Marcell Ozuna
Chris Sale,Joe Biagini,Salvador Perez,Eric Hosmer,Jonathan Villar,Mike Moustakas,Francisco Lindor,Mookie Betts,Giancarlo Stanton,Jorge Soler
Chris Sale,Joe Biagini,Salvador Perez,Carlos Santana,Whit Merrifield,Manny Machado,Francisco Lindor,Giancarlo Stanton,Michael Conforto,Marcell Ozuna
Chris Sale,Joe Biagini,Yan Gomes,Eric Hosmer,Kolten Wong,Mike Moustakas,Trea Turner,Mookie Betts,Giancarlo Stanton,Marcell Ozuna
Chris Sale,Joe Biagini,Salvador Perez,Freddie Freeman,Jedd Gyorko,Mike Moustakas,Francisco Lindor,Giancarlo Stanton,Lorenzo Cain,Randal Grichuk
Chris Sale,Joe Biagini,Yan Gomes,Edwin Encarnacion,Whit Merrifield,Mike Moustakas,Trea Turner,Mookie Betts,Michael Conforto,Lorenzo Cain
Chris Sale,Joe Biagini,Yadier Molina,Jay Bruce,Whit Merrifield,Mike Moustakas,Francisco Lindor,Mookie Betts,Giancarlo Stanton,Lorenzo Cain
Chris Sale,Joe Biagini,Yan Gomes,Carlos Santana,Jose Ramirez,Manny Machado,Trea Turner,Giancarlo Stanton,Lorenzo Cain,Marcell Ozuna
Chris Sale,Joe Biagini,Russell Martin,Carlos Santana,Jonathan Villar,Mike Moustakas,Trea Turner,Giancarlo Stanton,Michael Conforto,Marcell Ozuna
Chris Sale,Joe Biagini,Salvador Perez,Eric Hosmer,Jedd Gyorko,Manny Machado,Trea Turner,Giancarlo Stanton,Randal Grichuk,Marcell Ozuna
Chris Sale,Joe Biagini,Salvador Perez,Edwin Encarnacion,Kolten Wong,Mike Moustakas,Francisco Lindor,Mookie Betts,Michael Conforto,Randal Grichuk
Chris Sale,Joe Biagini,Yan Gomes,Freddie Freeman,Jose Ramirez,Mike Moustakas,Aledmys Diaz,Mookie Betts,Giancarlo Stanton,Lorenzo Cain
