"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,748418088,"bjonesiv",0,213.2,"P A.J. Griffin OF Shin-soo Choo 3B Joey Gallo OF Nomar Mazara C Robinson Chirinos 2B Robinson Canó P Carlos Carrasco 1B Ryan Zimmerman SS Jean Segura OF Ben Gamel",NA,"Max Scherzer","51.96%",32.4
2,748431063,"calomo",0,211.2,"P A.J. Griffin C Robinson Chirinos OF Ryan Rua 2B Robinson Canó OF Adam Jones P Carlos Carrasco 1B Ryan Zimmerman SS Jean Segura 3B Kyle Seager OF Ben Gamel",NA,"Carlos Carrasco","50.51%",31.95
3,748425563,"foxman1",0,208.2,"P A.J. Griffin 3B Joey Gallo OF Nomar Mazara C Robinson Chirinos 1B Ryan Rua P Carlos Carrasco 2B Daniel Murphy SS Jean Segura OF Bryce Harper OF Ben Gamel",NA,"A.J. Griffin","48.21%",34.25
4,748374511,"eys819",0,207.35,"2B Robinson Canó SS Andrés Blanco P Carlos Carrasco OF Michael Saunders P Max Scherzer 1B Tommy Joseph 3B Kyle Seager OF Aaron Altherr C Cameron Rupp OF Ben Gamel",NA,"Bryce Harper","47.87%",2
4,748403402,"fraggle13 (3/3)",0,207.35,"2B Rougned Odor 3B Joey Gallo OF Nomar Mazara SS J.J. Hardy P Carlos Carrasco 1B Carlos Santana P Max Scherzer OF Aaron Altherr C Yan Gomes OF Ben Gamel",NA,"Nomar Mazara","34.86%",11
6,748413985,"zclaybrook23",0,206.65,"P A.J. Griffin 2B Rougned Odor OF Shin-soo Choo 3B Joey Gallo SS Elvis Andrus C Robinson Chirinos 1B Ryan Zimmerman P Max Scherzer OF Aaron Altherr OF Ben Gamel",NA,"Robinson Chirinos","32.65%",18
7,748404598,"patrickclark83",0,203.65,"P A.J. Griffin 3B Joey Gallo SS Elvis Andrus OF Nomar Mazara C Robinson Chirinos OF Michael Saunders 1B Ryan Zimmerman P Max Scherzer 2B Daniel Murphy OF Ben Gamel",NA,"Joey Gallo","31.72%",25
8,748403761,"jrswick",0,203.2,"P A.J. Griffin OF Carlos Gómez 3B Joey Gallo C Robinson Chirinos P Carlos Carrasco 1B Ryan Zimmerman 2B Daniel Murphy OF Aaron Altherr OF Ben Gamel SS Francisco Lindor",NA,"Jayson Werth","28.66%",2
9,748429009,"Lilsoupy (13/30)",0,200.35,"P Carlos Carrasco OF Michael Saunders P Max Scherzer 1B Danny Valencia SS Jean Segura OF Aaron Altherr C Yan Gomes 2B César Hernández OF Ben Gamel 3B Maikel Franco",NA,"Ryan Zimmerman","28.32%",5
10,748401053,"joeyjepp",0,200.2,"P A.J. Griffin 3B Joey Gallo SS Elvis Andrus C Robinson Chirinos 1B Edwin Encarnación P Carlos Carrasco 2B Daniel Murphy OF Aaron Altherr OF Bryce Harper OF Ben Gamel",NA,"Carlos Gómez","27.38%",6
11,748391178,"rmunoz77",0,199.35,"2B Rougned Odor 3B Joey Gallo OF Ryan Rua P Carlos Carrasco 1B Carlos Santana P Max Scherzer OF Chris Heisey SS Jean Segura C Yan Gomes OF Ben Gamel",NA,"Elvis Andrus","26.53%",7
12,748421510,"jazone",0,198.65,"P A.J. Griffin 3B Joey Gallo C Robinson Chirinos 2B Robinson Canó SS J.J. Hardy 1B Ryan Zimmerman P Max Scherzer OF Lonnie Chisenhall OF Bryce Harper OF Ben Gamel",NA,"Ariel Miranda","25.60%",-11.9
13,748479284,"OBJ1192 (3/4)",0,198.35,"P Carlos Carrasco P Max Scherzer C Matt Wieters SS Jean Segura 1B Tommy Joseph OF Aaron Altherr 2B César Hernández OF Odúbel Herrera OF Ben Gamel 3B Yandy Díaz",NA,"Shin-soo Choo","24.57%",15
14,748391925,"MrMyagi (2/2)",0,198.2,"P A.J. Griffin OF Nomar Mazara 2B Robinson Canó P Carlos Carrasco 1B Ryan Zimmerman 3B Anthony Rendon SS Jean Segura OF Aaron Altherr C Cameron Rupp OF Ben Gamel",NA,"José Ramírez","23.72%",7
14,748425809,"horsss",0,198.2,"P A.J. Griffin OF Shin-soo Choo 1B Adam Lind P Carlos Carrasco OF Lonnie Chisenhall 2B Daniel Murphy C Matt Wieters 3B Anthony Rendon SS Jean Segura OF Ben Gamel",NA,"Rougned Odor","22.28%",10
14,748465030,"misterone1961",0,198.2,"P A.J. Griffin 3B Joey Gallo C Robinson Chirinos P Carlos Carrasco 1B Ryan Zimmerman SS Jean Segura OF Aaron Altherr OF Bryce Harper OF Ben Gamel 2B José Ramírez",NA,"Matt Wieters","21.68%",7
17,748402780,"smiters",0,196.65,"P A.J. Griffin 2B Robinson Canó 1B Ryan Zimmerman C Tuffy Gosewisch P Max Scherzer SS Jean Segura 3B Kyle Seager OF Aaron Altherr OF Odúbel Herrera OF Ben Gamel",NA,"Jean Segura","18.45%",15
17,748430601,"cgodziek",0,196.65,"P A.J. Griffin OF Carlos Gómez 3B Joey Gallo 1B Ryan Rua 2B Robinson Canó OF Michael Saunders P Max Scherzer SS Jean Segura C Yan Gomes OF Bryce Harper",NA,"Aaron Altherr","18.03%",23
