"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Josh Reddick","Corey Dickerson","Andrew Toles"
"Max Scherzer","Chris Young","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Josh Reddick","Mikie Mahtook","Matt Joyce"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Freddie Freeman","Ben Zobrist","Kris Bryant","Addison Russell","Albert Almora","Max Kepler","Mikie Mahtook"
"Matt Andriese","Alex Meyer","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Andrew Benintendi","Billy Hamilton","AJ Pollock"
"Max Scherzer","Alex Meyer","Willson Contreras","Eric Hosmer","Javier Baez","Kris Bryant","Addison Russell","Albert Almora","Ender Inciarte","Lonnie Chisenhall"
"Max Scherzer","Alex Meyer","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Jordy Mercer","Albert Almora","Corey Dickerson","Ezequiel Carrera"
"Carlos Carrasco","Chris Young","James McCann","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Albert Almora","AJ Pollock","Ender Inciarte"
"Matt Andriese","Chris Young","Willson Contreras","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Bryce Harper","Gerardo Parra","Ender Inciarte"
"Matt Andriese","Alex Meyer","Willson Contreras","Anthony Rizzo","Javier Baez","Kris Bryant","Francisco Lindor","George Springer","Albert Almora","Max Kepler"
"Julio Urias","Alex Meyer","Willson Contreras","Anthony Rizzo","Brad Miller","Kris Bryant","Addison Russell","Bryce Harper","Albert Almora","David Peralta"
"Carlos Carrasco","Chris Young","Willson Contreras","Miguel Cabrera","Javier Baez","Kris Bryant","Addison Russell","Andrew Benintendi","Albert Almora","Matt Joyce"
"Max Scherzer","Alex Meyer","Brian McCann","Yuli Gurriel","Ben Zobrist","Kris Bryant","Addison Russell","George Springer","Carlos Beltran","Josh Reddick"
"Max Scherzer","Alex Meyer","Tyler Flowers","Freddie Freeman","Ben Zobrist","Kris Bryant","Addison Russell","Matt Kemp","Ender Inciarte","Nick Markakis"
"Robbie Ray","Alex Meyer","Sandy Leon","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Andrew Benintendi","Albert Almora","Gerardo Parra"
"Max Scherzer","Chris Young","Willson Contreras","Anthony Rizzo","Javier Baez","Kris Bryant","Andrew Romine","Albert Almora","David Peralta","Andrew Toles"
"Max Scherzer","Alex Meyer","Willson Contreras","Logan Morrison","Brad Miller","Kris Bryant","Addison Russell","Kevin Kiermaier","Colby Rasmus","Corey Dickerson"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Yuli Gurriel","Jose Altuve","Kris Bryant","Carlos Correa","George Springer","Josh Reddick","Ender Inciarte"
"Matt Andriese","Zack Wheeler","Willson Contreras","Carlos Santana","Ben Zobrist","Kris Bryant","Addison Russell","Albert Almora","Josh Reddick","Corey Dickerson"
"Carlos Carrasco","Alex Meyer","Sandy Leon","Mitch Moreland","Ben Zobrist","Kris Bryant","Addison Russell","Mookie Betts","Andrew Benintendi","Chris Young"
"Max Scherzer","Alex Meyer","James McCann","Miguel Cabrera","Ben Zobrist","Kris Bryant","Andrew Romine","Bryce Harper","Justin Upton","Mikie Mahtook"
"Julio Urias","Matt Andriese","Yasmani Grandal","Anthony Rizzo","Javier Baez","Kris Bryant","Addison Russell","Albert Almora","Corey Dickerson","Matt Joyce"
"Jeff Samardzija","Alex Meyer","Yasmani Grandal","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Albert Almora","Matt Kemp","Josh Reddick"
"Carlos Carrasco","Alex Meyer","Willson Contreras","Freddie Freeman","Brandon Phillips","Kris Bryant","Dansby Swanson","Bryce Harper","Matt Kemp","Ender Inciarte"
"Max Scherzer","Alex Meyer","Willson Contreras","Carlos Santana","Jason Kipnis","Kris Bryant","Francisco Lindor","George Springer","Lonnie Chisenhall","Abraham Almonte"
"Julio Urias","Zack Wheeler","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Addison Russell","Ender Inciarte","Lonnie Chisenhall","Andrew Toles"
"Robbie Ray","Alex Meyer","Willson Contreras","Anthony Rizzo","Ben Zobrist","Mike Moustakas","Addison Russell","George Springer","Albert Almora","Ender Inciarte"
"Carlos Carrasco","Alex Meyer","Yasmani Grandal","Anthony Rizzo","Ben Zobrist","Kris Bryant","Corey Seager","Yasiel Puig","Joc Pederson","Andrew Toles"
"Carlos Carrasco","Matt Andriese","Willson Contreras","Anthony Rizzo","Ben Zobrist","Yandy Diaz","Addison Russell","Albert Almora","Andrew Toles","Matt Joyce"
"Max Scherzer","Alex Meyer","Willson Contreras","Paul Goldschmidt","Brandon Drury","Kris Bryant","Addison Russell","AJ Pollock","Yasmany Tomas","David Peralta"
"Jeff Samardzija","Alex Meyer","Willson Contreras","Anthony Rizzo","Javier Baez","Nicholas Castellanos","Addison Russell","Albert Almora","Billy Hamilton","Justin Upton"
"Julio Urias","Matt Andriese","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Andrew Romine","Albert Almora","Gerardo Parra","Mikie Mahtook"
"Matt Andriese","Alex Meyer","Brian McCann","Anthony Rizzo","Jose Altuve","Kris Bryant","Carlos Correa","Bryce Harper","Carlos Beltran","Josh Reddick"
"Max Scherzer","Alex Meyer","Devin Mesoraco","Anthony Rizzo","Jose Peraza","Kris Bryant","Zack Cozart","Adam Duvall","Billy Hamilton","Corey Dickerson"
