"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,748916750,"vej727",0,181.3,"P Chris Archer P Stephen Strasburg OF Jayson Werth 1B Matt Carpenter 2B Jedd Gyorko 3B Travis Shaw SS Chris Owings OF Colby Rasmus OF Kevin Pillar C Francisco Cervelli",NA,"A.J. Pollock","78.22%",12
2,749133596,"NickyM4",0,174.7,"P Chris Archer P Yu Darvish 1B Eric Thames 2B Dustin Pedroia OF A.J. Pollock OF Cody Bellinger 3B Travis Shaw OF Corey Dickerson C Jett Bandy SS Nick Ahmed",NA,"Paul Goldschmidt","59.58%",16
3,749399480,"sidewinder44",0,172.7,"P Chris Archer P Yu Darvish 1B Eric Thames OF Keon Broxton 2B Brad Miller 3B Travis Shaw OF Colby Rasmus OF Corey Dickerson SS Alcides Escobar C Derek Norris",NA,"Yu Darvish","59.23%",15.3
4,749516461,"Pscire22",0,168,"P Chris Archer P Lance Lynn OF Mookie Betts SS Xander Bogaerts 2B Dustin Pedroia 3B Travis Shaw OF Colby Rasmus OF Corey Dickerson 1B Logan Morrison C Jett Bandy",NA,"Travis Shaw","55.92%",17
5,749106534,"MilesD11 (1/2)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Paul Goldschmidt OF Christian Yelich OF Cody Bellinger 3B Travis Shaw SS Chris Owings 2B Brandon Drury OF Tommy Pham C Chris Iannetta",NA,"Chris Owings","52.09%",8
5,749445690,"dwilliamsmma (1/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Andrew Romine","45.64%",0
5,749445691,"dwilliamsmma (2/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Stephen Strasburg","45.12%",14.9
5,749445692,"dwilliamsmma (3/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Chris Archer","44.77%",40.4
5,749445693,"dwilliamsmma (4/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Chris Iannetta","43.21%",3
5,749445694,"dwilliamsmma (5/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Yasmany Tomás","38.68%",16
5,749445695,"dwilliamsmma (6/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Danny Salazar","29.09%",-0.2
5,749445696,"dwilliamsmma (7/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Keon Broxton","22.30%",12
5,749445697,"dwilliamsmma (8/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Shin-soo Choo","21.60%",20
5,749445698,"dwilliamsmma (9/15)",0,162.3,"P Chris Archer P Stephen Strasburg 1B Eric Thames OF Shin-soo Choo OF A.J. Pollock 3B Travis Shaw SS Chris Owings OF Corey Dickerson 2B Kolten Wong C Chris Iannetta",NA,"Eric Thames","21.08%",17
