"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"SS","Corey Seager",5400,"LAD@COL 08:40PM ET",8.529,"LAD","COL",9.36,10,9.59,NA,"2","2",7
"3B","Nolan Arenado",5300,"LAD@COL 08:40PM ET",8.943,"COL","LAD",10.73,10.2,10.32,NA,"3","3",25
"1B","Paul Goldschmidt",5200,"PIT@ARI 09:40PM ET",11.2,"ARI","PIT",8.12,9.2,9.99,NA,"3","3",3
"OF","Charlie Blackmon",5200,"LAD@COL 08:40PM ET",9.889,"COL","LAD",8.9,9.5,10.02,NA,"1","1",0
"3B","Justin Turner",5100,"LAD@COL 08:40PM ET",8.424,"LAD","COL",9.77,10.2,9.48,NA,"3","3",3
"1B","Mark Reynolds",5000,"LAD@COL 08:40PM ET",10.114,"COL","LAD",9.14,8.2,8.39,NA,"6","4",15
"OF","Yasiel Puig",5000,"LAD@COL 08:40PM ET",7.676,"LAD","COL",8.65,10.9,9.34,NA,"7","7",2
"2B","DJ LeMahieu",4900,"LAD@COL 08:40PM ET",6.222,"COL","LAD",9.34,8.7,8.68,NA,"2","2",4
"OF","Joc Pederson",4900,"LAD@COL 08:40PM ET",5.708,"LAD","COL",7.26,11.4,1.95,NA,"x","1",5
"1B/OF","Cody Bellinger",4900,"LAD@COL 08:40PM ET",12.067,"LAD","COL",8.37,9.4,7.03,NA,"5","4",10
"1B/OF","Ian Desmond",4800,"LAD@COL 08:40PM ET",7.9,"COL","LAD",9.41,9.3,8.33,NA,"5","5",22
"2B/3B","Logan Forsythe",4800,"LAD@COL 08:40PM ET",5.4,"LAD","COL",NA,0,NA,NA,"x","x",NA
"OF","Carlos Gonzalez",4700,"LAD@COL 08:40PM ET",4.677,"COL","LAD",8.25,8,8.92,NA,"4","6",18
"OF","AJ Pollock",4600,"PIT@ARI 09:40PM ET",9.485,"ARI","PIT",7.53,9,9.54,NA,"1","1",0
"3B","Jake Lamb",4600,"PIT@ARI 09:40PM ET",9.094,"ARI","PIT",7.98,8.3,8.23,NA,"4","4",7
"OF","Andrew McCutchen",4500,"PIT@ARI 09:40PM ET",6.848,"PIT","ARI",6.74,8.7,8.44,NA,"3","3",0
"2B","Chase Utley",4500,"LAD@COL 08:40PM ET",2.815,"LAD","COL",NA,8.9,1.55,NA,"x","6",18
"OF","Franklin Gutierrez",4500,"LAD@COL 08:40PM ET",4.5,"LAD","COL",NA,NA,NA,NA,"4","x",NA
"C","Yasmani Grandal",4500,"LAD@COL 08:40PM ET",6.567,"LAD","COL",8.11,0,1.9,NA,"x","x",NA
"SS","Trevor Story",4500,"LAD@COL 08:40PM ET",6.441,"COL","LAD",NA,NA,NA,NA,"7","x",NA
"OF","Gregory Polanco",4400,"PIT@ARI 09:40PM ET",6.161,"PIT","ARI",6.86,8.7,8.23,NA,"4","4",14
"1B","Adrian Gonzalez",4400,"LAD@COL 08:40PM ET",4.533,"LAD","COL",NA,0,NA,NA,"x","x",NA
"2B","Chris Taylor",4400,"LAD@COL 08:40PM ET",7.526,"LAD","COL",NA,11.4,7.36,NA,"1","5",3
"OF","David Dahl",4200,"LAD@COL 08:40PM ET",0,"COL","LAD",NA,0,NA,NA,"x","x",NA
"OF","Trayce Thompson",4100,"LAD@COL 08:40PM ET",0,"LAD","COL",NA,0,NA,NA,"x","x",NA
"OF","Starling Marte",4000,"PIT@ARI 09:40PM ET",7.769,"PIT","ARI",NA,0,NA,NA,"x","x",NA
"OF","Yasmany Tomas",4000,"PIT@ARI 09:40PM ET",7.9,"ARI","PIT",NA,NA,NA,NA,"5","x",NA
"OF","Andrew Toles",4000,"LAD@COL 08:40PM ET",6.094,"LAD","COL",NA,0,NA,NA,"x","x",NA
"C","Austin Barnes",4000,"LAD@COL 08:40PM ET",5.857,"LAD","COL",6.8,9.6,7.09,NA,"8","8",11
"2B/3B","Josh Harrison",3900,"PIT@ARI 09:40PM ET",7.182,"PIT","ARI",5.57,8.1,8.25,NA,"1","1",2
"OF/SS","Chris Owings",3900,"PIT@ARI 09:40PM ET",8.636,"ARI","PIT",5.65,6.6,6.69,NA,"7","5",7
