"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,752585149,"gfay63 (6/15)",0,161.05,"P Jesse Chávez 2B Neil Walker OF Khris Davis C Buster Posey OF Mike Trout SS Chris Owings 1B Paul Goldschmidt 3B Jake Lamb P Luis Perdomo OF Yasmany Tomás",NA,"Mike Trout","81.12%",16
2,752856865,"kathrym1",0,159.55,"P Jesse Chávez C Buster Posey OF Mike Trout SS Chris Owings 1B Paul Goldschmidt 3B Jake Lamb P Zack Godley 2B Jonathan Villar OF Kole Calhoun OF Yasmany Tomás",NA,"Jake Lamb","49.66%",21
3,752585152,"gfay63 (9/15)",0,155.05,"P Jesse Chávez OF Khris Davis OF Mike Trout SS Chris Owings 1B Paul Goldschmidt 3B Jake Lamb 2B Brandon Drury P Luis Perdomo C Austin Hedges OF Yasmany Tomás",NA,"Jesse Chávez","44.73%",20.15
4,752667325,"teamkoz",0,152.1,"OF Nelson Cruz SS Eduardo Núñez C Buster Posey P Zack Wheeler OF Mike Trout 3B Kyle Seager 1B Paul Goldschmidt P Zack Godley 2B Jonathan Villar OF Ben Gamel",NA,"Yasmani Grandal","44.39%",7
5,753029059,"john2376",0,152.05,"OF Nelson Cruz P Jesse Chávez 2B Neil Walker SS Jean Segura OF Mike Trout 1B Paul Goldschmidt 3B Jake Lamb OF Kole Calhoun P Luis Perdomo C Austin Hedges",NA,"Michael Conforto","43.88%",0
6,752585148,"gfay63 (5/15)",0,149.05,"P Jesse Chávez 2B Neil Walker OF Khris Davis C Yasmani Grandal OF Mike Trout SS Chris Owings 1B Paul Goldschmidt 3B Jake Lamb P Luis Perdomo OF Yasmany Tomás",NA,"Paul Goldschmidt","38.78%",12
7,752606710,"dperkis",0,146.95,"OF Khris Davis 2B Eric Sogard C Buster Posey OF Mike Trout SS Chris Owings 1B Paul Goldschmidt 3B Jake Lamb P Luis Perdomo P Sean Manaea OF Cody Bellinger",NA,"Cody Bellinger","38.44%",0
8,753041629,"seidljac (2/2)",0,146.75,"OF Nelson Cruz P Jesse Chávez OF Jay Bruce C Buster Posey OF Mike Trout P Chase Anderson 1B Paul Goldschmidt 3B Jake Lamb SS Hernán Pérez 2B Chris Taylor",NA,"Corey Seager","38.10%",5
9,752797123,"coachray1105",0,146.05,"OF Nelson Cruz P Jesse Chávez C Yasmani Grandal OF Mike Trout SS Chris Owings 1B Paul Goldschmidt 3B Jake Lamb 2B Jonathan Villar P Luis Perdomo OF Yasmany Tomás",NA,"Jay Bruce","37.93%",2
10,752968689,"Lunacy3 (13/15)",0,145.1,"OF Nelson Cruz P Matt Cain 2B Neil Walker OF Jay Bruce C Buster Posey OF Mike Trout SS Chris Owings 1B Paul Goldschmidt 3B Jake Lamb P Luis Perdomo",NA,"Nelson Cruz","35.71%",18
