"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Mike Trout",5400,"CWS@LAA 10:07PM ET",10.964,"LAA","CWS",11.14,10.8,11.88,NA,"2","2",16
"1B","Paul Goldschmidt",5200,"NYM@ARI 09:40PM ET",10.908,"ARI","NYM",9.53,9,10.65,NA,"3","3",12
"OF","Ryan Braun",5100,"MIL@SD 10:10PM ET",9.357,"MIL","SD",NA,0,NA,NA,"x","x",NA
"2B","Jose Altuve",5000,"HOU@MIA 07:10PM ET",8.886,"HOU","MIA",8.81,8.8,10,NA,"3","3",23
"1B","Freddie Freeman",4900,"ATL@TOR 07:07PM ET",12.222,"ATL","TOR",10.44,10.4,11.07,NA,"3","3",20
"SS","Carlos Correa",4900,"HOU@MIA 07:10PM ET",8.424,"HOU","MIA",7.78,8.5,8.63,NA,"4","4",6
"3B","Josh Donaldson",4800,"ATL@TOR 07:07PM ET",8.333,"TOR","ATL",NA,0,NA,NA,"x","x",NA
"1B","Jose Abreu",4800,"CWS@LAA 10:07PM ET",7.323,"CWS","LAA",7.77,6.8,8.38,NA,"3","3",16
"1B","Eric Thames",4800,"MIL@SD 10:10PM ET",11.343,"MIL","SD",NA,NA,NA,NA,"2","x",NA
"1B/OF","Jay Bruce",4700,"NYM@ARI 09:40PM ET",9.647,"NYM","ARI",9.76,9.9,9.18,NA,"3","3",2
"OF","AJ Pollock",4700,"NYM@ARI 09:40PM ET",9.167,"ARI","NYM",NA,0,10.21,NA,"x","x",NA
"3B","Jake Lamb",4700,"NYM@ARI 09:40PM ET",9.05,"ARI","NYM",9.4,8.6,8.58,NA,"4","4",21
"OF","Michael Conforto",4600,"NYM@ARI 09:40PM ET",8.76,"NYM","ARI",9.7,10.6,9.37,NA,"1","1",0
"OF","George Springer",4600,"HOU@MIA 07:10PM ET",8.344,"HOU","MIA",7.88,8.2,9.04,NA,"1","1",2
"1B","Wil Myers",4600,"MIL@SD 10:10PM ET",9.412,"SD","MIL",8.37,8.2,8.29,NA,"3","3",7
"SS","Corey Seager",4600,"LAD@SF 10:15PM ET",8.351,"LAD","SF",9.63,8.8,9.07,NA,"2","2",5
"OF","Nelson Cruz",4500,"OAK@SEA 10:10PM ET",9,"SEA","OAK",10.49,8.3,8.82,NA,"4","3",18
"OF","Giancarlo Stanton",4500,"HOU@MIA 07:10PM ET",9.086,"MIA","HOU",7.71,8.4,8.87,NA,"5","5",3
"2B","Jonathan Villar",4500,"MIL@SD 10:10PM ET",7.324,"MIL","SD",8.29,7.8,9.78,NA,"1","1",2
"OF","Jose Bautista",4400,"ATL@TOR 07:07PM ET",6.658,"TOR","ATL",8.8,8.4,8.66,NA,"3","3",15
"2B","Robinson Cano",4400,"OAK@SEA 10:10PM ET",9.143,"SEA","OAK",NA,NA,NA,NA,"3","x",NA
"SS","Jean Segura",4400,"OAK@SEA 10:10PM ET",10.573,"SEA","OAK",7.82,7.3,8.45,NA,"1","1",9
"OF","Curtis Granderson",4400,"NYM@ARI 09:40PM ET",4.686,"NYM","ARI",6.99,8.6,7.82,NA,"5","7",7
"1B/OF","Cody Bellinger",4400,"LAD@SF 10:15PM ET",11.694,"LAD","SF",7.2,8.1,8.15,NA,"4","4",0
"3B/SS","Jose Reyes",4200,"NYM@ARI 09:40PM ET",5.943,"NYM","ARI",6.21,7.6,7.3,NA,"7","6",4
"2B","Neil Walker",4200,"NYM@ARI 09:40PM ET",7.216,"NYM","ARI",7.98,9.1,8.59,NA,"4","4",5
"OF","Christian Yelich",4200,"HOU@MIA 07:10PM ET",8.353,"MIA","HOU",8.11,8.4,8.93,NA,"3","2",5
"OF","Khris Davis",4100,"OAK@SEA 10:10PM ET",7.857,"OAK","SEA",8.06,7.8,8.41,NA,"4","3",18
"1B","Yonder Alonso",4100,"OAK@SEA 10:10PM ET",9.037,"OAK","SEA",8.46,7.2,7.23,NA,"5","4",4
"SS","Asdrubal Cabrera",4100,"NYM@ARI 09:40PM ET",6.98,"NYM","ARI",NA,NA,NA,NA,"2","x",NA
"2B","Dee Gordon",4100,"HOU@MIA 07:10PM ET",7.382,"MIA","HOU",6.8,6.7,7.1,NA,"9","1",6
"3B","Justin Turner",4100,"LAD@SF 10:15PM ET",8.014,"LAD","SF",NA,NA,NA,NA,"3","x",NA
"1B/C","Buster Posey",4100,"LAD@SF 10:15PM ET",8.276,"SF","LAD",7.31,7.2,8.07,NA,"4","4",19
"OF","Yasiel Puig",4100,"LAD@SF 10:15PM ET",7.556,"LAD","SF",6.5,7.4,7.11,NA,"8","5",2
"1B","Albert Pujols",4000,"CWS@LAA 10:07PM ET",7.007,"LAA","CWS",7.16,8.3,8.56,NA,"3","3",0
"1B","Lucas Duda",4000,"NYM@ARI 09:40PM ET",7.355,"NYM","ARI",6.72,8.9,2.03,NA,"6","5",2
"OF","Yoenis Cespedes",4000,"NYM@ARI 09:40PM ET",9.278,"NYM","ARI",NA,0,NA,NA,"x","x",NA
"3B/SS","Eduardo Nunez",4000,"LAD@SF 10:15PM ET",5.714,"SF","LAD",6.16,6.6,6.53,NA,"7","6",21
"2B/3B","Logan Forsythe",4000,"LAD@SF 10:15PM ET",5.4,"LAD","SF",NA,0,NA,NA,"x","x",NA
"OF","Joc Pederson",4000,"LAD@SF 10:15PM ET",5.704,"LAD","SF",7.17,8,8.41,NA,"1","1",7
"OF","Matt Kemp",3900,"ATL@TOR 07:07PM ET",10,"ATL","TOR",8.22,8,9.25,NA,"4","4",24
"OF","Steve Pearce",3900,"ATL@TOR 07:07PM ET",4.769,"TOR","ATL",7.17,0,7.79,NA,"x","x",NA
