"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,754445386,"MLemaire (37/50)",0,167.6,"C Martín Maldonado P Matt Garza OF Cameron Maybin 2B Danny Espinosa OF Leury García 1B José Abreu OF Mike Trout P Christian Bergman 3B Travis Shaw SS Tim Anderson",NA,"Mike Trout","79.37%",20
2,754133835,"Spowers5633 (46/50)",0,165.45,"OF Melky Cabrera C Martín Maldonado OF Cameron Maybin 3B Todd Frazier P Jhoulys Chacin 1B José Abreu OF Mike Trout 2B Yolmer Sánchez SS Andrelton Simmons P Christian Bergman",NA,"Matt Shoemaker","73.85%",24.25
3,754065801,"ThunderNuggets (1/6)",0,158.45,"OF Melky Cabrera 3B Todd Frazier C Stephen Vogt P Jhoulys Chacin SS Jean Segura 1B José Abreu OF Avisaíl García OF Mike Trout 2B Yolmer Sánchez P Christian Bergman",NA,"Nelson Cruz","65.09%",4
4,753874557,"mark85h (3/3)",0,157.85,"C Martín Maldonado P Matt Garza OF Cameron Maybin 3B Todd Frazier P Jhoulys Chacin 1B José Abreu OF Avisaíl García OF Mike Trout 2B Yolmer Sánchez SS Tim Anderson",NA,"Jean Segura","62.09%",9
5,754112323,"terlina (24/50)",0,157.35,"1B Albert Pujols OF Nelson Cruz C Martín Maldonado 2B Danny Espinosa SS Jean Segura P Matt Shoemaker OF Mike Trout 3B Kyle Seager OF Ben Gamel P Christian Bergman",NA,"Matt Garza","51.26%",14.5
5,754367276,"Calvin19691969 (1/5)",0,157.35,"1B Albert Pujols OF Nelson Cruz C Martín Maldonado 2B Danny Espinosa SS Jean Segura P Matt Shoemaker OF Mike Trout 3B Kyle Seager OF Ben Gamel P Christian Bergman",NA,"Khris Davis","46.81%",0
7,754445388,"MLemaire (39/50)",0,155.6,"C Martín Maldonado P Matt Garza 2B Danny Espinosa OF Leury García 1B José Abreu OF Avisaíl García SS Andrelton Simmons OF Ben Gamel P Christian Bergman 3B Travis Shaw",NA,"Kyle Seager","45.71%",5
8,754445358,"MLemaire (9/50)",0,154.6,"1B Albert Pujols C Martín Maldonado P Matt Garza OF Cameron Maybin 2B Danny Espinosa OF Domingo Santana OF Ben Gamel P Christian Bergman 3B Travis Shaw SS Tim Anderson",NA,"Jed Lowrie","37.46%",0
9,754418792,"mbolt1 (6/48)",0,153.6,"1B Albert Pujols C Martín Maldonado OF Cameron Maybin P Jhoulys Chacin 2B Danny Espinosa SS Jean Segura P Matt Shoemaker OF Mike Trout 3B Kyle Seager OF Boog Powell",NA,"Jhoulys Chacin","37.23%",27.35
10,754133850,"Spowers5633 (47/50)",0,152.6,"OF Melky Cabrera C Martín Maldonado P Matt Garza OF Cameron Maybin 3B Todd Frazier 1B José Abreu OF Mike Trout 2B Yolmer Sánchez SS Andrelton Simmons P Christian Bergman",NA,"Stephen Vogt","33.89%",2
