"Paul Goldschmidt_ARI","Jake Lamb_ARI","Jean Segura_SEA","AJ Pollock_ARI","Nelson Cruz_SEA","Robinson Cano_SEA","Cody Bellinger_LAD","Wil Myers_SD","Jose Abreu_CWS","Corey Seager_LAD","Chris Owings_ARI","Yasmany Tomas_ARI","Giancarlo Stanton_MIA","Avisail Garcia_CWS","Tim Anderson_CWS","Yasiel Puig_LAD","Justin Bour_MIA","David Peralta_ARI","Justin Turner_LAD","Christian Yelich_MIA","Melky Cabrera_CWS","Todd Frazier_CWS","Kyle Seager_SEA","Mitch Haniger_SEA","Ben Gamel_SEA","Dee Gordon_MIA","Brandon Drury_ARI","Logan Forsythe_LAD","Marcell Ozuna_MIA","Chris Taylor_LAD","Yoan Moncada_CWS","Yasmani Grandal_LAD","Joc Pederson_LAD","Jarrod Dyson_SEA","Rey Fuentes_ARI","Ryan Schimpf_SD","Hunter Renfroe_SD","Nick Ahmed_ARI","Manuel Margot_SD","Leonys Martin_SEA","Taylor Motter_SEA","Adrian Gonzalez_LAD","Chase Utley_LAD","Franklin Gutierrez_LAD","JT Realmuto_MIA","Chris Herrmann_ARI","Jeremy Hazelbaker_ARI","Leury Garcia_CWS","Martin Prado_MIA","Alex Dickerson_SD","Matt Davidson_CWS","Yangervis Solarte_SD","Socrates Brito_ARI","Danny Valencia_SEA","Mike Zunino_SEA","Guillermo Heredia_SEA","Trayce Thompson_LAD","Austin Barnes_LAD","Gregor Blanco_ARI","Cory Spangenberg_SD","Tyler Saladino_CWS","Charlie Tilson_CWS","Derek Dietrich_MIA","Andrew Toles_LAD","Travis Jankowski_SD","Austin Hedges_SD","Yolmer Sanchez_CWS","Rob Segedin_LAD","Matt Szczur_SD","Shawn O'Malley_SEA","Andre Ethier_LAD","Kike Hernandez_LAD","Chris Iannetta_ARI","Carlos Ruiz_SEA","Jacob May_CWS","Boog Powell_SEA","Scott Van Slyke_LAD","Destin Hood_MIA","Daniel Descalso_ARI","Christian Bethancourt_SD","Tuffy Gosewisch_SEA","Cody Asche_CWS","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Erick Aybar_SD","Allen Cordoba_SD","Geovany Soto_CWS","Willy Garcia_CWS","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","Jabari Blash_SD","Luis Sardinas_SD","Mike Freeman_SEA","Omar Narvaez_CWS","Daniel Vogelbach_SEA","AJ Ellis_MIA","Jeff Mathis_ARI","Hector Sanchez_SD","Kevan Smith_CWS","Mike Aviles_MIA","JT Riddle_MIA","Zack Collins_CWS","Brett Eibner_LAD","Miguel Rojas_MIA","Luis Torrens_SD"
73.840243902439,3.09084084084084,0,31.089247311828,0,0,0,0,0,0,2.34033613445378,-2.14623655913978,0,0,0,0,0,13.6908866995074,0,0,0,0,0,0,0,0,10.3832442067736,0,0,0,0,0,0,0,0,0,0,15.45,0,0,0,0,0,0,0,-0.645454545454546,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,-17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.1410256410256,0,0,0,0,0,11.989010989011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42894736842105,0,0,0,0,0,0,0,0
3.09084084084084,67.8435277382646,0,-3.17241379310345,0,0,0,0,0,0,-15.3145161290323,0.838624338624339,0,0,0,0,0,32.1231527093596,0,0,0,0,0,0,0,0,16.1494623655914,0,0,0,0,0,0,0,0,0,0,-29.1372549019608,0,0,0,0,0,0,0,46.6590909090909,6,0,0,0,0,0,0,0,0,0,0,0,73.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65454545454545,0,0,0,0,0,-25.8888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06432748538012,0,0,0,0,0,0,0,0
0,0,58.6724137931034,0,13.2830769230769,-0.123684210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.39316239316239,9.92857142857143,17.3642857142857,0,0,0,0,0,0,0,0,20.7307692307692,0,0,0,0,0,8.43333333333333,11.6428571428571,0,0,0,0,0,0,0,0,0,0,0,0,-4.19565217391304,17.8106060606061,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80909090909091,0,0,0,0,0,0,3.03333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.089247311828,-3.17241379310345,0,59.2540322580645,0,0,0,0,0,0,-5.20229885057471,-12.52,0,0,0,0,0,10.7687747035573,0,0,0,0,0,0,0,0,15.9692307692308,0,0,0,0,0,0,0,0,0,0,18.5769230769231,0,0,0,0,0,0,0,19.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.88181818181818,0,0,0,0,0,18.0416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.32083333333333,0,0,0,0,0,0,0,0
0,0,13.2830769230769,0,63.1728307254623,5.02463054187192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6702317290553,4.31052631578947,0.941176470588235,0,0,0,0,0,0,0,0,2.38146167557932,0,0,0,0,0,17.3653846153846,21.0569230769231,0,0,0,0,0,0,0,0,0,0,0,0,6.50430107526882,4.58771929824561,16.5108695652174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-0.123684210526316,0,5.02463054187192,73.3185483870968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.88888888888889,6.69473684210526,26.6060606060606,0,0,0,0,0,0,0,0,14.6330049261084,0,0,0,0,0,3.03205128205128,1.41503267973856,0,0,0,0,0,0,0,0,0,0,0,0,10.6376811594203,-4.5,-5.06842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,61.3333333333333,0,0,2.94736842105263,0,0,0,0,0,20.4678362573099,0,0,-6.31372549019608,0,0,0,0,0,0,0,0,0,0,-23.5714285714286,0,-8.5,-16.3777777777778,0,0,0,0,0,0,0,0,16.25,-0.0128205128205128,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.45,0,0,0,0,0,13.7361111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
0,0,0,0,0,0,0,63.050641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0625,0.688259109311741,0,11.1650071123755,0,0,0,0,0,0,0,0,0,0,0,0,5.82321187584346,0,0,0,0,0,0,0,-12.6625,0,0,0,0,-8.87179487179487,10.4242424242424,0,0,15.4666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34789915966387,14.4181818181818,0,0,0,0,0,-12.6428571428571,1.45,0,0,0,0,0,0,0,0,0,0,0,0,11.25
0,0,0,0,0,0,0,0,64.7865546218487,0,0,0,0,-2.85204991087344,-1.02777777777778,0,0,0,0,0,19.4290322580645,2.58547008547009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.7130541871921,0,0,7.93506493506494,0,0,0,0,0,0,0,0,0,7.8768115942029,0,0,0,0,0,-1.16666666666667,0,0,0,0,0,0,0,1.98214285714286,0,0,0,0,0,0,16.8076923076923,0,0,0,0,0,-12.8055555555556,-2.57142857142857,0,0,0,0,0,0,9.99707602339181,0,0,0,0,-1.66666666666667,0,0,0,0,0,0
0,0,0,0,0,0,2.94736842105263,0,0,49.3063063063063,0,0,0,0,0,9.66470588235294,0,0,18.4133064516129,0,0,0,0,0,0,0,0,37.7909090909091,0,-5.40952380952381,0,25.4987684729064,20.0447368421053,0,0,0,0,0,0,0,0,10.8744588744589,1.78947368421053,5.56666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14285714285714,0,0,0,0,0,1.18014705882353,0,0,0,0,0,0,0,0,0,0,0,0,-11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
