"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"Jesse Chavez","Tommy Milone","Kurt Suzuki","Ryan Zimmerman","Daniel Murphy","Kris Bryant","Francisco Lindor","Bryce Harper","Jayson Werth","Michael Taylor"
"Jesse Chavez","Aaron Nola","Kurt Suzuki","Chris Davis","Jonathan Schoop","Manny Machado","Francisco Lindor","Mark Trumbo","Adam Jones","Michael Taylor"
"Aaron Nola","Adam Wainwright","Gary Sanchez","Ryan Zimmerman","Daniel Murphy","Mike Moustakas","Orlando Arcia","Bryce Harper","Jayson Werth","Michael Taylor"
"Chris Archer","Jesse Chavez","Kurt Suzuki","Brandon Belt","Joe Panik","Christian Arroyo","Brandon Crawford","Bryce Harper","Michael Taylor","Denard Span"
"Marco Estrada","CC Sabathia","Jason Castro","Ryan Zimmerman","Daniel Murphy","Christian Arroyo","Didi Gregorius","Bryce Harper","Jayson Werth","Michael Taylor"
"Chris Archer","Phil Hughes","Jett Bandy","Ryan Zimmerman","Daniel Murphy","Rio Ruiz","Addison Russell","Bryce Harper","Jayson Werth","Michael Taylor"
"Jesse Chavez","Aaron Nola","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Orlando Arcia","Bryce Harper","Michael Taylor","Jason Heyward"
"Jesse Chavez","Aaron Nola","Yadier Molina","Matt Carpenter","Daniel Murphy","Jhonny Peralta","Aledmys Diaz","Bryce Harper","Michael Taylor","Tommy Pham"
"Chris Archer","Aaron Nola","Kevin Plawecki","Matt Carpenter","Cesar Hernandez","Kris Bryant","Freddy Galvis","Aaron Altherr","Michael Saunders","Odubel Herrera"
"Chris Archer","Tommy Milone","Kurt Suzuki","Anthony Rizzo","Ian Happ","Kris Bryant","Francisco Lindor","Kyle Schwarber","Michael Taylor","Jason Heyward"
"Jake Arrieta","Jake Junis","Devin Mesoraco","Ryan Zimmerman","Daniel Murphy","Nolan Arenado","Andrelton Simmons","Bryce Harper","Jayson Werth","Michael Taylor"
"Chris Archer","Jesse Chavez","Jason Castro","Brock Stassi","Devon Travis","Maikel Franco","Francisco Lindor","Aaron Altherr","Michael Saunders","Odubel Herrera"
"Jesse Chavez","Adam Wainwright","Gary Sanchez","Chris Carter","Daniel Murphy","Chase Headley","Didi Gregorius","Bryce Harper","Brett Gardner","Michael Taylor"
"CC Sabathia","Adam Wainwright","Kurt Suzuki","Ryan Zimmerman","Daniel Murphy","Nolan Arenado","Wilmer Difo","Bryce Harper","Jayson Werth","Adam Duvall"
"Adam Wainwright","Tommy Milone","Gary Sanchez","Chris Davis","Jonathan Schoop","Manny Machado","Didi Gregorius","Bryce Harper","Mark Trumbo","Adam Jones"
"Stephen Strasburg","Tommy Milone","Gary Sanchez","Chris Davis","Devon Travis","Maikel Franco","Freddy Galvis","Aaron Altherr","Michael Saunders","Odubel Herrera"
"Stephen Strasburg","Bronson Arroyo","Willson Contreras","Ryan Zimmerman","Daniel Murphy","Greg Garcia","Aledmys Diaz","Bryce Harper","Jayson Werth","Michael Taylor"
"Jesse Chavez","Aaron Nola","Kurt Suzuki","Chris Davis","Starlin Castro","Chase Headley","Didi Gregorius","Aaron Judge","Jacoby Ellsbury","Michael Taylor"
"Jesse Chavez","Tommy Milone","Kurt Suzuki","Mark Reynolds","DJ LeMahieu","Nolan Arenado","Francisco Lindor","Charlie Blackmon","Carlos Gonzalez","Michael Taylor"
"Chris Archer","Jesse Chavez","Kurt Suzuki","Kennys Vargas","Daniel Murphy","Miguel Sano","Jorge Polanco","Max Kepler","Michael Taylor","Eddie Rosario"
"Chris Archer","Tommy Milone","Jason Castro","Joe Mauer","Brian Dozier","Miguel Sano","Francisco Lindor","Bryce Harper","Michael Taylor","Byron Buxton"
"Jesse Chavez","Phil Hughes","Gary Sanchez","Ryan Zimmerman","Daniel Murphy","Christian Arroyo","Wilmer Difo","Bryce Harper","Aaron Judge","Jayson Werth"
"Chris Archer","Jesse Chavez","Kurt Suzuki","Chris Davis","Whit Merrifield","Mike Moustakas","Alcides Escobar","Lorenzo Cain","Michael Taylor","Alex Gordon"
"Jake Arrieta","Marco Estrada","Kevin Plawecki","Jay Bruce","DJ LeMahieu","Maikel Franco","Freddy Galvis","Aaron Altherr","Michael Saunders","Odubel Herrera"
"Jesse Chavez","Aaron Nola","Salvador Perez","Eric Hosmer","Daniel Murphy","Mike Moustakas","Alcides Escobar","Bryce Harper","Lorenzo Cain","Michael Taylor"
"Joe Musgrove","Kyle Freeland","Kevin Plawecki","Ryan Zimmerman","Daniel Murphy","Manny Machado","Freddy Galvis","Bryce Harper","Jayson Werth","Michael Taylor"
