"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Madison Bumgarner",12400,"SF@CHC 08:05PM ET",20.813,"SF"
"SP","Johnny Cueto",11500,"SF@CHC 08:05PM ET",16.456,"SF"
"SP","Dallas Keuchel",11000,"DET@HOU 08:10PM ET",24.683,"HOU"
"SP","Lance McCullers Jr.",10800,"DET@HOU 08:10PM ET",20.939,"HOU"
"SP","Jon Lester",10700,"SF@CHC 08:05PM ET",16.539,"CHC"
"SP","Justin Verlander",10500,"DET@HOU 08:10PM ET",16.544,"DET"
"SP","Michael Fulmer",9900,"DET@HOU 08:10PM ET",20.406,"DET"
"SP","Gerrit Cole",9700,"PIT@ATL 07:35PM ET",18.383,"PIT"
"SP","Jeff Samardzija",9500,"SF@CHC 08:05PM ET",17.745,"SF"
"SP","Jake Arrieta",9400,"SF@CHC 08:05PM ET",13.236,"CHC"
"SP","Kyle Hendricks",9100,"SF@CHC 08:05PM ET",13.617,"CHC"
"SP","John Lackey",9000,"SF@CHC 08:05PM ET",15.056,"CHC"
"SP","Charlie Morton",8700,"DET@HOU 08:10PM ET",17.467,"HOU"
"SP","Ivan Nova",8700,"PIT@ATL 07:35PM ET",17.561,"PIT"
"SP","Julio Teheran",8600,"PIT@ATL 07:35PM ET",7.35,"ATL"
"SP","Matt Moore",8200,"SF@CHC 08:05PM ET",11.6,"SF"
"SP","Joe Musgrove",8200,"DET@HOU 08:10PM ET",9.828,"HOU"
"SP","Collin McHugh",8000,"DET@HOU 08:10PM ET",0,"HOU"
"SP","Mike Foltynewicz",7500,"PIT@ATL 07:35PM ET",11.619,"ATL"
"SP","Jameson Taillon",7200,"PIT@ATL 07:35PM ET",15.35,"PIT"
"SP","Matt Cain",7000,"SF@CHC 08:05PM ET",9.872,"SF"
"SP","Mike Fiers",7000,"DET@HOU 08:10PM ET",9.611,"HOU"
"SP","Daniel Norris",7000,"DET@HOU 08:10PM ET",11.394,"DET"
"SP","Matthew Boyd",6900,"DET@HOU 08:10PM ET",8.483,"DET"
"SP","Matt Wisler",6900,"PIT@ATL 07:35PM ET",-1.988,"ATL"
"SP","Jordan Zimmermann",6700,"DET@HOU 08:10PM ET",8.263,"DET"
"SP","Jaime Garcia",6600,"PIT@ATL 07:35PM ET",12.063,"ATL"
"SP","Tyler Glasnow",6600,"PIT@ATL 07:35PM ET",7.731,"PIT"
"SP","Anibal Sanchez",6500,"DET@HOU 08:10PM ET",2.132,"DET"
"SP","Brett Anderson",6400,"SF@CHC 08:05PM ET",3.65,"CHC"
"SP","Ty Blach",6000,"SF@CHC 08:05PM ET",3.9,"SF"
"SP","Aaron Blair",6000,"PIT@ATL 07:35PM ET",0,"ATL"
"SP","Bartolo Colon",5900,"PIT@ATL 07:35PM ET",7.867,"ATL"
"SP","R.A. Dickey",5900,"PIT@ATL 07:35PM ET",10.525,"ATL"
"SP","Brad Peacock",5700,"DET@HOU 08:10PM ET",6.163,"HOU"
"SP","Eddie Butler",5600,"SF@CHC 08:05PM ET",14.225,"CHC"
"SP","Nick Kingham",5600,"PIT@ATL 07:35PM ET",0,"PIT"
"SP","Dan Winkler",5500,"PIT@ATL 07:35PM ET",0,"ATL"
"SP","Chad Kuhl",5500,"PIT@ATL 07:35PM ET",6.84,"PIT"
"SP","Wade LeBlanc",5400,"PIT@ATL 07:35PM ET",5.453,"PIT"
"RP","Mike Montgomery",5300,"SF@CHC 08:05PM ET",4.203,"CHC"
"OF","J.D. Martinez",5200,"DET@HOU 08:10PM ET",15.444,"DET"
"3B","Kris Bryant",5100,"SF@CHC 08:05PM ET",10.293,"CHC"
"RP","Chris Stratton",5100,"SF@CHC 08:05PM ET",-0.05,"SF"
"SP","Albert Suarez",5000,"SF@CHC 08:05PM ET",0,"SF"
"RP","Trevor Williams",5000,"PIT@ATL 07:35PM ET",4.467,"PIT"
"RP","Joe Jimenez",4900,"DET@HOU 08:10PM ET",0.71,"DET"
"1B","Anthony Rizzo",4800,"SF@CHC 08:05PM ET",8.476,"CHC"
"2B","Jose Altuve",4800,"DET@HOU 08:10PM ET",9.442,"HOU"
"1B","Miguel Cabrera",4700,"DET@HOU 08:10PM ET",7.323,"DET"
"SP","Max Fried",4700,"PIT@ATL 07:35PM ET",0,"ATL"
"SS","Carlos Correa",4600,"DET@HOU 08:10PM ET",8.475,"HOU"
"1B","Freddie Freeman",4600,"PIT@ATL 07:35PM ET",12.514,"ATL"
"RP","Francisco Rodriguez",4500,"DET@HOU 08:10PM ET",1.742,"DET"
"RP","Chad Bell",4500,"DET@HOU 08:10PM ET",6.263,"DET"
"RP","Justin Wilson",4500,"DET@HOU 08:10PM ET",4.837,"DET"
"RP","Blaine Hardy",4500,"DET@HOU 08:10PM ET",2.347,"DET"
"RP","Alex Wilson",4500,"DET@HOU 08:10PM ET",2.655,"DET"
"SP","Shane Greene",4500,"DET@HOU 08:10PM ET",3.47,"DET"
"RP","Bruce Rondon",4500,"DET@HOU 08:10PM ET",-3.733,"DET"
"RP","William Cuevas",4500,"DET@HOU 08:10PM ET",-7.65,"DET"
"RP","Kyle Ryan",4500,"DET@HOU 08:10PM ET",-0.606,"DET"
"RP","Warwick Saupold",4500,"DET@HOU 08:10PM ET",5.075,"DET"
"RP","Jim Johnson",4500,"PIT@ATL 07:35PM ET",3.606,"ATL"
"RP","Jason Motte",4500,"PIT@ATL 07:35PM ET",2.132,"ATL"
"RP","Eric O'Flaherty",4500,"PIT@ATL 07:35PM ET",0.964,"ATL"
"RP","Chaz Roe",4500,"PIT@ATL 07:35PM ET",-0.367,"ATL"
"SP","Josh Collmenter",4500,"PIT@ATL 07:35PM ET",3.32,"ATL"
"RP","Sam Freeman",4500,"PIT@ATL 07:35PM ET",5.6,"ATL"
"RP","Arodys Vizcaino",4500,"PIT@ATL 07:35PM ET",3.558,"ATL"
"RP","Ian Krol",4500,"PIT@ATL 07:35PM ET",1.568,"ATL"
"RP","Jose Ramirez",4500,"PIT@ATL 07:35PM ET",3.782,"ATL"
"RP","Luke Jackson",4500,"PIT@ATL 07:35PM ET",1.65,"ATL"
"RP","Jason Hursh",4500,"PIT@ATL 07:35PM ET",0,"ATL"
"RP","Mauricio Cabrera",4500,"PIT@ATL 07:35PM ET",0,"ATL"
"RP","Rob Zastryzny",4400,"SF@CHC 08:05PM ET",0.8,"CHC"
"OF","Matt Kemp",4400,"PIT@ATL 07:35PM ET",10.581,"ATL"
"OF","Kyle Schwarber",4300,"SF@CHC 08:05PM ET",6.75,"CHC"
"2B","Ian Kinsler",4300,"DET@HOU 08:10PM ET",7.528,"DET"
"OF","Gregory Polanco",4300,"PIT@ATL 07:35PM ET",6.486,"PIT"
"RP","Bryan Morris",4200,"SF@CHC 08:05PM ET",3.744,"SF"
"RP","George Kontos",4200,"SF@CHC 08:05PM ET",2.088,"SF"
"RP","Mark Melancon",4200,"SF@CHC 08:05PM ET",2.331,"SF"
"RP","Cory Gearrin",4200,"SF@CHC 08:05PM ET",2.479,"SF"
"RP","Hunter Strickland",4200,"SF@CHC 08:05PM ET",3.071,"SF"
"1B/C","Buster Posey",4200,"SF@CHC 08:05PM ET",8.371,"SF"
"RP","Derek Law",4200,"SF@CHC 08:05PM ET",3.236,"SF"
"RP","Josh Osich",4200,"SF@CHC 08:05PM ET",2.289,"SF"
"RP","Steven Okert",4200,"SF@CHC 08:05PM ET",1.159,"SF"
