"Jake Lamb_ARI","Paul Goldschmidt_ARI","AJ Pollock_ARI","Jose Abreu_CWS","David Peralta_ARI","Avisail Garcia_CWS","Corey Seager_LAD","Chris Owings_ARI","Tim Anderson_CWS","Cody Bellinger_LAD","Yasmany Tomas_ARI","Khris Davis_OAK","Todd Frazier_CWS","Giancarlo Stanton_MIA","Justin Bour_MIA","Yasiel Puig_LAD","Yonder Alonso_OAK","Melky Cabrera_CWS","Matt Davidson_CWS","Yoan Moncada_CWS","Brandon Drury_ARI","Dexter Fowler_STL","Justin Turner_LAD","Jed Lowrie_OAK","Dee Gordon_MIA","Logan Forsythe_LAD","Rajai Davis_OAK","Chris Herrmann_ARI","Rey Fuentes_ARI","Yasmani Grandal_LAD","Chris Taylor_LAD","Marcell Ozuna_MIA","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Matt Carpenter_STL","Stephen Piscotty_STL","Trevor Plouffe_OAK","Matt Joyce_OAK","Marcus Semien_OAK","Christian Yelich_MIA","JT Realmuto_MIA","Leury Garcia_CWS","Tyler Saladino_CWS","Yolmer Sanchez_CWS","Adrian Gonzalez_LAD","Randal Grichuk_STL","Joc Pederson_LAD","Mark Canha_OAK","Ryon Healy_OAK","Charlie Tilson_CWS","Franklin Gutierrez_LAD","Jedd Gyorko_STL","Martin Prado_MIA","Gregor Blanco_ARI","Socrates Brito_ARI","Chase Utley_LAD","Kike Hernandez_LAD","Aledmys Diaz_STL","Stephen Vogt_OAK","Tommy Pham_STL","Trayce Thompson_LAD","Derek Dietrich_MIA","Jacob May_CWS","Andrew Toles_LAD","Austin Barnes_LAD","Josh Phegley_OAK","Chris Iannetta_ARI","Kolten Wong_STL","Rob Segedin_LAD","Cody Asche_CWS","Willy Garcia_CWS","Yadier Molina_STL","Jhonny Peralta_STL","Andre Ethier_LAD","Jake Smolinski_OAK","Ryan LaMarre_OAK","Chad Pinder_OAK","Geovany Soto_CWS","Daniel Descalso_ARI","Omar Narvaez_CWS","Scott Van Slyke_LAD","Destin Hood_MIA","Bruce Maxwell_OAK","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Kevan Smith_CWS","Harrison Bader_STL","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","JT Riddle_MIA","Jeff Mathis_ARI","Jose Martinez_STL","Greg Garcia_STL","AJ Ellis_MIA","Magneuris Sierra_STL","Mike Aviles_MIA","Adam Rosales_OAK","Zack Collins_CWS","Carson Kelly_STL","Jaff Decker_OAK","Miguel Rojas_MIA","Eric Fryer_STL","Brett Eibner_LAD","Matt Olson_OAK"
40,39,29,0,31,0,0,34,0,0,29,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,13,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
39,43,31,0,31,0,0,37,0,0,32,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,12,0,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
29,31,32,0,23,0,0,30,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,0,36,0,0,30,0,0,0,29,0,0,0,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,13,8,0,0,0,0,0,0,9,0,21,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,23,0,32,0,0,26,0,0,22,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,10,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,36,0,37,0,0,30,0,0,0,29,0,0,0,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,8,0,0,0,0,0,0,10,0,20,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,38,0,0,21,0,0,0,0,0,35,0,0,0,0,0,0,32,0,0,11,0,0,0,30,16,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,21,0,0,0,6,0,0,0,0,20,0,0,0,0,2,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
34,37,30,0,26,0,0,38,0,0,31,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,30,0,30,0,0,31,0,0,0,25,0,0,0,0,29,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,5,0,0,0,0,0,0,8,0,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,21,0,0,22,0,0,0,0,0,19,0,0,0,0,0,0,18,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
29,32,26,0,22,0,0,31,0,0,33,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,29,0,0,0,0,0,0,36,0,0,24,0,0,0,0,0,0,0,0,0,34,28,9,0,0,0,0,0,0,0,0,9,35,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,12,0,0,0,0
0,0,0,29,0,29,0,0,25,0,0,0,30,0,0,0,0,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,6,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,39,35,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,39,0,0,0,0,0,0,0,39,32,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,16,11,0,0,0,8,0,0,0,0,0,0,14,0,0,0
