P,P,C,1B,2B,3B,SS,OF,OF,OF
Clayton Kershaw,German Marquez,Juan Centeno,Jose Abreu,Tyler Saladino,Todd Frazier,Trea Turner,Melky Cabrera,Josh Reddick,Leury Garcia
Clayton Kershaw,Matt Harvey,Kevan Smith,Kendrys Morales,Robinson Cano,Todd Frazier,Trea Turner,Melky Cabrera,Leury Garcia,Willy Garcia
Clayton Kershaw,Amir Garrett,Austin Hedges,Jose Abreu,Tyler Saladino,Todd Frazier,Tim Anderson,David Peralta,Andrew Benintendi,Melky Cabrera
Clayton Kershaw,Amir Garrett,Kevan Smith,Paul Goldschmidt,Brandon Drury,Jake Lamb,Ryan Goins,David Peralta,Yasmany Tomas,Mark Canha
Clayton Kershaw,German Marquez,Kevan Smith,Hanley Ramirez,Dustin Pedroia,Chris Coghlan,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Willy Garcia
Clayton Kershaw,Lance McCullers,Drew Butera,Eric Hosmer,Tyler Saladino,Mike Moustakas,Alcides Escobar,Andrew Benintendi,Lorenzo Cain,Leury Garcia
Clayton Kershaw,Carlos Carrasco,Austin Romine,Jose Abreu,Yangervis Solarte,Todd Frazier,Ryan Goins,Melky Cabrera,Leury Garcia,Willy Garcia
Carlos Carrasco,German Marquez,Juan Centeno,Paul Goldschmidt,Brandon Drury,Jake Lamb,Trea Turner,David Peralta,Yasmany Tomas,Ezequiel Carrera
Lance McCullers,Carlos Carrasco,Drew Butera,Jose Abreu,Tyler Saladino,Todd Frazier,Freddy Galvis,David Peralta,Melky Cabrera,Leury Garcia
Lance McCullers,Carlos Carrasco,Kevan Smith,Paul Goldschmidt,Rougned Odor,Todd Frazier,Elvis Andrus,Melky Cabrera,Leury Garcia,Willy Garcia
Clayton Kershaw,German Marquez,Drew Butera,Kendrys Morales,Whit Merrifield,Mike Moustakas,Alcides Escobar,Mookie Betts,David Peralta,Lorenzo Cain
Lance McCullers,German Marquez,Kevan Smith,Paul Goldschmidt,Tyler Saladino,Jake Lamb,Elvis Andrus,David Peralta,Yasmany Tomas,Rey Fuentes
Clayton Kershaw,Lance McCullers,Kevan Smith,Kendrys Morales,Jed Lowrie,Chris Coghlan,Adam Rosales,Khris Davis,Matt Joyce,Mark Canha
Lance McCullers,Matt Harvey,Juan Centeno,Jose Abreu,Tyler Saladino,Todd Frazier,Tim Anderson,Mike Trout,Mookie Betts,Melky Cabrera
Clayton Kershaw,German Marquez,Kevan Smith,Yuli Gurriel,Jose Altuve,Marwin Gonzalez,Trea Turner,Andrew Benintendi,Carlos Beltran,Josh Reddick
Clayton Kershaw,Matt Harvey,Juan Centeno,Paul Goldschmidt,Tyler Saladino,Alex Bregman,Trea Turner,George Springer,Josh Reddick,Jake Marisnick
Clayton Kershaw,Matt Harvey,Juan Centeno,Paul Goldschmidt,Cliff Pennington,Jake Lamb,Alcides Escobar,David Peralta,Yasmany Tomas,Rey Fuentes
Clayton Kershaw,Matt Harvey,Kevan Smith,Justin Bour,Dee Gordon,Todd Frazier,Trea Turner,Giancarlo Stanton,Marcell Ozuna,Christian Yelich
Clayton Kershaw,Lance McCullers,Kevan Smith,Kendrys Morales,Dee Gordon,Mike Moustakas,JT Riddle,Giancarlo Stanton,Christian Yelich,Ichiro Suzuki
Clayton Kershaw,Carlos Carrasco,Drew Butera,Paul Goldschmidt,Whit Merrifield,Mike Moustakas,Alcides Escobar,Jorge Soler,Leury Garcia,Justin Ruggiano
Clayton Kershaw,Lance McCullers,Martin Maldonado,Luis Valbuena,Danny Espinosa,Chris Coghlan,Andrelton Simmons,David Peralta,Andrew Benintendi,Kole Calhoun
Clayton Kershaw,Amir Garrett,Kevan Smith,Ryan Zimmerman,Daniel Murphy,Chris Coghlan,Trea Turner,Bryce Harper,Jayson Werth,Mark Canha
Clayton Kershaw,German Marquez,Juan Centeno,Kendrys Morales,Jose Altuve,Mike Moustakas,Francisco Lindor,George Springer,Josh Reddick,Jake Marisnick
Jon Lester,Jordan Montgomery,Austin Romine,Jose Abreu,Tyler Saladino,Todd Frazier,Francisco Lindor,Mookie Betts,Melky Cabrera,Leury Garcia
Clayton Kershaw,Amir Garrett,Kevan Smith,Kendrys Morales,Devon Travis,Mike Moustakas,Trea Turner,Jose Bautista,Kevin Pillar,Ezequiel Carrera
Lance McCullers,Joe Ross,Drew Butera,Paul Goldschmidt,Brandon Drury,Jake Lamb,Francisco Lindor,David Peralta,Yasmany Tomas,Leury Garcia
Clayton Kershaw,German Marquez,Kevan Smith,Kendrys Morales,Robinson Cano,Kyle Seager,Jean Segura,Nelson Cruz,Ben Gamel,Ezequiel Carrera
Clayton Kershaw,Amir Garrett,Kevan Smith,Joe Mauer,Brian Dozier,Miguel Sano,Trea Turner,Robbie Grossman,Max Kepler,Leury Garcia
Clayton Kershaw,German Marquez,Kevan Smith,Logan Morrison,Tyler Saladino,Evan Longoria,Tim Beckham,Mookie Betts,Corey Dickerson,Kevin Kiermaier
Lance McCullers,Jordan Montgomery,Juan Centeno,Hanley Ramirez,Dustin Pedroia,Todd Frazier,Xander Bogaerts,Mookie Betts,David Peralta,Andrew Benintendi
Clayton Kershaw,German Marquez,Austin Romine,Yonder Alonso,Jed Lowrie,Todd Frazier,Trea Turner,Khris Davis,Matt Joyce,Mark Canha
Clayton Kershaw,Lance McCullers,Kevan Smith,Buster Posey,Tyler Saladino,Eduardo Nunez,Brandon Crawford,David Peralta,Justin Ruggiano,Gorkys Hernandez
Clayton Kershaw,Carlos Carrasco,Juan Centeno,Jose Abreu,Jed Lowrie,Trevor Plouffe,Adam Rosales,Andrew Benintendi,Matt Joyce,Mark Canha
Clayton Kershaw,German Marquez,Kevan Smith,Paul Goldschmidt,Tyler Saladino,Joey Gallo,Elvis Andrus,Shin-Soo Choo,Delino DeShields,Jared Hoying
Carlos Carrasco,German Marquez,Austin Romine,Jose Abreu,Tyler Saladino,Todd Frazier,Tim Anderson,Bryce Harper,Melky Cabrera,Andrew McCutchen
Clayton Kershaw,Lance McCullers,Kevan Smith,Wil Myers,Yangervis Solarte,Ryan Schimpf,Trea Turner,Leury Garcia,Hunter Renfroe,Manuel Margot
Clayton Kershaw,German Marquez,Kevan Smith,Kendrys Morales,Jonathan Schoop,Manny Machado,JJ Hardy,Adam Jones,Seth Smith,Andrew Benintendi
Lance McCullers,Rick Porcello,Austin Hedges,Jose Abreu,Jose Altuve,Todd Frazier,Trea Turner,Melky Cabrera,Leury Garcia,Willy Garcia
Clayton Kershaw,Matt Harvey,Drew Butera,Paul Goldschmidt,Jose Altuve,Marwin Gonzalez,Ryan Goins,George Springer,Carlos Beltran,Josh Reddick
Clayton Kershaw,Matt Harvey,Juan Centeno,Kendrys Morales,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Leury Garcia
Jordan Montgomery,Matt Harvey,Austin Romine,Paul Goldschmidt,Brandon Drury,Jake Lamb,Corey Seager,Mookie Betts,David Peralta,Yasmany Tomas
Clayton Kershaw,Lance McCullers,Drew Butera,Kendrys Morales,Whit Merrifield,Chris Coghlan,Alcides Escobar,Andrew Benintendi,Jorge Bonifacio,Jorge Soler
Carlos Carrasco,Matt Harvey,Austin Romine,Hanley Ramirez,Dustin Pedroia,Jake Lamb,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Josh Reddick
Clayton Kershaw,Carlos Carrasco,Juan Centeno,Paul Goldschmidt,Dee Gordon,Derek Dietrich,JT Riddle,Giancarlo Stanton,Leury Garcia,Ichiro Suzuki
Jon Lester,Rick Porcello,Drew Butera,Jose Abreu,Tyler Saladino,Todd Frazier,Tim Anderson,Melky Cabrera,Josh Reddick,Mark Canha
Jon Lester,Amir Garrett,Drew Butera,Paul Goldschmidt,Rougned Odor,Jake Lamb,Trea Turner,David Peralta,Yasmany Tomas,Rey Fuentes
Clayton Kershaw,German Marquez,Juan Centeno,Chris Davis,Tyler Saladino,Manny Machado,Ryan Goins,Mark Trumbo,Adam Jones,Seth Smith
Clayton Kershaw,Lance McCullers,Kevan Smith,Logan Morrison,Daniel Robertson,Chris Coghlan,Tim Beckham,Mookie Betts,Colby Rasmus,Steven Souza
Clayton Kershaw,German Marquez,Juan Centeno,Ryan Zimmerman,Daniel Murphy,Anthony Rendon,Ryan Goins,Bryce Harper,Jayson Werth,Leury Garcia
Clayton Kershaw,German Marquez,James McCann,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Jose Iglesias,Mookie Betts,David Peralta,Ezequiel Carrera
Clayton Kershaw,Carlos Carrasco,James McCann,Kendrys Morales,Ian Kinsler,Nicholas Castellanos,Jose Iglesias,Andrew Benintendi,Leury Garcia,Mikie Mahtook
Jon Lester,German Marquez,Kevan Smith,Eric Thames,Jose Altuve,Todd Frazier,Francisco Lindor,Melky Cabrera,Leury Garcia,Willy Garcia
Carlos Carrasco,Joe Ross,Austin Romine,Paul Goldschmidt,Dee Gordon,Jake Lamb,Tim Anderson,David Peralta,Yasmany Tomas,Rey Fuentes
Jon Lester,Jesse Hahn,Austin Hedges,Paul Goldschmidt,Brandon Drury,Jake Lamb,Alcides Escobar,David Peralta,Yasmany Tomas,Andrew Benintendi
Clayton Kershaw,Carlos Carrasco,Juan Centeno,Yuli Gurriel,Rougned Odor,Alex Bregman,Ryan Goins,David Peralta,George Springer,Jake Marisnick
Johnny Cueto,Rick Porcello,Yadier Molina,Jose Abreu,Tyler Saladino,Todd Frazier,Corey Seager,Andrew Benintendi,Melky Cabrera,Leury Garcia
Clayton Kershaw,German Marquez,Austin Romine,Chris Carter,Tyler Saladino,Chase Headley,Didi Gregorius,Mookie Betts,Aaron Judge,Leury Garcia
Clayton Kershaw,Carlos Carrasco,Juan Centeno,Logan Morrison,Tyler Saladino,Evan Longoria,Tim Beckham,Colby Rasmus,Leury Garcia,Steven Souza
Clayton Kershaw,German Marquez,James McCann,Victor Martinez,Tyler Saladino,Todd Frazier,Trea Turner,JD Martinez,Justin Upton,Mikie Mahtook
Clayton Kershaw,Lance McCullers,Kevan Smith,Tommy Joseph,Andres Blanco,Chris Coghlan,Freddy Galvis,Aaron Altherr,Andrew Benintendi,Odubel Herrera
Lance McCullers,Carlos Carrasco,Kevan Smith,Kendrys Morales,Jose Altuve,Marwin Gonzalez,Freddy Galvis,George Springer,Carlos Beltran,Josh Reddick
Clayton Kershaw,Amir Garrett,Kevan Smith,Jay Bruce,Neil Walker,Jose Reyes,Trea Turner,Michael Conforto,Curtis Granderson,Leury Garcia
Clayton Kershaw,Jordan Montgomery,James McCann,Paul Goldschmidt,Ian Kinsler,Todd Frazier,Jose Iglesias,David Peralta,Justin Upton,Mikie Mahtook
Clayton Kershaw,German Marquez,Kevan Smith,Eric Thames,Jonathan Villar,Travis Shaw,Ryan Goins,Ryan Braun,Domingo Santana,Ezequiel Carrera
Lance McCullers,Carlos Carrasco,Juan Centeno,Paul Goldschmidt,Jose Altuve,Todd Frazier,Ryan Goins,George Springer,Josh Reddick,Jake Marisnick
Clayton Kershaw,Jordan Montgomery,Kevan Smith,Mike Napoli,Rougned Odor,Joey Gallo,Trea Turner,Andrew Benintendi,Delino DeShields,Jared Hoying
Jon Lester,Carlos Carrasco,Drew Butera,Eric Hosmer,Robinson Cano,Mike Moustakas,Alcides Escobar,Mookie Betts,Andrew McCutchen,Lorenzo Cain
Clayton Kershaw,German Marquez,Juan Centeno,Joe Mauer,Brian Dozier,Miguel Sano,Ryan Goins,Mookie Betts,Robbie Grossman,Byron Buxton
Carlos Carrasco,Matt Harvey,Juan Centeno,Ryan Zimmerman,Daniel Murphy,Mike Moustakas,Trea Turner,Bryce Harper,David Peralta,Jayson Werth
Lance McCullers,Carlos Carrasco,Drew Butera,Jose Abreu,Whit Merrifield,Mike Moustakas,Alcides Escobar,Mike Trout,Melky Cabrera,Lorenzo Cain
Clayton Kershaw,German Marquez,Kevan Smith,Matt Holliday,Starlin Castro,Chase Headley,Didi Gregorius,Aaron Judge,Andrew Benintendi,Josh Reddick
Rick Porcello,Jordan Montgomery,Austin Hedges,Paul Goldschmidt,Adam Frazier,Jake Lamb,Francisco Lindor,David Peralta,Yasmany Tomas,Rey Fuentes
Clayton Kershaw,Jordan Montgomery,Austin Romine,Chris Carter,Tyler Saladino,Chase Headley,Trea Turner,Aaron Hicks,Andrew Benintendi,Jacoby Ellsbury
Jon Lester,Johnny Cueto,Juan Centeno,Jose Abreu,Rougned Odor,Todd Frazier,Jorge Polanco,Melky Cabrera,Leury Garcia,Willy Garcia
Clayton Kershaw,Carlos Carrasco,Juan Centeno,Trey Mancini,Jonathan Schoop,Chris Coghlan,JJ Hardy,Adam Jones,Seth Smith,Leury Garcia
Rick Porcello,Lance Lynn,Martin Maldonado,Paul Goldschmidt,Brandon Drury,Jake Lamb,Tim Anderson,David Peralta,Yasmany Tomas,Josh Reddick
Clayton Kershaw,Matt Harvey,Austin Romine,Kendrys Morales,Starlin Castro,Chase Headley,Didi Gregorius,Aaron Judge,David Peralta,Willy Garcia
Jon Lester,Amir Garrett,Austin Hedges,Hanley Ramirez,Dustin Pedroia,Mike Moustakas,Xander Bogaerts,Mike Trout,Mookie Betts,Andrew Benintendi
Lance McCullers,German Marquez,Drew Butera,Ryan Zimmerman,Daniel Murphy,Todd Frazier,Trea Turner,Bryce Harper,Jayson Werth,Josh Reddick
Lance McCullers,Carlos Carrasco,Kevan Smith,Jose Abreu,Dustin Pedroia,Deven Marrero,Xander Bogaerts,Mookie Betts,Andrew Benintendi,Justin Ruggiano
Clayton Kershaw,Lance McCullers,Drew Butera,Logan Morrison,Rougned Odor,Evan Longoria,Tim Beckham,Colby Rasmus,Kevin Kiermaier,Willy Garcia
Clayton Kershaw,German Marquez,Kevan Smith,Ian Desmond,Tyler Saladino,Nolan Arenado,Alexi Amarista,Carlos Gonzalez,Gerardo Parra,Leury Garcia
Clayton Kershaw,Joe Ross,Kevan Smith,Matt Holliday,Starlin Castro,Chris Coghlan,Trea Turner,Aaron Judge,Aaron Hicks,Jacoby Ellsbury
Jon Lester,Carlos Carrasco,Austin Hedges,Paul Goldschmidt,Jed Lowrie,Todd Frazier,Adam Rosales,Khris Davis,Matt Joyce,Mark Canha
Lance McCullers,German Marquez,Austin Romine,Kendrys Morales,Devon Travis,Jake Lamb,Francisco Lindor,Jose Bautista,Kevin Pillar,Ezequiel Carrera
Matt Shoemaker,Ervin Santana,Austin Hedges,Jose Abreu,Tyler Saladino,Todd Frazier,Xander Bogaerts,Mike Trout,Melky Cabrera,Leury Garcia
Jon Lester,Lance McCullers,Drew Butera,Eric Thames,Whit Merrifield,Mike Moustakas,Alcides Escobar,David Peralta,Jorge Soler,Josh Reddick
Johnny Cueto,Jordan Montgomery,James McCann,Jose Abreu,Tyler Saladino,Todd Frazier,Tim Anderson,Michael Conforto,Yasmany Tomas,Melky Cabrera
Johnny Cueto,Rick Porcello,Kevan Smith,Hanley Ramirez,Brian Dozier,Todd Frazier,Xander Bogaerts,Melky Cabrera,Leury Garcia,Willy Garcia
