P,P,C,1B,2B,3B,SS,OF,OF,OF
Chris Sale,Matt Moore,Evan Gattis,Yuli Gurriel,Jose Altuve,Marwin Gonzalez,Allen Cordoba,George Springer,Chris Young,Kevin Kiermaier
Chris Sale,Charlie Morton,Evan Gattis,Wil Myers,Yangervis Solarte,Ryan Schimpf,Allen Cordoba,Mike Trout,Chris Young,Manuel Margot
Chris Sale,Tyler Chatwood,Evan Gattis,Yuli Gurriel,Jose Altuve,Kyle Seager,Trea Turner,George Springer,Jake Marisnick,Manuel Margot
Chris Sale,Charlie Morton,Evan Gattis,Yuli Gurriel,Yangervis Solarte,Marwin Gonzalez,Trea Turner,George Springer,Carlos Beltran,Guillermo Heredia
Chris Sale,Tyler Chatwood,Sandy Leon,Hanley Ramirez,Dustin Pedroia,Mike Moustakas,Allen Cordoba,Mookie Betts,Chris Young,Manuel Margot
Chris Sale,Charlie Morton,Mike Zunino,Danny Valencia,Robinson Cano,Kyle Seager,Trea Turner,George Springer,Manuel Margot,Guillermo Heredia
Chris Sale,Robert Gsellman,Sandy Leon,Alex Avila,Dustin Pedroia,Marwin Gonzalez,Xander Bogaerts,Mookie Betts,Chris Young,Guillermo Heredia
Chris Sale,Matt Moore,Luis Torrens,Wil Myers,Yangervis Solarte,Ryan Schimpf,Trea Turner,Mookie Betts,George Springer,Manuel Margot
Chris Sale,Matt Moore,Evan Gattis,Alex Avila,Ian Kinsler,Mike Moustakas,Trea Turner,Justin Upton,Mikie Mahtook,Tyler Collins
Chris Sale,Matt Moore,Evan Gattis,Yuli Gurriel,Dustin Pedroia,Alex Bregman,Erick Aybar,Mookie Betts,George Springer,Carlos Beltran
Chris Sale,Rich Hill,Evan Gattis,Yuli Gurriel,Yangervis Solarte,Alex Bregman,Xander Bogaerts,George Springer,Kevin Kiermaier,Jake Marisnick
Chris Sale,Tyler Chatwood,Evan Gattis,Alex Avila,Jose Altuve,Alex Bregman,Alcides Escobar,George Springer,Chris Young,Carlos Beltran
Chris Sale,Matt Moore,Evan Gattis,Luis Valbuena,Robinson Cano,Kyle Seager,Trea Turner,Jarrod Dyson,Ben Gamel,Guillermo Heredia
Chris Sale,Charlie Morton,Martin Maldonado,Luis Valbuena,Cliff Pennington,Kyle Seager,Trea Turner,Mike Trout,Ben Revere,Kevin Kiermaier
Chris Sale,Matt Moore,Evan Gattis,Logan Morrison,Daniel Robertson,Evan Longoria,Trea Turner,Chris Young,Colby Rasmus,Kevin Kiermaier
Chris Sale,Robert Gsellman,Evan Gattis,Yuli Gurriel,Jose Altuve,Alex Bregman,Trea Turner,Justin Upton,Carlos Beltran,Kevin Kiermaier
Chris Sale,Rich Hill,Evan Gattis,Wil Myers,Yangervis Solarte,Mike Moustakas,Erick Aybar,Mookie Betts,Hunter Renfroe,Manuel Margot
Chris Sale,Robert Gsellman,Evan Gattis,Luis Valbuena,Jose Altuve,Marwin Gonzalez,Xander Bogaerts,George Springer,Jake Marisnick,Odubel Herrera
Chris Sale,Matt Moore,Evan Gattis,Alex Avila,Andrew Romine,Marwin Gonzalez,Trea Turner,George Springer,Norichika Aoki,Jake Marisnick
Chris Sale,Charlie Morton,Evan Gattis,Luis Valbuena,Jose Altuve,Alex Bregman,Erick Aybar,George Springer,Norichika Aoki,Manuel Margot
Chris Sale,Robert Gsellman,Evan Gattis,Yuli Gurriel,Jose Altuve,Mike Moustakas,Alcides Escobar,Mookie Betts,George Springer,Norichika Aoki
Chris Sale,Matt Moore,Evan Gattis,Luis Valbuena,Cliff Pennington,Mike Moustakas,Andrelton Simmons,Mike Trout,Chris Young,Ben Revere
Chris Sale,Tyler Chatwood,Evan Gattis,Yuli Gurriel,Dustin Pedroia,Marwin Gonzalez,Tim Beckham,Bryce Harper,George Springer,Norichika Aoki
Chris Sale,Charlie Morton,Derek Norris,Hanley Ramirez,Daniel Robertson,Kyle Seager,Trea Turner,Colby Rasmus,Steven Souza,Kevin Kiermaier
