"Paul Goldschmidt_ARI","Jake Lamb_ARI","AJ Pollock_ARI","Jose Altuve_HOU","Eric Thames_MIL","Jonathan Villar_MIL","Ryan Braun_MIL","JD Martinez_DET","Miguel Cabrera_DET","Corey Seager_LAD","David Peralta_ARI","Travis Shaw_MIL","Chris Owings_ARI","Carlos Correa_HOU","Cody Bellinger_LAD","Yasmany Tomas_ARI","Dexter Fowler_STL","Keon Broxton_MIL","Victor Martinez_DET","Yasmani Grandal_LAD","Chris Herrmann_ARI","Domingo Santana_MIL","George Springer_HOU","Yasiel Puig_LAD","Hernan Perez_MIL","Brandon Drury_ARI","Carlos Beltran_HOU","Justin Upton_DET","Josh Reddick_HOU","Marwin Gonzalez_HOU","Logan Forsythe_LAD","Stephen Piscotty_STL","Chris Taylor_LAD","Rey Fuentes_ARI","Ian Kinsler_DET","Alex Bregman_HOU","Justin Turner_LAD","Matt Carpenter_STL","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Brian McCann_HOU","Alex Avila_DET","Nicholas Castellanos_DET","Eric Sogard_MIL","Evan Gattis_HOU","Adrian Gonzalez_LAD","Franklin Gutierrez_LAD","Randal Grichuk_STL","Jedd Gyorko_STL","Joc Pederson_LAD","Aledmys Diaz_STL","Nick Franklin_MIL","Socrates Brito_ARI","Chase Utley_LAD","Tommy Pham_STL","Gregor Blanco_ARI","Jesus Aguilar_MIL","Orlando Arcia_MIL","Derek Fisher_HOU","Jett Bandy_MIL","Andrew Romine_DET","James McCann_DET","Kolten Wong_STL","Trayce Thompson_LAD","Austin Barnes_LAD","Chris Iannetta_ARI","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Norichika Aoki_HOU","Kike Hernandez_LAD","Andrew Toles_LAD","Daniel Descalso_ARI","Jake Marisnick_HOU","JaCoby Jones_DET","Yuli Gurriel_HOU","Yadier Molina_STL","Jhonny Peralta_STL","Rob Segedin_LAD","Dixon Machado_DET","John Hicks_DET","Mikie Mahtook_DET","Tyler Collins_DET","Andre Ethier_LAD","Scott Van Slyke_LAD","Jose Martinez_STL","Harrison Bader_STL","Jim Adduci_DET","Greg Garcia_STL","Jose Iglesias_DET","Magneuris Sierra_STL","Jeff Mathis_ARI","Carson Kelly_STL","Eric Fryer_STL","Juan Centeno_HOU","Tony Kemp_HOU","Brett Eibner_LAD"
44,40,31,0,0,0,0,0,0,0,32,0,37,0,0,33,0,0,0,0,13,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
40,41,29,0,0,0,0,0,0,0,32,0,34,0,0,30,0,0,0,0,14,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
31,29,32,0,0,0,0,0,0,0,23,0,30,0,0,26,0,0,0,0,9,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
0,0,0,41,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,37,0,0,0,35,0,33,24,0,0,0,0,0,37,0,0,0,0,24,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,35,33,24,0,0,0,0,32,0,0,0,0,0,27,0,0,0,25,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,31,0,20,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,33,39,25,0,0,0,0,34,0,0,0,0,0,31,0,0,0,30,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,9,34,0,21,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,24,25,27,0,0,0,0,24,0,0,0,0,0,20,0,0,0,21,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,24,0,13,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,21,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,8,17,0,0,0,0,5,0,22,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,40,0,0,0,0,23,0,0,0,0,32,0,0,0,37,0,0,0,0,0,0,13,0,17,0,0,0,32,0,0,0,0,0,0,0,0,25,6,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2
