"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Jacob deGrom",12100,"SD@NYM 07:10PM ET",20.085,"NYM","SD",NA,22.4,22.347,NA,NA
"SP","Justin Verlander",9900,"DET@HOU 08:10PM ET",16.544,"DET","HOU",NA,18.9,16.8645,NA,1.55
"SP","Kenta Maeda",8800,"STL@LAD 10:10PM ET",15.557,"LAD","STL",NA,17.9,17.492,NA,11.85
"SP","Robbie Ray",8600,"ARI@MIL 08:10PM ET",19.183,"ARI","MIL",NA,18.6,18.999,NA,35.95
"SP","Michael Wacha",8200,"STL@LAD 10:10PM ET",18,"STL","LAD",NA,15.5,14.975,NA,1.6
"SP","Drew Pomeranz",7600,"TEX@BOS 07:10PM ET",13.988,"BOS","TEX",NA,13.7,18.032,NA,32.5
"SP","Zach Davies",7200,"ARI@MIL 08:10PM ET",10.472,"MIL","ARI",NA,12.6,16.431,NA,6.1
"SP","Mike Fiers",6500,"DET@HOU 08:10PM ET",9.611,"HOU","DET",NA,11.8,15.774,NA,-0.7
"SP","Nick Martinez",5700,"TEX@BOS 07:10PM ET",10.083,"TEX","BOS",NA,9.4,6.512,NA,5.85
"SP","Dinelson Lamet",5300,"SD@NYM 07:10PM ET",0,"SD","NYM",NA,13.9,12.328,NA,26.25
