"Mike Trout_LAA","Paul Goldschmidt_ARI","Bryce Harper_WAS","Jake Lamb_ARI","Mookie Betts_BOS","Joey Votto_CIN","Billy Hamilton_CIN","Xander Bogaerts_BOS","AJ Pollock_ARI","Nelson Cruz_SEA","Daniel Murphy_WAS","Trea Turner_WAS","Robinson Cano_SEA","Hanley Ramirez_BOS","Andrew Benintendi_BOS","Cameron Maybin_LAA","Anthony Rendon_WAS","Mitch Moreland_BOS","Ryan Braun_MIL","David Peralta_ARI","Eric Thames_MIL","Chris Owings_ARI","Adam Duvall_CIN","Justin Bour_MIA","Francisco Lindor_CLE","Jean Segura_SEA","Jackie Bradley_BOS","Jonathan Villar_MIL","Eugenio Suarez_CIN","Scott Schebler_CIN","Giancarlo Stanton_MIA","Ryan Zimmerman_WAS","Edwin Encarnacion_CLE","Michael Brantley_CLE","Dustin Pedroia_BOS","Dee Gordon_MIA","Carlos Santana_CLE","Jason Kipnis_CLE","Jose Ramirez_CLE","Zack Cozart_CIN","Aaron Altherr_PHI","Albert Pujols_LAA","Adam Eaton_WAS","Yasmany Tomas_ARI","Jose Peraza_CIN","Mitch Haniger_SEA","Brandon Drury_ARI","Keon Broxton_MIL","Cesar Hernandez_PHI","Marcell Ozuna_MIA","Andrelton Simmons_LAA","Travis Shaw_MIL","Tommy Joseph_PHI","Christian Yelich_MIA","JT Realmuto_MIA","Lonnie Chisenhall_CLE","Mike Moustakas_KC","Pablo Sandoval_BOS","Kyle Seager_SEA","Scooter Gennett_CIN","Phillip Ervin_CIN","Jayson Werth_WAS","Brandon Moss_KC","Lorenzo Cain_KC","Eric Hosmer_KC","Bradley Zimmer_CLE","Leonys Martin_SEA","Rey Fuentes_ARI","Domingo Santana_MIL","Maikel Franco_PHI","Salvador Perez_KC","Yan Gomes_CLE","Jorge Bonifacio_KC","Chris Young_BOS","Ben Gamel_SEA","Nick Franklin_MIL","Jeremy Hazelbaker_ARI","Nick Ahmed_ARI","Howie Kendrick_PHI","Michael Saunders_PHI","CJ Cron_LAA","Wil Myers_SD","Michael Taylor_WAS","Whit Merrifield_KC","Jorge Soler_KC","Brock Holt_BOS","Chris Herrmann_ARI","Hernan Perez_MIL","Rhys Hoskins_PHI","Martin Prado_MIA","Paulo Orlando_KC","Abraham Almonte_CLE","Billy Burns_KC","Danny Valencia_SEA","Jesus Aguilar_MIL","Socrates Brito_ARI","Orlando Arcia_MIL","Jefry Marte_LAA","Adam Lind_WAS","Matt Wieters_WAS","Brandon Guyer_CLE","Cheslor Cuthbert_KC","Taylor Motter_SEA","Sam Travis_BOS","Gregor Blanco_ARI","Manny Pina_MIL","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Jett Bandy_MIL","Daniel Nava_PHI","Arismendy Alcantara_CIN","Cameron Rupp_PHI","Andrew Knapp_PHI","Peter O'Brien_CIN","Ben Revere_LAA","Derek Dietrich_MIA","Ryan Schimpf_SD","Alex Gordon_KC","Jarrod Dyson_SEA","Mike Zunino_SEA","Eric Sogard_MIL","Luis Valbuena_LAA","Yunel Escobar_LAA","Kole Calhoun_LAA","Hunter Renfroe_SD","Austin Jackson_CLE","Tyler Naquin_CLE","Ryan O'Hearn_KC","Shawn O'Malley_SEA","Sandy Leon_BOS","Steve Selsky_BOS","Marco Hernandez_BOS","Freddy Galvis_PHI","Jesse Winker_CIN","Giovanny Urshela_CLE","Erik Gonzalez_CLE","Terrance Gore_KC","Christian Vazquez_BOS","Boog Powell_SEA","Chris Iannetta_ARI","Devin Mesoraco_CIN","Odubel Herrera_PHI","Danny Espinosa_LAA","Brian Goodwin_WAS","Alex Dickerson_SD","Wilmer Difo_WAS","Yandy Diaz_CLE","Carlos Ruiz_SEA","Josh Rutledge_BOS","Guillermo Heredia_SEA","Daniel Descalso_ARI","Brock Stassi_PHI","Destin Hood_MIA","Stephen Drew_WAS","Yangervis Solarte_SD","Tuffy Gosewisch_SEA","Deven Marrero_BOS","Andres Blanco_PHI","Tucker Barnhart_CIN","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Raul Mondesi_KC","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","JT Riddle_MIA","Chris Heisey_WAS","Matt Szczur_SD","Travis Jankowski_SD","Daniel Robertson_CLE","Mike Freeman_SEA","Daniel Vogelbach_SEA","AJ Ellis_MIA","Chase d'Arnaud_SD","Cory Spangenberg_SD","Alcides Escobar_KC","Roberto Perez_CLE","Jeff Mathis_ARI","Ty Kelly_PHI","Patrick Kivlehan_CIN","Mike Aviles_MIA","Nolan Fontana_LAA","Jose Lobaton_WAS","Christian Bethancourt_SD","Rafael Bautista_WAS","Manuel Margot_SD","Juan Graterol_LAA","Austin Hedges_SD","Allen Cordoba_SD","Drew Butera_KC","Miguel Rojas_MIA","Carlos Perez_LAA","Martin Maldonado_LAA","Cliff Pennington_LAA","Erick Aybar_SD","Jabari Blash_SD","Stuart Turner_CIN","Grant Green_WAS","Hector Sanchez_SD","Luis Torrens_SD"
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,12,29,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,34,9,0,0,0,0,0,0
0,46,0,42,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,34,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,38,0,0,0,0,0,0,0,35,27,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,0,43,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,34,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,40,0,0,37,0,0,0,0,0,32,38,0,0,37,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,40,41,0,0,0,0,0,0,0,0,0,37,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,37,39,0,0,0,0,0,0,0,0,0,35,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
0,0,0,0,37,0,0,38,0,0,0,0,0,32,36,0,0,35,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,0,29,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,23,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,42,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35,0,0,0,0,0,0,0,38,28,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
