"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Ervin Santana",9900,"HOU@MIN 02:10PM ET",23.21,"MIN","HOU",17.76,13,13.0435,NA,21.55
"SP","Marcus Stroman",9800,"CIN@TOR 07:07PM ET",15.382,"TOR","CIN",23.84,13.6,17.6565,NA,19.9
"SP","Kyle Hendricks",9600,"CHC@SD 04:40PM ET",14.53,"CHC","SD",23.37,17.7,17.568,NA,7.05
"SP","David Price",9400,"BOS@CWS 02:10PM ET",0,"BOS","CWS",21.91,20.9,21.4355,NA,9.65
"SP","Carlos Carrasco",9300,"OAK@CLE 04:10PM ET",21.161,"CLE","OAK",25.78,18.9,22.449,NA,26.15
"SP","Julio Teheran",8900,"ATL@LAA 09:07PM ET",8.469,"ATL","LAA",17.56,14.2,15.4635,NA,17.45
"SP","Tanner Roark",8800,"WAS@SF 04:05PM ET",14.385,"WAS","SF",18.44,15.3,12.7595,NA,26.95
"SP","Dylan Bundy",8700,"NYY@BAL 01:05PM ET",17.05,"BAL","NYY",21.08,14,15.03,NA,16.35
"SP","Daniel Norris",8500,"DET@KC 07:15PM ET",12.2,"DET","KC",15.9,15.2,10.885,NA,8.45
"SP","Ricky Nolasco",8400,"ATL@LAA 09:07PM ET",13.875,"LAA","ATL",17.65,14.5,15.281,NA,1.2
"SP","Mike Leake",8100,"LAD@STL 02:15PM ET",20.2,"STL","LAD",18.54,14.7,13.757,NA,15.55
"SP","Rich Hill",7900,"LAD@STL 02:15PM ET",10.063,"LAD","STL",16.54,17.1,14.675,NA,18.25
"SP","Matt Moore",7300,"WAS@SF 04:05PM ET",11.39,"SF","WAS",16.54,14,14.791,NA,18.15
"SP","Jason Hammel",7100,"DET@KC 07:15PM ET",8.2,"KC","DET",16.18,12.3,14.186,NA,0.95
"SP","Jeremy Hellickson",6900,"PHI@MIA 07:10PM ET",9.54,"PHI","MIA",14.65,10.8,12.455,NA,4.1
"SP","Tyler Chatwood",6800,"SEA@COL 03:10PM ET",14.6,"COL","SEA",11.21,13.4,11.246,NA,-2.85
"SP","Martin Perez",6700,"TB@TEX 08:05PM ET",11.62,"TEX","TB",13.21,12.1,13.391,NA,7.25
"SP","Edinson Volquez",6500,"PHI@MIA 07:10PM ET",10.333,"MIA","PHI",16.38,14.1,14.778,NA,20.5
"SP","Jordan Montgomery",6400,"NYY@BAL 01:05PM ET",14.838,"NYY","BAL",13.93,15.7,13.683,NA,12.35
"SP","Matt Garza",6300,"MIL@NYM 04:10PM ET",14.792,"MIL","NYM",13.29,13,11.801,NA,7.35
"SP","Robert Gsellman",5600,"MIL@NYM 04:10PM ET",5.308,"NYM","MIL",12.29,12.6,19.177,NA,24.15
"SP","Brad Peacock",5500,"HOU@MIN 02:10PM ET",7.531,"HOU","MIN",16.86,16.5,12.23,NA,15.5
"SP","Erasmo Ramirez",5000,"TB@TEX 08:05PM ET",6.628,"TB","TEX",12.91,10.8,11.168,NA,-4.95
"RP","Trevor Williams",4900,"ARI@PIT 04:05PM ET",5.325,"PIT","ARI",14.08,9.7,11.986,NA,13.9
"SP","Lisalverto Bonilla",4800,"CIN@TOR 07:07PM ET",8.35,"CIN","TOR",10.8,13.7,13.002,NA,-11.55
"RP","Randall Delgado",4600,"ARI@PIT 04:05PM ET",5,"ARI","PIT",13.27,15,10.116,NA,23.75
"SP","Jarred Cosart",4500,"CHC@SD 04:40PM ET",3.72,"SD","CHC",12.42,8.3,9.809,NA,3.6
"RP","Sam Gaviglio",4400,"SEA@COL 03:10PM ET",10.083,"SEA","COL",7.43,8.8,6.362,NA,NA
"SP","Daniel Mengden",4300,"OAK@CLE 04:10PM ET",0,"OAK","CLE",9.37,13.3,7.184,NA,-5.3
"SP","David Holmberg",4200,"BOS@CWS 02:10PM ET",3.781,"CWS","BOS",10.33,8.4,9.084,NA,3.4
