"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Robbie Ray","Asher Wojciechowski","Gary Sanchez","Danny Valencia","Robinson Cano","Kyle Seager","Jean Segura","Nelson Cruz","Adam Duvall","Shin-Soo Choo"
"2","Jeff Samardzija","Michael Wacha","Russell Martin","Danny Valencia","Robinson Cano","Kyle Seager","Jean Segura","Nelson Cruz","Jose Bautista","Jason Heyward"
"3","Robbie Ray","Jeff Samardzija","Russell Martin","Justin Smoak","Devon Travis","Jake Lamb","Troy Tulowitzki","Adam Duvall","Marcell Ozuna","Ezequiel Carrera"
"4","Robbie Ray","Dinelson Lamet","Brian McCann","Danny Valencia","Rougned Odor","Adrian Beltre","Elvis Andrus","Nelson Cruz","Nomar Mazara","Shin-Soo Choo"
"5","Chris Sale","Asher Wojciechowski","Francisco Cervelli","Danny Valencia","Robinson Cano","Kyle Seager","Alcides Escobar","Aaron Judge","Nelson Cruz","Guillermo Heredia"
"6","Robbie Ray","Asher Wojciechowski","Gary Sanchez","Matt Holliday","Starlin Castro","Jake Lamb","Didi Gregorius","Aaron Judge","Adam Duvall","Marcell Ozuna"
"7","Jeff Samardzija","Dinelson Lamet","Jett Bandy","Joey Votto","Jose Peraza","Jake Lamb","Zack Cozart","Billy Hamilton","Adam Duvall","Marcell Ozuna"
"8","Justin Verlander","Dinelson Lamet","Brian McCann","Danny Valencia","Robinson Cano","Kyle Seager","Jean Segura","Nelson Cruz","Steven Souza","Ezequiel Carrera"
"9","Robbie Ray","Dinelson Lamet","Gary Sanchez","Joe Mauer","Brian Dozier","Adrian Beltre","Jorge Polanco","Nelson Cruz","Max Kepler","Robbie Grossman"
"10","Robbie Ray","Asher Wojciechowski","JT Realmuto","Justin Bour","Jonathan Villar","Jake Lamb","Jean Segura","Giancarlo Stanton","Marcell Ozuna","Christian Yelich"
"11","Justin Verlander","Asher Wojciechowski","Jonathan Lucroy","Buster Posey","Rougned Odor","Adrian Beltre","Elvis Andrus","Nelson Cruz","Adam Duvall","Nomar Mazara"
"12","Robbie Ray","Dinelson Lamet","Mike Zunino","Logan Morrison","Robinson Cano","Kyle Seager","Elvis Andrus","Nelson Cruz","Adam Duvall","Guillermo Heredia"
"13","Chris Sale","Dinelson Lamet","Russell Martin","Justin Smoak","Devon Travis","Adrian Beltre","Troy Tulowitzki","Nelson Cruz","Seth Smith","Ezequiel Carrera"
"14","Robbie Ray","Dinelson Lamet","Gary Sanchez","Matt Holliday","Starlin Castro","Adrian Beltre","Alcides Escobar","Aaron Judge","Nelson Cruz","Brett Gardner"
"15","Chris Sale","Asher Wojciechowski","Francisco Cervelli","Josh Bell","Josh Harrison","David Freese","Jordy Mercer","Nelson Cruz","Adam Duvall","Justin Upton"
"16","Jeff Samardzija","Dinelson Lamet","Chris Herrmann","Paul Goldschmidt","Brandon Drury","Jake Lamb","Elvis Andrus","Adam Duvall","Marcell Ozuna","Yasmany Tomas"
"17","Chris Sale","Dinelson Lamet","Brian McCann","Danny Valencia","Devon Travis","Josh Donaldson","Troy Tulowitzki","Adam Duvall","Kevin Pillar","Ezequiel Carrera"
"18","Chris Sale","Asher Wojciechowski","JT Realmuto","Justin Bour","Cliff Pennington","Derek Dietrich","Elvis Andrus","Adam Duvall","Marcell Ozuna","Christian Yelich"
"19","Jeff Samardzija","Vince Velasquez","Jett Bandy","Danny Valencia","Robinson Cano","Kyle Seager","Jordy Mercer","Nelson Cruz","Adam Duvall","Guillermo Heredia"
"20","Chris Sale","Asher Wojciechowski","Yasmani Grandal","Danny Valencia","Logan Forsythe","Adrian Beltre","Elvis Andrus","Nomar Mazara","Shin-Soo Choo","Delino DeShields"
"21","Gio Gonzalez","Vince Velasquez","Jesus Sucre","Danny Valencia","Robinson Cano","Kyle Seager","Jean Segura","Nelson Cruz","Aaron Altherr","Josh Reddick"
"22","Jeff Samardzija","Dinelson Lamet","Francisco Cervelli","Matt Holliday","Starlin Castro","Josh Donaldson","Didi Gregorius","Aaron Judge","Nelson Cruz","Aaron Hicks"
"23","Robbie Ray","Dinelson Lamet","Jesus Sucre","Logan Morrison","Robinson Cano","Jake Lamb","Tim Beckham","Adam Duvall","Steven Souza","Colby Rasmus"
"24","Robbie Ray","Dinelson Lamet","Cameron Rupp","Tommy Joseph","Cesar Hernandez","Jake Lamb","Elvis Andrus","Adam Duvall","Aaron Altherr","Howie Kendrick"
