"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,761419252,"GabrielErickson",0,268.4,"OF Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer C Evan Gattis P David Paulino SS Carlos Correa 3B Alex Bregman",NA,"Dan Straily","79.91%",31
2,761330886,"Ericob12",0,266.4,"OF Marwin González 2B Brian Dozier P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer C Evan Gattis P David Paulino SS Carlos Correa 3B Alex Bregman",NA,"George Springer","65.78%",42
2,761351635,"exit9",0,266.4,"OF Marwin González 2B Brian Dozier P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer C Evan Gattis P David Paulino SS Carlos Correa 3B Alex Bregman",NA,"Carlos Correa","56.32%",26
4,761267866,"llopez",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Marwin González","55.37%",25
4,761390766,"FSUSWIMMGK (1/9)",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Aaron Nola","53.88%",3.15
4,761400808,"FSUSWIMMGK (6/9)",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"José Altuve","51.22%",11
4,761400829,"FSUSWIMMGK (7/9)",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Evan Gattis","50.27%",33
4,761425485,"koolkullum",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Justin Bour","49.42%",30
4,761443217,"jgbuilderinc",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Marcell Ozuna","43.46%",26
4,761443788,"Mawds",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"David Paulino","39.96%",17.4
4,761446722,"blowjobbles (7/25)",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Robbie Grossman","29.44%",0
4,761454788,"smw326 (3/12)",0,263.4,"3B Marwin González 2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Max Kepler","28.80%",8
13,761444237,"Bagleysue",0,261.4,"3B Marwin González 2B Brian Dozier P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa",NA,"Christian Yelich","27.84%",14
14,761373344,"EMMAKENSI",0,257.4,"2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa 3B Alex Bregman",NA,"Brian Dozier","26.35%",17
14,761394484,"justonce04 (1/2)",0,257.4,"2B Dee Gordon P Dan Straily 1B Justin Bour OF Marcell Ozuna OF George Springer OF Christian Yelich C Evan Gattis P David Paulino SS Carlos Correa 3B Alex Bregman",NA,"Alex Bregman","25.61%",19
