"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Charlie Blackmon",5600,"COL@SD 04:10PM ET",10.561,"COL","SD",9.69,8.3,8.52,NA,"1","1",12
"OF","George Springer",5500,"HOU@TEX 07:15PM ET",9.36,"HOU","TEX",9,9,10,NA,"1","1",10
"SS","Carlos Correa",5500,"HOU@TEX 07:15PM ET",9.551,"HOU","TEX",8.96,9.2,9.55,NA,"4","4",7
"OF","Aaron Judge",5400,"NYY@TOR 01:07PM ET",11.52,"NYY","TOR",8.61,8.5,9,NA,"3","3",9
"OF","Bryce Harper",5400,"WAS@OAK 04:05PM ET",11.34,"WAS","OAK",NA,0,NA,NA,"x","x",NA
"2B","Jose Altuve",5400,"HOU@TEX 07:15PM ET",9.611,"HOU","TEX",10.47,9.6,10.48,NA,"3","3",22
"OF","Adam Duvall",5400,"ATL@CIN 04:10PM ET",9.269,"CIN","ATL",8.01,9.2,9.57,NA,"4","4",14
"OF","Corey Dickerson",5300,"TB@SEA 10:10PM ET",9.717,"TB","SEA",8.1,8.5,8.64,NA,"1","1",14
"OF","Mookie Betts",5200,"BOS@BAL 07:15PM ET",9.314,"BOS","BAL",8.65,9.5,9.97,NA,"1","1",12
"1B","Joey Votto",5200,"ATL@CIN 04:10PM ET",10.019,"CIN","ATL",10.08,10.1,10.56,NA,"3","3",19
"1B","Paul Goldschmidt",5200,"ARI@MIA 04:10PM ET",11.158,"ARI","MIA",9.6,8.7,9.59,NA,"3","3",0
"OF","JD Martinez",5100,"CWS@DET 04:10PM ET",11.55,"DET","CWS",8.52,8.8,9.67,NA,"5","5",0
"OF","Steven Souza",5100,"TB@SEA 10:10PM ET",8.588,"TB","SEA",NA,6.9,7.3,NA,"5","5",0
"3B","Jake Lamb",5100,"ARI@MIA 04:10PM ET",10.226,"ARI","MIA",9.71,7.5,8.01,NA,"4","4",2
"1B","Ryan Zimmerman",5000,"WAS@OAK 04:05PM ET",10.647,"WAS","OAK",9.5,7.7,8.52,NA,"4","4",9
"OF","Matt Kemp",5000,"ATL@CIN 04:10PM ET",9.952,"ATL","CIN",9.16,9.1,8.63,NA,"4","4",5
"OF","Billy Hamilton",5000,"ATL@CIN 04:10PM ET",9.52,"CIN","ATL",8.75,9.6,10.34,NA,"1","1",3
"OF","Marcell Ozuna",5000,"ARI@MIA 04:10PM ET",9.226,"MIA","ARI",7.02,7,8.01,NA,"4","4",8
"3B","Nolan Arenado",5000,"COL@SD 04:10PM ET",9.018,"COL","SD",9.8,7,8.2,NA,"3","3",21
"OF","Jackie Bradley",4900,"BOS@BAL 07:15PM ET",7.324,"BOS","BAL",6.09,7.9,7.03,NA,"6","6",5
"SS","Xander Bogaerts",4900,"BOS@BAL 07:15PM ET",8.64,"BOS","BAL",6.74,7.6,8.44,NA,"3","3",13
"1B","Justin Bour",4900,"ARI@MIA 04:10PM ET",8.849,"MIA","ARI",7.65,7.3,7.9,NA,"5","5",12
"OF","Giancarlo Stanton",4900,"ARI@MIA 04:10PM ET",9.288,"MIA","ARI",8.07,8.1,8.99,NA,"2","2",11
"OF","Brett Gardner",4800,"NYY@TOR 01:07PM ET",9.438,"NYY","TOR",8.06,7.9,7.88,NA,"1","1",14
"1B","Logan Morrison",4800,"TB@SEA 10:10PM ET",8.278,"TB","SEA",7.01,7.7,7.64,NA,"4","4",14
"3B","Evan Longoria",4800,"TB@SEA 10:10PM ET",7.436,"TB","SEA",7.64,7.4,8.31,NA,"3","3",9
"SS","Zack Cozart",4800,"ATL@CIN 04:10PM ET",9.375,"CIN","ATL",7.54,8.6,8.99,NA,"2","2",6
"SS","Francisco Lindor",4700,"CLE@KC 02:15PM ET",9.038,"CLE","KC",8.89,8.7,9.31,NA,"2","2",0
"1B","Anthony Rizzo",4700,"STL@CHC 02:20PM ET",8.83,"CHC","STL",9.5,10.1,9.23,NA,"3","3",0
"C","Gary Sanchez",4700,"NYY@TOR 01:07PM ET",8.107,"NYY","TOR",NA,0,1.91,NA,"x","x",NA
"3B","Josh Donaldson",4700,"NYY@TOR 01:07PM ET",9.4,"TOR","NYY",10.1,10.1,10.21,NA,"2","2",2
"OF","Ryan Braun",4700,"LAD@MIL 04:10PM ET",8.581,"MIL","LAD",NA,0,NA,NA,"x","x",NA
"OF","Michael Conforto",4700,"PIT@NYM 07:15PM ET",9.857,"NYM","PIT",9.97,8.9,8.85,NA,"1","1",6
"2B","Dee Gordon",4700,"ARI@MIA 04:10PM ET",7.865,"MIA","ARI",7.37,8.1,8.68,NA,"1","1",3
"OF","Jose Bautista",4600,"NYY@TOR 01:07PM ET",8.218,"TOR","NYY",8.87,8.8,9.42,NA,"3","3",0
"3B","Miguel Sano",4600,"MIN@LAA 10:07PM ET",9.918,"MIN","LAA",7.16,7.6,8.26,NA,"4","4",3
"1B/OF","Cody Bellinger",4600,"LAD@MIL 04:10PM ET",9.649,"LAD","MIL",7.8,10.2,8.23,NA,"5","5",19
"SS","Elvis Andrus",4600,"HOU@TEX 07:15PM ET",8.926,"TEX","HOU",5.87,7.4,8.24,NA,"2","2",28
"3B/OF","Marwin Gonzalez",4600,"HOU@TEX 07:15PM ET",8.622,"HOU","TEX",5.91,7.3,1.87,NA,"8","6",13
"OF","Shin-Soo Choo",4600,"HOU@TEX 07:15PM ET",7.833,"TEX","HOU",6.3,7.9,8.33,NA,"1","1",5
"2B/3B","Jose Ramirez",4500,"CLE@KC 02:15PM ET",8.038,"CLE","KC",7.04,7.8,8.22,NA,"6","6",13
"3B","Kris Bryant",4500,"STL@CHC 02:20PM ET",9.385,"CHC","STL",8.97,9.6,9.46,NA,"2","2",2
"OF","Mark Trumbo",4500,"BOS@BAL 07:15PM ET",7.755,"BAL","BOS",7.42,7.6,7.91,NA,"4","4",5
"OF","Aaron Hicks",4500,"NYY@TOR 01:07PM ET",9.833,"NYY","TOR",6.4,7.8,7.82,NA,"7","2",9
"1B","Kendrys Morales",4500,"NYY@TOR 01:07PM ET",7.882,"TOR","NYY",8.04,8.4,8.6,NA,"4","4",0
"1B","Matt Holliday",4500,"NYY@TOR 01:07PM ET",7.922,"NYY","TOR",7.15,7.3,7.83,NA,"4","4",14
"OF","Mike Trout",4500,"MIN@LAA 10:07PM ET",12.02,"LAA","MIN",NA,0,NA,NA,"x","x",NA
"OF","Domingo Santana",4500,"LAD@MIL 04:10PM ET",7.98,"MIL","LAD",6.64,7,6.89,NA,"2","2",11
"3B","Joey Gallo",4500,"HOU@TEX 07:15PM ET",8.472,"TEX","HOU",6.34,6.8,7.15,NA,"7","7",0
"OF","Kevin Kiermaier",4500,"TB@SEA 10:10PM ET",7.632,"TB","SEA",6.91,7.7,8.43,NA,"2","2",0
"OF","Nelson Cruz",4500,"TB@SEA 10:10PM ET",8.255,"SEA","TB",8.76,7.2,9.11,NA,"4","4",24
"1B","Freddie Freeman",4500,"ATL@CIN 04:10PM ET",12.514,"ATL","CIN",NA,0,NA,NA,"x","x",NA
"OF","AJ Pollock",4500,"ARI@MIA 04:10PM ET",9.135,"ARI","MIA",NA,0,NA,NA,"x","x",NA
"1B","Mark Reynolds",4500,"COL@SD 04:10PM ET",9.056,"COL","SD",NA,NA,NA,NA,"4","x",NA
"2B","Daniel Murphy",4400,"WAS@OAK 04:05PM ET",9.62,"WAS","OAK",9.59,9.3,9.1,NA,"3","3",15
"SS","Trea Turner",4400,"WAS@OAK 04:05PM ET",9.372,"WAS","OAK",9.79,10.3,10.27,NA,"1","1",0
"2B","Brian Dozier",4400,"MIN@LAA 10:07PM ET",8.702,"MIN","LAA",7.69,8.1,8.98,NA,"1","1",3
"1B","Eric Thames",4400,"LAD@MIL 04:10PM ET",10.02,"MIL","LAD",6,0,7.92,NA,"x","x",NA
"3B","Alex Bregman",4400,"HOU@TEX 07:15PM ET",6.673,"HOU","TEX",5.74,7.1,7.65,NA,"9","8",2
"C","Evan Gattis",4400,"HOU@TEX 07:15PM ET",7.25,"HOU","TEX",7.25,0,8.23,NA,"x","x",NA
"OF","Carlos Beltran",4400,"HOU@TEX 07:15PM ET",6.553,"HOU","TEX",7.12,8,8.57,NA,"5","5",24
"OF","Scott Schebler",4400,"ATL@CIN 04:10PM ET",8.314,"CIN","ATL",7.56,8.4,8.58,NA,"6","6",0
"2B","Neil Walker",4400,"PIT@NYM 07:15PM ET",7.686,"NYM","PIT",8.26,7.5,8.22,NA,"4","4",21
"2B","Ian Kinsler",4300,"CWS@DET 04:10PM ET",7.073,"DET","CWS",NA,0,NA,NA,"x","x",NA
"OF","Michael Brantley",4300,"CLE@KC 02:15PM ET",8.326,"CLE","KC",8.26,8.8,9.43,NA,"3","3",5
"OF","Adam Jones",4300,"BOS@BAL 07:15PM ET",7.52,"BAL","BOS",7.33,7.4,7.84,NA,"2","2",2
"2B","Dustin Pedroia",4300,"BOS@BAL 07:15PM ET",6.756,"BOS","BAL",NA,0,NA,NA,"x","x",NA
"1B","Hanley Ramirez",4300,"BOS@BAL 07:15PM ET",6.956,"BOS","BAL",6.94,7.6,8.24,NA,"4","5",25
"1B","Mitch Moreland",4300,"BOS@BAL 07:15PM ET",7.385,"BOS","BAL",7.06,7.6,7.34,NA,"5","4",0
"3B","Travis Shaw",4300,"LAD@MIL 04:10PM ET",8.898,"MIL","LAD",5.44,6.4,7.15,NA,"4","4",33
"SS","Corey Seager",4300,"LAD@MIL 04:10PM ET",8.109,"LAD","MIL",9.27,10.9,8.83,NA,"2","2",10
"OF","Nomar Mazara",4300,"HOU@TEX 07:15PM ET",7.902,"TEX","HOU",6.13,7.3,7.82,NA,"3","3",2
"OF","Josh Reddick",4300,"HOU@TEX 07:15PM ET",7.22,"HOU","TEX",7.1,9.8,9.77,NA,"2","2",4
"2B","Robinson Cano",4300,"TB@SEA 10:10PM ET",8.745,"SEA","TB",9.81,8.1,8.86,NA,"3","3",0
"2B","Jose Peraza",4300,"ATL@CIN 04:10PM ET",7.1,"CIN","ATL",6.38,7.6,7.82,NA,"7","7",18
"OF","Yoenis Cespedes",4300,"PIT@NYM 07:15PM ET",9.278,"NYM","PIT",NA,0,NA,NA,"x","x",NA
"1B","Lucas Duda",4300,"PIT@NYM 07:15PM ET",8.788,"NYM","PIT",7.79,8.2,1.96,NA,"5","5",8
"1B/C","Buster Posey",4300,"SF@PHI 04:05PM ET",7.933,"SF","PHI",8.12,9.7,8.93,NA,"4","4",5
"2B/OF","Ben Zobrist",4200,"STL@CHC 02:20PM ET",6.457,"CHC","STL",6.94,7.6,7.76,NA,"4","4",0
"1B","Justin Smoak",4200,"NYY@TOR 01:07PM ET",8.056,"TOR","NYY",7.99,7.4,8.02,NA,"5","5",2
"3B","Adrian Beltre",4200,"HOU@TEX 07:15PM ET",11.25,"TEX","HOU",6.18,7,1.73,NA,"4","4",12
"OF","Starling Marte",4200,"PIT@NYM 07:15PM ET",7.769,"PIT","NYM",NA,0,NA,NA,"x","x",NA
"OF","Hunter Pence",4200,"SF@PHI 04:05PM ET",5.649,"SF","PHI",NA,0,NA,NA,"x","x",NA
"OF/SS","Chris Owings",4200,"ARI@MIA 04:10PM ET",7.778,"ARI","MIA",NA,NA,NA,NA,"5","x",NA
"OF","David Dahl",4200,"COL@SD 04:10PM ET",0,"COL","SD",NA,0,NA,NA,"x","x",NA
"2B","Jason Kipnis",4100,"CLE@KC 02:15PM ET",6.946,"CLE","KC",8.31,8.8,9.14,NA,"1","1",5
"1B","Carlos Santana",4100,"CLE@KC 02:15PM ET",7.698,"CLE","KC",7.99,8.4,8.65,NA,"4","4",23
"1B","Edwin Encarnacion",4100,"CLE@KC 02:15PM ET",7.135,"CLE","KC",8.69,8.7,8.58,NA,"5","5",0
"1B","Chris Davis",4100,"BOS@BAL 07:15PM ET",7.462,"BAL","BOS",5.66,7.3,7.6,NA,"5","5",3
"2B","Devon Travis",4100,"NYY@TOR 01:07PM ET",7.083,"TOR","NYY",5.25,7.2,7.45,NA,"8","7",0
"1B/2B","Chase Utley",4100,"LAD@MIL 04:10PM ET",5.277,"LAD","MIL",6.38,7.4,6.64,NA,"6","1",5
"2B/3B","Logan Forsythe",4100,"LAD@MIL 04:10PM ET",5.24,"LAD","MIL",NA,NA,NA,NA,"1","x",NA
"2B","Chris Taylor",4100,"LAD@MIL 04:10PM ET",7.293,"LAD","MIL",NA,6.8,1.75,NA,"7","6",44
"SS","Jean Segura",4100,"TB@SEA 10:10PM ET",9.233,"SEA","TB",NA,0,NA,NA,"x","x",NA
"OF","Andrew McCutchen",4100,"PIT@NYM 07:15PM ET",7.245,"PIT","NYM",7.1,7.7,8.43,NA,"6","6",4
"1B/OF","Jay Bruce",4100,"PIT@NYM 07:15PM ET",8.56,"NYM","PIT",9.96,8.3,8.55,NA,"3","3",14
"1B/OF","Brandon Belt",4100,"SF@PHI 04:05PM ET",7.741,"SF","PHI",8.12,9.3,9.29,NA,"3","3",9
"OF","Hunter Renfroe",4100,"COL@SD 04:10PM ET",6.764,"SD","COL",6.92,6.5,1.72,NA,"5","4",0
"SS","Trevor Story",4100,"COL@SD 04:10PM ET",6.841,"COL","SD",7.16,5.7,6.79,NA,"7","7",3
"1B","Miguel Cabrera",4000,"CWS@DET 04:10PM ET",7.476,"DET","CWS",9.41,9.5,10.14,NA,"3","3",8
"2B","Whit Merrifield",4000,"CLE@KC 02:15PM ET",7.73,"KC","CLE",5.14,5.6,5.99,NA,"8","8",11
"2B","Jonathan Schoop",4000,"BOS@BAL 07:15PM ET",7.412,"BAL","BOS",5.6,5.8,6.24,NA,"7","7",2
"C","Russell Martin",4000,"NYY@TOR 01:07PM ET",7.091,"TOR","NYY",NA,0,1.74,NA,"x","x",NA
"OF","Khris Davis",4000,"WAS@OAK 04:05PM ET",8.154,"OAK","WAS",7.6,7.3,8.42,NA,"4","4",5
"3B","Anthony Rendon",4000,"WAS@OAK 04:05PM ET",9.039,"WAS","OAK",NA,NA,NA,NA,"5","x",NA
"3B","Justin Turner",4000,"LAD@MIL 04:10PM ET",8.35,"LAD","MIL",NA,0,NA,NA,"x","x",NA
"3B","Kyle Seager",4000,"TB@SEA 10:10PM ET",6.736,"SEA","TB",7.66,7.5,7.81,NA,"5","5",0
"OF","Ender Inciarte",4000,"ATL@CIN 04:10PM ET",8.481,"ATL","CIN",7.49,8.7,8.15,NA,"1","1",0
"3B","Ryan Schimpf",4000,"COL@SD 04:10PM ET",6.76,"SD","COL",NA,NA,NA,NA,"4","x",NA
"OF","Gerardo Parra",4000,"COL@SD 04:10PM ET",6.149,"COL","SD",6.44,6.3,1.56,NA,"x","6",12
"OF","Melky Cabrera",3900,"CWS@DET 04:10PM ET",7.06,"CWS","DET",7.38,7.5,8.36,NA,"2","2",0
"1B","Jose Abreu",3900,"CWS@DET 04:10PM ET",8.269,"CWS","DET",8.05,8.8,9.26,NA,"3","3",3
"3B","Mike Moustakas",3900,"CLE@KC 02:15PM ET",8.021,"KC","CLE",6.6,8,7.63,NA,"2","2",16
"2B","Starlin Castro",3900,"NYY@TOR 01:07PM ET",8.365,"NYY","TOR",7.22,6.8,6.9,NA,"5","5",21
"1B","Yonder Alonso",3900,"WAS@OAK 04:05PM ET",9,"OAK","WAS",7.5,7.1,7.61,NA,"6","5",27
"1B","Albert Pujols",3900,"MIN@LAA 10:07PM ET",7.392,"LAA","MIN",6.92,7.1,8.24,NA,"3","3",22
"1B","Joe Mauer",3900,"MIN@LAA 10:07PM ET",7.422,"MIN","LAA",5.45,6.7,7.26,NA,"3","3",5
"OF","Cameron Maybin",3900,"MIN@LAA 10:07PM ET",8.422,"LAA","MIN",NA,0,NA,NA,"x","x",NA
"OF","Joc Pederson",3900,"LAD@MIL 04:10PM ET",5.389,"LAD","MIL",NA,0,NA,NA,"x","x",NA
"2B/OF","Adam Frazier",3900,"PIT@NYM 07:15PM ET",7.486,"PIT","NYM",8.36,7.6,7.66,NA,"1","1",5
"OF","Gregory Polanco",3900,"PIT@NYM 07:15PM ET",6.976,"PIT","NYM",7.96,7.6,1.89,NA,"3","3",2
