"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Chris Sale",12800,"BOS@BAL 01:35PM ET",29.791,"BOS","BAL",28.73,25.4,25.6265,NA,25.3
"SP","Justin Verlander",9600,"CWS@DET 01:10PM ET",15.455,"DET","CWS",26.05,19.3,23.4445,NA,1.1
"SP","Luis Severino",9100,"NYY@TOR 01:07PM ET",21.18,"NYY","TOR",19.81,16.2,14.389,NA,20.95
"SP","Tanner Roark",8700,"WAS@OAK 04:05PM ET",15.527,"WAS","OAK",16.66,15.3,15.3775,NA,17.65
"SP","Marcus Stroman",8400,"NYY@TOR 01:07PM ET",15.758,"TOR","NYY",20.33,14,17.8265,NA,13.9
"SP","Trevor Bauer",8200,"CLE@KC 02:15PM ET",17.085,"CLE","KC",18.95,19,15.382,NA,1.95
"SP","Matt Moore",8100,"SF@PHI 01:35PM ET",12.005,"SF","PHI",20.61,18.5,15.343,NA,-1.8
"SP","Jose Berrios",8000,"MIN@LAA 03:37PM ET",23.75,"MIN","LAA",15.85,17.4,11.571,NA,16.1
"SP","Julio Teheran",7900,"ATL@CIN 01:10PM ET",9.111,"ATL","CIN",16.62,13.3,15.5115,NA,1.45
"SP","Kyle Hendricks",7800,"STL@CHC 07:38PM ET",13.85,"CHC","STL",18.33,15.7,17.37,NA,2.8
"SP","Sonny Gray",7600,"WAS@OAK 04:05PM ET",14.242,"OAK","WAS",13.11,13.4,16.02,NA,17.55
"SP","Kenta Maeda",7400,"LAD@MIL 02:10PM ET",13.661,"LAD","MIL",19.69,17,17.746,NA,15.4
"SP","Ariel Miranda",7000,"TB@SEA 04:10PM ET",13.021,"SEA","TB",17.39,12.5,15.877,NA,39.75
"SP","Jeremy Hellickson",6900,"SF@PHI 01:35PM ET",9.045,"PHI","SF",15.28,11.2,12.789,NA,9.2
"SP","Ricky Nolasco",6800,"MIN@LAA 03:37PM ET",12.723,"LAA","MIN",14.38,13.1,16.113,NA,15.95
"SP","Michael Wacha",6700,"STL@CHC 07:38PM ET",14.617,"STL","CHC",15.14,13.7,13.025,NA,1.75
"SP","Chris Tillman",6300,"BOS@BAL 01:35PM ET",6.27,"BAL","BOS",14.71,8,11.946,NA,7.5
"SP","Jeff Hoffman",6300,"COL@SD 04:40PM ET",18.517,"COL","SD",18.32,18.2,12.862,NA,33.95
"SP","Zach Davies",6200,"LAD@MIL 02:10PM ET",9.527,"MIL","LAD",12.49,13.5,14.405,NA,27.1
"SP","Eric Skoglund",5900,"CLE@KC 02:15PM ET",26.45,"KC","CLE",12.94,9.5,9.329,NA,-3.1
"SP","Erasmo Ramirez",5800,"TB@SEA 04:10PM ET",5.947,"TB","SEA",13.88,11.3,12.022,NA,7.7
"SP","Brad Peacock",5600,"HOU@TEX 03:05PM ET",8.1,"HOU","TEX",13.23,13.8,12.428,NA,27.9
"RP","Tyler Pill",5500,"PIT@NYM 01:10PM ET",4.85,"NYM","PIT",16.29,12.5,9.516,NA,8.45
"SP","Braden Shipley",5300,"ARI@MIA 01:10PM ET",0.4,"ARI","MIA",13.66,13.1,10.62,NA,3.25
"SP","Martin Perez",5100,"HOU@TEX 03:05PM ET",11.223,"TEX","HOU",12.38,10.6,9.819,NA,-3.75
"RP","Trevor Williams",5000,"PIT@NYM 01:10PM ET",6.105,"PIT","NYM",13.94,10.7,9.686,NA,18.35
"SP","Amir Garrett",4800,"ATL@CIN 01:10PM ET",10.756,"CIN","ATL",15.12,15.8,17.848,NA,-13.4
"SP","Vance Worley",4500,"ARI@MIA 01:10PM ET",4.833,"MIA","ARI",13.21,12.6,13.028,NA,2.85
"SP","David Holmberg",4300,"CWS@DET 01:10PM ET",3.739,"CWS","DET",8.94,8.6,9.274,NA,5.25
"SP","Jarred Cosart",4200,"COL@SD 04:40PM ET",3.7,"SD","COL",12.56,7.8,11.267,NA,7.6
