"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Paul Goldschmidt",5500,"SD@ARI 09:40PM ET",11.051,"ARI","SD",9.98,9.8,11.37,NA,"3","3",8
"OF","Bryce Harper",5400,"WAS@LAD 10:10PM ET",11.286,"WAS","LAD",10.35,9.8,10.17,NA,"3","3",9
"3B","Jake Lamb",5100,"SD@ARI 09:40PM ET",10.018,"ARI","SD",9.79,9.1,9.35,NA,"4","4",18
"1B","Ryan Zimmerman",5000,"WAS@LAD 10:10PM ET",10.796,"WAS","LAD",8.48,6.8,8.27,NA,"4","4",0
"OF","Nelson Cruz",4900,"MIN@SEA 10:10PM ET",8.754,"SEA","MIN",10.24,8.8,9.79,NA,"4","4",9
"SS","Trea Turner",4900,"WAS@LAD 10:10PM ET",9.543,"WAS","LAD",8.8,8.7,10.02,NA,"1","1",17
"2B","Daniel Murphy",4800,"WAS@LAD 10:10PM ET",9.528,"WAS","LAD",8.57,7.7,8.35,NA,"5","5",5
"3B","Josh Donaldson",4700,"TOR@OAK 10:05PM ET",9.222,"TOR","OAK",8.38,7.7,9.03,NA,"2","2",8
"3B","Miguel Sano",4700,"MIN@SEA 10:10PM ET",9.961,"MIN","SEA",7.77,6.9,8.2,NA,"4","3",10
"OF","AJ Pollock",4500,"SD@ARI 09:40PM ET",9.135,"ARI","SD",NA,0,2.21,NA,"x","x",NA
"1B","Yonder Alonso",4400,"TOR@OAK 10:05PM ET",9.313,"OAK","TOR",7.54,6,6.68,NA,"5","5",0
"SS","Jean Segura",4400,"MIN@SEA 10:10PM ET",9.233,"SEA","MIN",NA,NA,NA,NA,"1","x",NA
"1B","Justin Smoak",4300,"TOR@OAK 10:05PM ET",8.246,"TOR","OAK",7.45,7,7.24,NA,"5","5",2
"2B","Robinson Cano",4300,"MIN@SEA 10:10PM ET",8.388,"SEA","MIN",7.28,8.1,9.02,NA,"3","3",29
"3B","Anthony Rendon",4300,"WAS@LAD 10:10PM ET",9.132,"WAS","LAD",7.53,7.3,7.66,NA,"2","6",5
"1B/OF","Cody Bellinger",4200,"WAS@LAD 10:10PM ET",9.6,"LAD","WAS",6.24,7.1,7.62,NA,"5","5",0
"OF","Max Kepler",4100,"MIN@SEA 10:10PM ET",7.824,"MIN","SEA",4.89,6.3,1.72,NA,"x","5",5
"OF","Michael Taylor",4100,"WAS@LAD 10:10PM ET",6.378,"WAS","LAD",5.86,5.6,1.74,NA,"8","8",0
"2B/OF","Chris Taylor",4100,"WAS@LAD 10:10PM ET",7.955,"LAD","WAS",NA,4.8,1.73,NA,"7","6",8
"OF","Jose Bautista",4000,"TOR@OAK 10:05PM ET",7.793,"TOR","OAK",8.32,7,8.49,NA,"3","3",5
"OF","David Peralta",4000,"SD@ARI 09:40PM ET",7,"ARI","SD",8.13,9.3,9.43,NA,"2","2",4
"OF/SS","Chris Owings",4000,"SD@ARI 09:40PM ET",7.536,"ARI","SD",7.53,7.2,8.89,NA,"6","5",22
"1B/3B","Ryon Healy",3900,"TOR@OAK 10:05PM ET",7.786,"OAK","TOR",5.93,5.7,6.53,NA,"6","6",7
"SS","Nick Ahmed",3900,"SD@ARI 09:40PM ET",6.024,"ARI","SD",NA,0,1.72,NA,"x","x",NA
"3B/C","Russell Martin",3800,"TOR@OAK 10:05PM ET",6.882,"TOR","OAK",NA,NA,NA,NA,"7","x",NA
"1B","Kendrys Morales",3800,"TOR@OAK 10:05PM ET",7.63,"TOR","OAK",7.52,7.3,7.8,NA,"4","4",3
"OF","Khris Davis",3800,"TOR@OAK 10:05PM ET",8.455,"OAK","TOR",8.07,7,7.6,NA,"4","4",11
"1B","Joe Mauer",3800,"MIN@SEA 10:10PM ET",7.213,"MIN","SEA",5.61,6.4,6.47,NA,"2","2",8
"1B","Wil Myers",3800,"SD@ARI 09:40PM ET",8.386,"SD","ARI",7.26,8.9,9.2,NA,"3","3",3
"OF","Adam Eaton",3800,"WAS@LAD 10:10PM ET",10.13,"WAS","LAD",NA,0,NA,NA,"x","x",NA
"2B","Jed Lowrie",3700,"TOR@OAK 10:05PM ET",7.582,"OAK","TOR",6.1,5.9,6.79,NA,"3","3",10
"1B","Danny Valencia",3700,"MIN@SEA 10:10PM ET",6.846,"SEA","MIN",7.78,7.9,8.36,NA,"2","2",17
