"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,764900646,"mnraul22",0,176.85,"2B Robinson Canó OF Nelson Cruz P Max Scherzer 1B Danny Valencia C Stephen Vogt 3B Kyle Seager P Jesse Hahn OF Max Kepler SS Trea Turner OF Guillermo Heredia",NA,"James Paxton","72.59%",12.45
2,764836541,"Reneashleyc (2/10)",0,175.85,"2B Robinson Canó OF Rajai Davis OF Nelson Cruz P Max Scherzer 1B Danny Valencia OF Khris Davis C Matt Wieters 3B Kyle Seager P Jesse Hahn SS Trea Turner",NA,"Max Scherzer","55.10%",44.75
3,764912999,"dalogger (3/3)",0,173.85,"2B Robinson Canó OF Nelson Cruz P Max Scherzer 1B Danny Valencia OF Khris Davis C Matt Wieters OF Robbie Grossman 3B Kyle Seager P Jesse Hahn SS Taylor Motter",NA,"Nelson Cruz","50.49%",9
4,764883408,"GetSnuggled (14/20)",0,173.7,"2B Robinson Canó P Marco Estrada P Max Scherzer 1B Danny Valencia OF Robbie Grossman SS Eduardo Escobar 3B Kyle Seager C Mike Zunino OF Byron Buxton OF Guillermo Heredia",NA,"Marco Estrada","38.73%",15.95
5,764543406,"SadSoxFan (5/20)",0,173.2,"2B Robinson Canó OF Rajai Davis P Max Scherzer 1B Danny Valencia OF Khris Davis C Stephen Vogt P James Paxton 3B Kyle Seager SS Taylor Motter OF Guillermo Heredia",NA,"Kevin Pillar","34.45%",3
6,764586420,"gfay63 (7/20)",0,171.2,"2B Robinson Canó OF Rajai Davis P Max Scherzer 1B Danny Valencia OF Khris Davis P James Paxton 3B Kyle Seager C Mike Zunino OF Mark Canha SS Taylor Motter",NA,"Danny Valencia","31.20%",17
7,764805348,"Mewsanity (2/2)",0,169.5,"2B Robinson Canó OF Nelson Cruz P Brandon McCarthy C Chris Gimenez P Max Scherzer 1B Danny Valencia OF Khris Davis 3B Kyle Seager OF Brian Goodwin SS Taylor Motter",NA,"Kyle Seager","29.20%",25
8,764567268,"Hosehead01",0,169.2,"2B Robinson Canó OF Rajai Davis P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Kevin Pillar SS Trea Turner OF Guillermo Heredia",NA,"José Bautista","28.86%",5
8,764604628,"cjgasch (1/2)",0,169.2,"2B Robinson Canó OF Rajai Davis P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Kevin Pillar SS Trea Turner OF Guillermo Heredia",NA,"Bryce Harper","28.28%",9
8,764604662,"cjgasch (2/2)",0,169.2,"2B Robinson Canó OF Rajai Davis P Max Scherzer 1B Danny Valencia C Stephen Vogt P James Paxton 3B Kyle Seager OF Kevin Pillar SS Trea Turner OF Guillermo Heredia",NA,"Robinson Canó","27.94%",29
