P,P,C,1B,2B,3B,SS,OF,OF,OF
Max Scherzer,Chris Archer,Martin Maldonado,CJ Cron,Danny Espinosa,Yunel Escobar,Asdrubal Cabrera,Michael Brantley,Carlos Gonzalez,Eric Young
Chris Archer,Aaron Nola,Martin Maldonado,Carlos Santana,Jose Ramirez,Yunel Escobar,Francisco Lindor,Michael Brantley,Bradley Zimmer,Carlos Gonzalez
Max Scherzer,Aaron Nola,Salvador Perez,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Alcides Escobar,Charlie Blackmon,Carlos Gonzalez,Eric Young
Max Scherzer,Chris Archer,Martin Maldonado,Matt Carpenter,Danny Espinosa,Nolan Arenado,Andrelton Simmons,David Peralta,Shane Robinson,Eric Young
Max Scherzer,Aaron Nola,Martin Maldonado,Jay Bruce,Neil Walker,Yunel Escobar,Asdrubal Cabrera,Michael Conforto,Carlos Gonzalez,Juan Lagares
Max Scherzer,Aaron Nola,Caleb Joseph,Matt Carpenter,Jason Kipnis,Manny Machado,JJ Hardy,Michael Brantley,Adam Jones,Seth Smith
Max Scherzer,Aaron Nola,Tony Wolters,Mark Reynolds,Jason Kipnis,Kyle Seager,Trevor Story,Gerardo Parra,Carlos Gonzalez,Eric Young
Max Scherzer,Jeff Locke,Salvador Perez,Carlos Santana,Jose Ramirez,Cory Spangenberg,Francisco Lindor,Michael Brantley,Bradley Zimmer,Eric Young
Chris Archer,Aaron Nola,Martin Maldonado,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Asdrubal Cabrera,Gerardo Parra,Denard Span,Carlos Gonzalez
Max Scherzer,Aaron Nola,Cameron Rupp,Tommy Joseph,Jason Kipnis,Maikel Franco,Francisco Lindor,Michael Brantley,Howie Kendrick,Aaron Altherr
Chris Archer,Aaron Nola,Salvador Perez,Paul Goldschmidt,Jason Kipnis,Jake Lamb,Chris Owings,David Peralta,Carlos Gonzalez,Gregor Blanco
Chris Archer,Jaime Garcia,Salvador Perez,Jay Bruce,Neil Walker,Nolan Arenado,Asdrubal Cabrera,Michael Conforto,Juan Lagares,Eric Young
Max Scherzer,Aaron Nola,Martin Maldonado,Buster Posey,Joe Panik,Nolan Arenado,Brandon Crawford,Hunter Pence,Carlos Gonzalez,Austin Slater
Jaime Garcia,Ivan Nova,Yasmani Grandal,Carlos Santana,Jose Ramirez,Nolan Arenado,Francisco Lindor,Michael Brantley,Bradley Zimmer,David Peralta
Max Scherzer,Aaron Nola,Salvador Perez,Eric Hosmer,Jason Kipnis,Mike Moustakas,Asdrubal Cabrera,Lorenzo Cain,Carlos Gonzalez,Jorge Bonifacio
Chris Archer,Aaron Nola,Salvador Perez,Chris Davis,Jason Kipnis,Manny Machado,Asdrubal Cabrera,Mark Trumbo,Adam Jones,Seth Smith
Max Scherzer,Chris Archer,Jonathan Lucroy,Albert Pujols,Jason Kipnis,Maikel Franco,Andrelton Simmons,Kole Calhoun,Shane Robinson,Eric Young
Chris Archer,Ivan Nova,Jonathan Lucroy,Mark Reynolds,DJ LeMahieu,Nolan Arenado,Corey Seager,Charlie Blackmon,Carlos Gonzalez,Hunter Renfroe
Chris Archer,Ivan Nova,Salvador Perez,Mark Reynolds,Jason Kipnis,Nolan Arenado,Trevor Story,Gerardo Parra,Carlos Gonzalez,Mark Canha
Max Scherzer,Chris Archer,Jonathan Lucroy,Matt Carpenter,Rougned Odor,Joey Gallo,Asdrubal Cabrera,Gregor Blanco,Delino DeShields,Jared Hoying
Max Scherzer,Jaime Garcia,Martin Maldonado,Paul Goldschmidt,Rougned Odor,Jake Lamb,Chris Owings,David Peralta,Gregor Blanco,Eric Young
Max Scherzer,Chris Archer,Stephen Vogt,Brandon Belt,Chad Pinder,Nolan Arenado,Adam Rosales,Carlos Gonzalez,Rajai Davis,Mark Canha
Max Scherzer,Chris Archer,Caleb Joseph,Trey Mancini,Jonathan Schoop,Kyle Seager,JJ Hardy,Carlos Gonzalez,Seth Smith,Eric Young
Max Scherzer,Chris Archer,Cameron Rupp,Tommy Joseph,Rougned Odor,Maikel Franco,Freddy Galvis,Carlos Gonzalez,Hunter Renfroe,Aaron Altherr
