"P","P","C","1B","2B","3B","SS","OF","OF","OF"
"David Price","Ben Lively","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Trea Turner","Bryce Harper","Josh Reddick","Jason Heyward"
"David Price","Ben Lively","Brian McCann","Anthony Rizzo","Jose Altuve","Evan Longoria","Carlos Correa","George Springer","Josh Reddick","Aaron Altherr"
"David Price","Ben Lively","Evan Gattis","Yuli Gurriel","Brian Dozier","Kris Bryant","Carlos Correa","George Springer","Mookie Betts","Josh Reddick"
"Jon Lester","David Price","Derek Norris","Adam Lind","Wilmer Difo","Stephen Drew","Trea Turner","Bryce Harper","Mookie Betts","Josh Reddick"
"Jon Lester","David Price","Evan Gattis","Tommy Joseph","Cesar Hernandez","Maikel Franco","Trea Turner","Josh Reddick","Odubel Herrera","Aaron Altherr"
"Jon Lester","David Price","Brian McCann","Yuli Gurriel","Brian Dozier","Alex Bregman","Carlos Correa","Josh Reddick","Seth Smith","Aaron Altherr"
"David Price","Ben Lively","Brian McCann","Yuli Gurriel","Jose Altuve","Alex Bregman","Trea Turner","Bryce Harper","Mookie Betts","Josh Reddick"
"David Price","Ben Lively","Willson Contreras","Anthony Rizzo","Ian Happ","Kris Bryant","Carlos Correa","Christian Yelich","Mookie Betts","Kyle Schwarber"
"David Price","Joe Ross","Evan Gattis","Anthony Rizzo","Jose Altuve","Alex Bregman","Carlos Correa","Mookie Betts","Josh Reddick","Adam Engel"
"Jon Lester","David Price","Cameron Rupp","Anthony Rizzo","Brian Dozier","Maikel Franco","Carlos Correa","Odubel Herrera","Aaron Altherr","Michael Saunders"
