"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","George Springer",5500,"LAA@HOU 08:10PM ET",9.589,"HOU","LAA",NA,0,1.91,NA,"x",NA,NA
"2B","Jose Altuve",5300,"LAA@HOU 08:10PM ET",9.65,"HOU","LAA",9.75,9.3,9.64,NA,"3",NA,0
"SS","Carlos Correa",5300,"LAA@HOU 08:10PM ET",9.455,"HOU","LAA",9.24,9.1,8.99,NA,"4",NA,0
"1B/OF","Marwin Gonzalez",4600,"LAA@HOU 08:10PM ET",8.646,"HOU","LAA",6.19,7.2,7.45,NA,"x",NA,10
"OF","Mike Trout",4500,"LAA@HOU 08:10PM ET",12.02,"LAA","HOU",NA,0,NA,NA,"x",NA,NA
"OF","Carlos Beltran",4400,"LAA@HOU 08:10PM ET",7.077,"HOU","LAA",8.15,7.8,8.26,NA,"5",NA,0
"OF","Dexter Fowler",4300,"PHI@STL 08:15PM ET",7.259,"STL","PHI",7.89,8.1,8.89,NA,"1",NA,10
"1B","Matt Carpenter",4300,"PHI@STL 08:15PM ET",7.357,"STL","PHI",8.43,9.4,9.66,NA,"3",NA,8
"OF","Tommy Pham",4200,"PHI@STL 08:15PM ET",8.897,"STL","PHI",NA,8.1,NA,NA,"6",NA,6
"OF","Odubel Herrera",4100,"PHI@STL 08:15PM ET",6.804,"PHI","STL",7.45,7.6,7.33,NA,"2",NA,3
"OF","Stephen Piscotty",4000,"PHI@STL 08:15PM ET",6.846,"STL","PHI",7.22,8.1,9.26,NA,"2",NA,2
"3B","Jedd Gyorko",4000,"PHI@STL 08:15PM ET",7.64,"STL","PHI",7.41,8.5,8.72,NA,"4",NA,8
"OF","Kole Calhoun",4000,"LAA@HOU 08:10PM ET",6.705,"LAA","HOU",7.35,8.6,7.29,NA,"2",NA,16
"1B","Albert Pujols",3900,"LAA@HOU 08:10PM ET",7.268,"LAA","HOU",6.12,8.5,7.39,NA,"3",NA,4
"C","Evan Gattis",3900,"LAA@HOU 08:10PM ET",7.051,"HOU","LAA",NA,0,1.85,NA,"x",NA,NA
"1B","Yuli Gurriel",3900,"LAA@HOU 08:10PM ET",6.846,"HOU","LAA",NA,0,NA,NA,"x",NA,NA
"OF","Randal Grichuk",3800,"PHI@STL 08:15PM ET",6.391,"STL","PHI",NA,0,NA,NA,"x",NA,NA
"OF","Josh Reddick",3800,"LAA@HOU 08:10PM ET",7.309,"HOU","LAA",8.15,9.4,8.96,NA,"2",NA,8
"SS","Andrelton Simmons",3700,"LAA@HOU 08:10PM ET",6.984,"LAA","HOU",5.66,6.6,5.97,NA,"1",NA,10
"SS","Freddy Galvis",3600,"PHI@STL 08:15PM ET",6.5,"PHI","STL",5.43,5.9,5.15,NA,"8",NA,2
"OF","Aaron Altherr",3600,"PHI@STL 08:15PM ET",8.06,"PHI","STL",6.46,7.3,6.68,NA,"3",NA,20
"2B","Cesar Hernandez",3600,"PHI@STL 08:15PM ET",7.772,"PHI","STL",6.37,7.1,7.01,NA,"1",NA,0
"SS","Aledmys Diaz",3600,"PHI@STL 08:15PM ET",6.345,"STL","PHI",5.78,8.1,8,NA,"7",NA,19
"OF","Cameron Maybin",3600,"LAA@HOU 08:10PM ET",8.422,"LAA","HOU",6.27,8.2,7.79,NA,"x",NA,41
"C","Yadier Molina",3500,"PHI@STL 08:15PM ET",6.673,"STL","PHI",NA,0,1.77,NA,"x",NA,NA
"1B","Tommy Joseph",3500,"PHI@STL 08:15PM ET",6.722,"PHI","STL",6.3,7.1,7.21,NA,"4",NA,7
"C","Brian McCann",3500,"LAA@HOU 08:10PM ET",8.526,"HOU","LAA",8.34,7.4,7.59,NA,"6",NA,5
"OF","Howie Kendrick",3400,"PHI@STL 08:15PM ET",8.556,"PHI","STL",5.57,7,7.36,NA,"x",NA,17
"3B","Yunel Escobar",3400,"LAA@HOU 08:10PM ET",7.152,"LAA","HOU",6.14,6.6,6.45,NA,"4",NA,14
"1B","CJ Cron",3400,"LAA@HOU 08:10PM ET",5,"LAA","HOU",NA,0,1.48,NA,"x",NA,NA
"3B","Alex Bregman",3400,"LAA@HOU 08:10PM ET",6.345,"HOU","LAA",6.12,7.3,7.16,NA,"8",NA,18
"1B","Jefry Marte",3300,"LAA@HOU 08:10PM ET",4.486,"LAA","HOU",NA,0,NA,NA,"x",NA,NA
"1B/OF","Jose Martinez",3200,"PHI@STL 08:15PM ET",4,"STL","PHI",NA,0,1.9,NA,"x",NA,NA
"3B","Maikel Franco",3200,"PHI@STL 08:15PM ET",6.019,"PHI","STL",5.97,7.3,5.75,NA,"5",NA,0
"OF","Derek Fisher",3200,"LAA@HOU 08:10PM ET",0,"HOU","LAA",NA,0,NA,NA,"x",NA,NA
"OF","Magneuris Sierra",3100,"PHI@STL 08:15PM ET",8.625,"STL","PHI",NA,0,NA,NA,"x",NA,NA
"2B","Paul DeJong",3100,"PHI@STL 08:15PM ET",4.583,"STL","PHI",NA,0,1.89,NA,"x",NA,NA
"OF","Daniel Nava",3000,"PHI@STL 08:15PM ET",4.471,"PHI","STL",NA,0,NA,NA,"x",NA,NA
"C","Andrew Knapp",3000,"PHI@STL 08:15PM ET",5.826,"PHI","STL",5.34,5.5,5.32,NA,"7",NA,0
"1B","Rhys Hoskins",3000,"PHI@STL 08:15PM ET",0,"PHI","STL",NA,0,NA,NA,"x",NA,NA
"3B","Jhonny Peralta",2900,"PHI@STL 08:15PM ET",2.238,"STL","PHI",NA,0,1.79,NA,"x",NA,NA
"2B","Kolten Wong",2900,"PHI@STL 08:15PM ET",6.595,"STL","PHI",5.4,7.7,6.9,NA,"x",NA,7
"2B/SS","Greg Garcia",2900,"PHI@STL 08:15PM ET",2.667,"STL","PHI",NA,0,1.78,NA,"x",NA,NA
"OF","Harrison Bader",2900,"PHI@STL 08:15PM ET",0,"STL","PHI",NA,0,NA,NA,"x",NA,NA
"1B/3B","Luis Valbuena",2900,"LAA@HOU 08:10PM ET",4.548,"LAA","HOU",5.68,7.8,6.24,NA,"5",NA,9
"OF","Norichika Aoki",2900,"LAA@HOU 08:10PM ET",4.548,"HOU","LAA",5.38,5.7,6.03,NA,"9",NA,2
"OF","Ben Revere",2900,"LAA@HOU 08:10PM ET",3.727,"LAA","HOU",NA,0,1.39,NA,"x",NA,NA
"2B","Danny Espinosa",2900,"LAA@HOU 08:10PM ET",4.636,"LAA","HOU",5.31,6,4.88,NA,"8",NA,4
"OF","Jake Marisnick",2900,"LAA@HOU 08:10PM ET",4.8,"HOU","LAA",5.4,6.1,NA,NA,"x",NA,5
"OF","Michael Saunders",2800,"PHI@STL 08:15PM ET",5.4,"PHI","STL",NA,0,1.57,NA,"x",NA,NA
"1B/OF","Brock Stassi",2600,"PHI@STL 08:15PM ET",2.639,"PHI","STL",NA,0,NA,NA,"x",NA,NA
"C","Martin Maldonado",2600,"LAA@HOU 08:10PM ET",5.038,"LAA","HOU",4.63,5.4,4.99,NA,"6",NA,21
"2B","Nolan Fontana",2600,"LAA@HOU 08:10PM ET",3,"LAA","HOU",NA,0,NA,NA,"x",NA,NA
"C","Carson Kelly",2500,"PHI@STL 08:15PM ET",0,"STL","PHI",NA,0,NA,NA,"x",NA,NA
"OF","Eric Young",2500,"LAA@HOU 08:10PM ET",9,"LAA","HOU",5.67,7.1,6.16,NA,"9",NA,3
"2B/3B","Andres Blanco",2400,"PHI@STL 08:15PM ET",1.935,"PHI","STL",NA,0,1.45,NA,"x",NA,NA
"C","Eric Fryer",2400,"PHI@STL 08:15PM ET",2.1,"STL","PHI",4.35,6,5.6,NA,"x",NA,2
"C","Cameron Rupp",2400,"PHI@STL 08:15PM ET",5.632,"PHI","STL",NA,0,1.45,NA,"x",NA,NA
"OF","Shane Robinson",2400,"LAA@HOU 08:10PM ET",2.5,"LAA","HOU",NA,0,1.36,NA,"x",NA,NA
"C","Juan Graterol",2400,"LAA@HOU 08:10PM ET",3,"LAA","HOU",NA,0,1.24,NA,"x",NA,NA
"C","Carlos Perez",2400,"LAA@HOU 08:10PM ET",0.833,"LAA","HOU",NA,0,NA,NA,"x",NA,NA
"OF","Chad Huffman",2200,"PHI@STL 08:15PM ET",0,"STL","PHI",NA,0,1.83,NA,"x",NA,NA
"3B/OF","Ty Kelly",2200,"PHI@STL 08:15PM ET",1.75,"PHI","STL",NA,0,1.38,NA,"x",NA,NA
"C","Juan Centeno",2200,"LAA@HOU 08:10PM ET",17.5,"HOU","LAA",NA,0,NA,NA,"x",NA,NA
"2B/OF","Tony Kemp",2200,"LAA@HOU 08:10PM ET",0,"HOU","LAA",NA,0,NA,NA,"x",NA,NA
"2B/3B","Cliff Pennington",2100,"LAA@HOU 08:10PM ET",3.081,"LAA","HOU",NA,0,1.32,NA,"x",NA,NA
