P,P,C,1B,2B,3B,SS,OF,OF,OF
Corey Kluber,Matt Moore,James McCann,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Jose Iglesias,Mookie Betts,Christian Yelich,Mallex Smith
Corey Kluber,Matt Moore,Sandy Leon,Miguel Cabrera,Dustin Pedroia,Derek Dietrich,Xander Bogaerts,Andrew Benintendi,Mookie Betts,Mallex Smith
Corey Kluber,Matt Moore,AJ Ellis,Miguel Cabrera,Dee Gordon,Derek Dietrich,Asdrubal Cabrera,Giancarlo Stanton,Mookie Betts,Christian Yelich
Matt Moore,Tyler Glasnow,Gary Sanchez,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Trea Turner,JD Martinez,Justin Upton,Mookie Betts
Corey Kluber,Matt Moore,Yan Gomes,Carlos Santana,Jason Kipnis,Derek Dietrich,Francisco Lindor,Michael Brantley,Mookie Betts,Mallex Smith
Corey Kluber,Matt Moore,James McCann,Victor Martinez,Ian Kinsler,Nicholas Castellanos,Francisco Lindor,David Peralta,Josh Reddick,Mikie Mahtook
Corey Kluber,Matt Moore,James McCann,Miguel Cabrera,Ian Kinsler,Derek Dietrich,Asdrubal Cabrera,Justin Upton,Michael Brantley,Mikie Mahtook
Rich Hill,Matt Moore,James McCann,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Francisco Lindor,JD Martinez,Bryce Harper,Michael Brantley
Corey Kluber,Matt Moore,James McCann,Victor Martinez,Jason Kipnis,Derek Dietrich,Jose Iglesias,JD Martinez,Mookie Betts,Mikie Mahtook
Corey Kluber,Matt Moore,Sandy Leon,Mitch Moreland,Ian Kinsler,Nicholas Castellanos,Xander Bogaerts,Mookie Betts,Jackie Bradley,Gregor Blanco
Corey Kluber,Matt Moore,James McCann,Mitch Moreland,Jose Pirela,Pablo Sandoval,Xander Bogaerts,Andrew Benintendi,Mookie Betts,Christian Yelich
Corey Kluber,Amir Garrett,James McCann,Miguel Cabrera,Jason Kipnis,Nicholas Castellanos,Francisco Lindor,Justin Upton,Mookie Betts,Mikie Mahtook
Tanner Roark,Matt Moore,James McCann,Victor Martinez,Ian Kinsler,Nicholas Castellanos,Xander Bogaerts,Bryce Harper,Justin Upton,Mookie Betts
Corey Kluber,Matt Moore,Jeff Mathis,Miguel Cabrera,Jose Pirela,Jake Lamb,Chris Owings,Mookie Betts,David Peralta,Gregor Blanco
Corey Kluber,Matt Moore,Manny Pina,Eric Thames,Jonathan Villar,Hernan Perez,Orlando Arcia,Mookie Betts,Christian Yelich,Mallex Smith
Corey Kluber,Matt Moore,Sandy Leon,Hanley Ramirez,Dustin Pedroia,Pablo Sandoval,Asdrubal Cabrera,Mookie Betts,David Peralta,Christian Yelich
Corey Kluber,Matt Moore,Jonathan Lucroy,Miguel Cabrera,Ian Kinsler,Nicholas Castellanos,Aledmys Diaz,JD Martinez,Gregor Blanco,Mikie Mahtook
Corey Kluber,Tyler Glasnow,James McCann,Victor Martinez,Ian Kinsler,Nicholas Castellanos,Asdrubal Cabrera,JD Martinez,Michael Brantley,Mookie Betts
Corey Kluber,Matt Moore,Eric Fryer,Miguel Cabrera,Kolten Wong,Jedd Gyorko,Aledmys Diaz,Mookie Betts,Stephen Piscotty,Christian Yelich
