"Rank","EntryId","EntryName","TimeRemaining","Points","Lineup","X","Player","X.Drafted","FPTS"
1,766912491,"chiefs_1988",0,139.7,"C Chris Iannetta 1B Kendrys Morales OF Chris Owings P Marcus Stroman 3B Hernán Pérez OF Domingo Santana 2B Brandon Drury P Alex Wood SS Corey Seager OF Yasiel Puig",NA,"Alex Wood","68.04%",17.15
2,766962958,"otto20 (8/8)",0,131.15,"C Russell Martin 1B Justin Smoak OF Chris Owings P Marcus Stroman P Zack Godley 3B Eugenio Suárez 2B Brandon Drury OF Kevin Pillar SS Corey Seager OF Cody Bellinger",NA,"Corey Seager","46.55%",18
3,766917164,"tbetts27 (1/2)",0,129.7,"1B Kendrys Morales 3B Justin Turner C Yasmani Grandal P Marcus Stroman OF Hernán Pérez OF Domingo Santana 2B Brandon Drury P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Paul Goldschmidt","42.50%",4
4,766942957,"Z-ROC (2/2)",0,128.15,"2B Chase Utley OF David Peralta C Yasmani Grandal 1B Justin Smoak P Marcus Stroman 3B Hernán Pérez P Zack Godley OF Chris Taylor SS Corey Seager OF Cody Bellinger",NA,"Zack Godley","40.19%",20.6
5,766938577,"forcewithme (5/20)",0,127.15,"1B Chase Utley C Russell Martin 3B Josh Donaldson OF Ezequiel Carrera P Marcus Stroman P Zack Godley 2B Chris Taylor SS Corey Seager OF Yasiel Puig OF Cody Bellinger",NA,"Ariel Miranda","38.12%",10.05
6,766948670,"horndog1549",0,126.15,"2B Chase Utley OF José Bautista OF Nelson Cruz C Yasmani Grandal 1B Justin Smoak P Marcus Stroman 3B Jake Lamb P Zack Godley SS Corey Seager OF Cody Bellinger",NA,"Jake Lamb","38.05%",3
7,766930691,"fewfew (16/20)",0,124.75,"C Chris Iannetta OF Rey Fuentes OF Chris Owings 3B Kyle Seager 1B Paul Goldschmidt P Zack Godley 2B Brandon Drury P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Yasmani Grandal","36.89%",0
8,766953264,"okoyefan",0,123.7,"OF José Bautista C Chris Iannetta 1B Kendrys Morales OF David Peralta P Marcus Stroman 3B Hernán Pérez OF Domingo Santana 2B Brandon Drury P Alex Wood SS Corey Seager",NA,"Eric Thames","36.52%",0
9,766931594,"draggin49 (1/3)",0,122.75,"1B Chase Utley C Chris Iannetta 3B Jake Lamb P Zack Godley 2B Brandon Drury P Alex Wood OF Chris Taylor SS Corey Seager OF Yasiel Puig OF Cody Bellinger",NA,"Marcus Stroman","36.48%",25.55
10,766926396,"TTown18 (2/3)",0,122.15,"OF José Bautista 2B Robinson Canó 3B Josh Donaldson C Yasmani Grandal 1B Justin Smoak P Marcus Stroman OF Hernán Pérez P Zack Godley SS Corey Seager OF Cody Bellinger",NA,"José Bautista","34.95%",6
10,766943651,"afairbanks002 (19/20)",0,122.15,"OF José Bautista C Chris Iannetta OF Rey Fuentes 1B Paul Goldschmidt P Marcus Stroman 3B Jake Lamb P Zack Godley 2B Brandon Drury SS Corey Seager OF Cody Bellinger",NA,"David Peralta","33.53%",0
10,766952431,"wmgilpin (2/20)",0,122.15,"OF José Bautista OF Daniel Descalso C Yasmani Grandal 1B Justin Smoak P Marcus Stroman 3B Jake Lamb P Zack Godley 2B Brandon Drury SS Corey Seager OF Cody Bellinger",NA,"Chris Iannetta","28.43%",5
13,766819932,"bhuysman",0,121.7,"OF José Bautista C Chris Iannetta 1B Kendrys Morales 3B Josh Donaldson OF Eric Thames P Marcus Stroman OF Hernán Pérez 2B Brandon Drury P Alex Wood SS Corey Seager",NA,"Cody Bellinger","27.88%",14
13,766932533,"huffrg3 (1/2)",0,121.7,"2B Chase Utley C Devin Mesoraco OF Daniel Descalso 1B Paul Goldschmidt P Marcus Stroman 3B Jake Lamb P Alex Wood SS Corey Seager OF Guillermo Heredia OF Cody Bellinger",NA,"Daniel Descalso","27.34%",2
13,766937603,"bmock (1/2)",0,121.7,"3B Russell Martin C Manny Piña 1B Justin Smoak P Marcus Stroman 2B Brandon Drury OF Kevin Pillar P Alex Wood SS Corey Seager OF Yasiel Puig OF Cody Bellinger",NA,"Chris Owings","27.00%",10
16,766809847,"tj2312",0,120.75,"OF Nelson Cruz C Yasmani Grandal 1B Justin Smoak 3B Logan Forsythe OF Chris Owings P Zack Godley 2B Brandon Drury P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Chris Taylor","25.84%",0
17,766938581,"forcewithme (9/20)",0,120.7,"1B Chase Utley OF Daniel Descalso C Yasmani Grandal 3B Logan Forsythe OF Chris Owings P Marcus Stroman 2B Brandon Drury P Alex Wood SS Corey Seager OF Yasiel Puig",NA,"Josh Donaldson","25.77%",2
18,766824278,"mrvotinh",0,120.15,"2B Chase Utley OF José Bautista C Yasmani Grandal OF Chris Owings 1B Paul Goldschmidt P Marcus Stroman 3B Jake Lamb OF Hernán Pérez P Zack Godley SS Corey Seager",NA,"Eric Sogard","25.67%",0
19,766963311,"patfect27",0,119.75,"2B Chase Utley OF Nelson Cruz C Chris Iannetta 1B Justin Smoak OF Chris Owings 3B Kyle Seager P Zack Godley P Alex Wood OF Chris Taylor SS Corey Seager",NA,"Nelson Cruz","24.55%",5
20,766962791,"wmgilpin (9/20)",0,119.7,"2B Chase Utley C Russell Martin 1B Kendrys Morales 3B Josh Donaldson OF Daniel Descalso OF Rey Fuentes OF Chris Owings P Marcus Stroman P Alex Wood SS Corey Seager",NA,"Robinson Canó","21.69%",3
21,766914630,"SportsGuy09 (2/8)",0,119.15,"OF José Bautista C Chris Iannetta OF Ezequiel Carrera 1B Justin Smoak SS Chris Owings P Marcus Stroman 3B Jake Lamb P Zack Godley 2B Brandon Drury OF Kevin Pillar",NA,"Domingo Santana","21.29%",4
21,766927838,"nate_sc4",0,119.15,"C Devin Mesoraco 3B Josh Donaldson OF Chris Owings 1B Paul Goldschmidt 2B Scooter Gennett P Marcus Stroman P Zack Godley OF Scott Schebler SS Corey Seager OF Cody Bellinger",NA,"Kevin Pillar","18.53%",0
21,766950593,"Ssbura13",0,119.15,"2B Chase Utley C Russell Martin 1B Kendrys Morales OF David Peralta 3B Josh Donaldson P Marcus Stroman P Zack Godley OF Domingo Santana SS Corey Seager OF Cody Bellinger",NA,"Manny Piña","16.39%",0
24,766909530,"Bunz_B",0,118.75,"2B Chase Utley C Manny Piña OF Ezequiel Carrera 1B Justin Smoak OF Chris Owings 3B Jake Lamb P Zack Godley P Alex Wood OF Chris Taylor SS Corey Seager",NA,"Hernán Pérez","15.95%",16
25,766644682,"LosDiablosTejanos (20/20)",0,118.7,"OF José Bautista 2B Robinson Canó OF Jarrod Dyson C Devin Mesoraco 3B Josh Donaldson OF Daniel Descalso 1B Justin Smoak P Marcus Stroman P Alex Wood SS Corey Seager",NA,"Kyle Seager","14.11%",10
26,766933266,"ryanrp05",0,118.15,"C Yasmani Grandal OF Chris Owings 3B Kyle Seager 1B Paul Goldschmidt P Marcus Stroman P Zack Godley 2B Brandon Drury OF Scott Schebler SS Corey Seager OF Cody Bellinger",NA,"Brandon Drury","13.80%",16
26,766961901,"largemarge",0,118.15,"C Chris Iannetta OF David Peralta 3B Josh Donaldson 1B Justin Smoak P Marcus Stroman P Zack Godley 2B Brandon Drury OF Kevin Pillar SS Corey Seager OF Cody Bellinger",NA,"Chase Utley","13.43%",17
28,766947156,"letsgoeagles518",0,117.75,"2B Chase Utley 3B Josh Donaldson OF Daniel Descalso C Yasmani Grandal 1B Justin Smoak OF Chris Owings P Zack Godley P Alex Wood SS Corey Seager OF Cody Bellinger",NA,"Ben Gamel","13.02%",3
28,766964103,"gunnerg (3/3)",0,117.75,"OF Nelson Cruz C Chris Iannetta OF David Peralta 3B Kyle Seager P Zack Godley 2B Brandon Drury P Alex Wood SS Corey Seager OF Yasiel Puig 1B Cody Bellinger",NA,"Zack Cozart","11.83%",4
