"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Charlie Blackmon",5400,"COL@CHC 02:20PM ET",11,"COL","CHC",10.82,12.3,10.61,NA,"1","1",23
"OF","George Springer",5400,"LAA@HOU 04:10PM ET",9.589,"HOU","LAA",9.83,9.8,9.74,NA,"1","1",6
"SS","Carlos Correa",5200,"LAA@HOU 04:10PM ET",9.286,"HOU","LAA",9.8,9.9,9.19,NA,"4","4",5
"3B","Nolan Arenado",5000,"COL@CHC 02:20PM ET",9.175,"COL","CHC",9.9,12.7,10.47,NA,"3","3",13
"2B","Jose Altuve",4900,"LAA@HOU 04:10PM ET",9.492,"HOU","LAA",10.09,9.9,10.37,NA,"3","3",8
"3B","Kris Bryant",4800,"COL@CHC 02:20PM ET",9.22,"CHC","COL",8.28,12.4,10.2,NA,"2","2",7
"2B","Neil Walker",4800,"NYM@ATL 01:10PM ET",7.981,"NYM","ATL",NA,NA,NA,NA,"5","x",12
"OF","Michael Conforto",4800,"NYM@ATL 01:10PM ET",9.556,"NYM","ATL",7.03,8.8,1.93,NA,"1","2",6
"1B","Mark Reynolds",4700,"COL@CHC 02:20PM ET",9.133,"COL","CHC",7.16,11.5,8.76,NA,"5","4",29
"1B","Anthony Rizzo",4700,"COL@CHC 02:20PM ET",9.033,"CHC","COL",9.36,12.3,10.48,NA,"3","3",3
"OF","Corey Dickerson",4700,"OAK@TB 02:10PM ET",9.661,"TB","OAK",6.65,7.9,9.48,NA,"2","2",0
"OF","Marcell Ozuna",4600,"MIA@PIT 04:05PM ET",9.183,"MIA","PIT",7.34,7.9,8.42,NA,"4","4",18
"1B/OF","Marwin Gonzalez",4600,"LAA@HOU 04:10PM ET",8.673,"HOU","LAA",7.17,7.5,7.68,NA,"x","7",3
"3B/OF","Eduardo Nunez",4600,"MIN@SF 04:05PM ET",7.831,"SF","MIN",6.75,8.3,7.67,NA,"2","2",4
"3B","Miguel Sano",4600,"MIN@SF 04:05PM ET",9.873,"MIN","SF",6.73,7.5,6.97,NA,"4","3",0
"OF","Ender Inciarte",4600,"NYM@ATL 01:10PM ET",8.797,"ATL","NYM",7.77,7.7,8.45,NA,"1","1",0
"1B","Justin Bour",4500,"MIA@PIT 04:05PM ET",8.745,"MIA","PIT",NA,0,NA,NA,"x","x",NA
"OF","Starling Marte",4500,"MIA@PIT 04:05PM ET",7.769,"PIT","MIA",NA,0,NA,NA,"x","x",NA
"OF","Khris Davis",4500,"OAK@TB 02:10PM ET",8.483,"OAK","TB",8.1,7.7,8.12,NA,"4","4",8
"1B","Yonder Alonso",4500,"OAK@TB 02:10PM ET",8.765,"OAK","TB",7.81,7.1,7.05,NA,"5","5",15
"1B/3B","Ryon Healy",4500,"OAK@TB 02:10PM ET",7.542,"OAK","TB",6.71,6.1,6.95,NA,"6","6",12
"OF","Carlos Beltran",4500,"LAA@HOU 04:10PM ET",6.943,"HOU","LAA",7.1,8.4,8.25,NA,"x","5",5
